PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
Ighv1-43,Protein Ighv1-43,A0A075B5V7,A0A075B5V7_MOUSE,,,,1.41E-05,Filtered,Filtered,Filtered,2,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,2,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,17.39920044,2.145360947,Filtered,Filtered,Filtered
Srgap2,SLIT-ROBO Rho GTPase-activating protein 2,A0A087WNM1;Q91Z67,A0A087WNM1_MOUSE;SRGP2_MOUSE,";nucleoplasm,mitochondrial inner membrane,cytosol,plasma membrane,postsynaptic density,lamellipodium,cell junction,dendritic spine head,postsynaptic membrane,phagocytic vesicle",";lamellipodium assembly involved in ameboidal cell migration,signal transduction,extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration,negative regulation of cell migration,substrate adhesion-dependent cell spreading,positive regulation of GTPase activity,filopodium assembly,neuron projection morphogenesis,actin filament severing,dendritic spine development,negative regulation of neuron migration",";GTPase activator activity,protein homodimerization activity,Rac GTPase binding",0.003745805,Filtered,1,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,2.727590799,Filtered,2.815346241,Filtered,Filtered,Filtered,Filtered
Soat1,Sterol O-acyltransferase 1 (Fragment);Sterol O-acyltransferase 1,A0A087WNN8;Q61263,A0A087WNN8_MOUSE;SOAT1_MOUSE,";endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane",";cholesterol metabolic process,macrophage derived foam cell differentiation,cholesterol storage,cholesterol efflux,very-low-density lipoprotein particle assembly,cholesterol esterification,cholesterol homeostasis,positive regulation of amyloid precursor protein biosynthetic process",";fatty-acyl-CoA binding,sterol O-acyltransferase activity,cholesterol binding,cholesterol O-acyltransferase activity",2.76E-22,1,2,Filtered,2,1,2,2,Filtered,1,2,Filtered,2,1,2,2,Filtered,9.878453255,17.7115078,Filtered,55.68257523,10.79974079,11.03709507,17.22698593,Filtered
Cdv3,Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3,A0A087WNP6;Q4VAA2;Q4VAA2-2,A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE,";cytoplasm,nucleus;",;biological_process;,;molecular_function;,9.40E-25,4,4,4,4,4,4,4,Filtered,4,4,4,4,4,4,4,Filtered,32.06163406,63.64003754,34.91874695,54.22011566,28.14099503,37.18621826,30.68322182,Filtered
Tceb1,Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1,A0A087WNT1;A0A087WQE6;P83940,A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE,;;elongin complex,";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;protein binding,ubiquitin-protein transferase activity",2.19E-06,4,4,3,5,4,4,5,Filtered,4,4,3,5,4,4,5,Filtered,12.80724239,6.523900032,13.48270893,18.90606117,13.87214375,17.08350563,12.10467434,Filtered
Agfg1,Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1 (Fragment);Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1;Isoform 1 of Arf-GAP domain and FG repeat-containing protein 1;Isoform 3 of Arf-GAP domain and FG repeat-containing protein 1,A0A087WNV1;A0A087WR52;A0A087WSR7;Q8K2K6;Q8K2K6-1;Q8K2K6-3,A0A087WNV1_MOUSE;A0A087WR52_MOUSE;A0A087WSR7_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE,";;;nucleus,cytoplasmic vesicle,cell projection,neuronal cell body,intracellular membrane-bounded organelle;;",";;;acrosome assembly,transport,multicellular organism development,spermatid nucleus differentiation,positive regulation of GTPase activity,intermediate filament organization;;",";;;DNA binding,GTPase activator activity,metal ion binding;;",3.82E-11,3,7,4,4,4,6,4,Filtered,3,7,4,4,4,6,4,Filtered,9.927845955,13.94970512,6.84441328,9.061724663,8.868911743,20.64666176,8.750014305,Filtered
Ktn1,Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Isoform 15 of Kinectin;Isoform 5 of Kinectin;Isoform 6 of Kinectin;Isoform 9 of Kinectin,A0A087WNW3;A0A087WQ25;A0A087WQI3;A0A087WQQ5;A0A087WRS1;F8VQC7;Q61595;Q61595-15;Q61595-5;Q61595-6;Q61595-9,A0A087WNW3_MOUSE;A0A087WQ25_MOUSE;A0A087WQI3_MOUSE;A0A087WQQ5_MOUSE;A0A087WRS1_MOUSE;F8VQC7_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE,";;;;;;endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane;;;;",;;;;;;microtubule-based movement;;;;,;;;;;;kinesin binding;;;;,0.000279571,2,5,Filtered,5,2,5,1,Filtered,2,5,Filtered,5,0,5,0,Filtered,2.817777634,4.595105648,Filtered,2.291218758,NaN,3.761200905,NaN,Filtered
Clasp1,CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;Isoform 2 of CLIP-associating protein 1,A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;E9Q6L0;E9QKH0;E9QNY9;J3QP81;Q80TV8;Q80TV8-2,A0A087WNW8_MOUSE;A0A087WP42_MOUSE;A0A087WQ31_MOUSE;A0A087WQ95_MOUSE;A0A087WQF1_MOUSE;A0A087WRE8_MOUSE;A0A087WRK0_MOUSE;A0A087WS18_MOUSE;A0A0A6YXZ1_MOUSE;E9Q6L0_MOUSE;E9QKH0_MOUSE;E9QNY9_MOUSE;J3QP81_MOUSE;CLAP1_MOUSE;CLAP1_MOUSE,";;;;;;;;;;;;;kinetochore,condensed chromosome kinetochore,Golgi apparatus,centrosome,kinetochore microtubule,spindle microtubule,cytoplasmic microtubule,cell cortex,membrane,cortical microtubule cytoskeleton,centrosomal corona,basal cortex,extracellular exosome,focal adhesion;",";;;;;;;;;;;;;microtubule cytoskeleton organization,microtubule bundle formation,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,astral microtubule organization,microtubule organizing center organization,negative regulation of microtubule polymerization or depolymerization,microtubule anchoring,establishment of mitotic spindle localization,positive regulation of exocytosis,establishment of spindle orientation,cell division,negative regulation of stress fiber assembly,regulation of focal adhesion assembly,regulation of microtubule cytoskeleton organization,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis;",";;;;;;;;;;;;;dystroglycan binding,protein binding,microtubule binding,kinetochore binding,microtubule plus-end binding;",7.18E-05,1,2,2,2,1,2,1,Filtered,1,2,2,2,0,2,1,Filtered,1.507850647,5.288910866,2.589442492,9.11812973,NaN,7.81760931,5.71086216,Filtered
Ly6c1,Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1,A0A087WNZ5;A0A087WRP7;P0CW02,A0A087WNZ5_MOUSE;A0A087WRP7_MOUSE;LY6C1_MOUSE,";;external side of plasma membrane,anchored component of membrane",;;,;;,1.09E-13,2,2,2,2,2,2,2,Filtered,2,2,2,2,2,2,2,Filtered,68.17081451,44.73078918,56.72148895,41.22057343,32.44852448,57.57398987,45.18328857,Filtered
Trip12,E3 ubiquitin-protein ligase TRIP12,A0A087WNZ7;G5E870,A0A087WNZ7_MOUSE;TRIPC_MOUSE,";nucleus,nucleoplasm,cytoplasm,nuclear speck",";DNA repair,cellular response to DNA damage stimulus,embryo development,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,negative regulation of histone H2A K63-linked ubiquitination,negative regulation of double-strand break repair",";ubiquitin-protein transferase activity,zinc ion binding,thyroid hormone receptor binding,ubiquitin protein ligase activity",9.48E-08,Filtered,1,1,1,2,4,1,Filtered,Filtered,1,1,1,2,4,1,Filtered,Filtered,16.50397491,3.239007473,6.590562344,2.030128241,4.28501606,2.610634565,Filtered
Plekha6,Pleckstrin homology domain-containing family A member 6 (Fragment);Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6,A0A087WP13;A0A087WRB7;E9PX43;Q7TQG1,A0A087WP13_MOUSE;A0A087WRB7_MOUSE;E9PX43_MOUSE;PKHA6_MOUSE,;;;cellular_component,;;;biological_process,;;;molecular_function,3.73E-07,2,2,3,Filtered,2,1,3,Filtered,2,2,3,Filtered,2,1,3,Filtered,16.36272621,5.17021656,7.566700459,Filtered,8.319708824,6.057499886,6.447232246,Filtered
2210011C24Rik,MCG5930,A0A087WQ89,A0A087WQ89_MOUSE,cellular_component,biological_process,molecular_function,1.43E-14,3,4,2,1,3,4,4,Filtered,3,4,2,1,3,4,4,Filtered,16.28481102,9.328731537,19.87105751,10.59070683,17.3265934,14.55825233,12.90606117,Filtered
Bclaf1,Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1 (Fragment);Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1;Isoform 2 of Bcl-2-associated transcription factor 1;Isoform 3 of Bcl-2-associated transcription factor 1,A0A087WQA0;A0A087WRN1;F8WI22;Q8K019;Q8K019-2;Q8K019-3,A0A087WQA0_MOUSE;A0A087WRN1_MOUSE;F8WI22_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE,";;;nucleus,nucleoplasm,cytoplasm,nuclear speck;;",";;;transcription, DNA-templated,apoptotic process,positive regulation of apoptotic process,regulation of DNA-templated transcription in response to stress,negative regulation of transcription, DNA-templated,cellular response to leukemia inhibitory factor,positive regulation of DNA-templated transcription, initiation,positive regulation of response to DNA damage stimulus,positive regulation of intrinsic apoptotic signaling pathway;;",";;;DNA binding,RNA binding,protein binding;;",8.73E-15,4,6,4,5,4,6,4,Filtered,4,6,4,5,4,6,4,Filtered,7.298016548,15.25536633,8.303131104,11.20794296,9.315882683,11.29210472,12.69346428,Filtered
Tns1,Protein Tns1,A0A087WQS0,A0A087WQS0_MOUSE,,,,3.73E-20,42,54,44,36,42,51,42,Filtered,42,54,44,36,42,51,42,Filtered,93.47740173,133.3143311,100.0646439,54.07348633,94.1832428,142.8720093,96.58826447,Filtered
Bzw1,Basic leucine zipper and W2 domain-containing protein 1,A0A087WQS2;Q9CQC6,A0A087WQS2_MOUSE;BZW1_MOUSE,";cytoplasm,membrane",";transcription, DNA-templated,regulation of transcription, DNA-templated",";RNA binding,cadherin binding",1.41E-08,8,9,6,8,9,9,8,Filtered,8,9,6,8,9,9,8,Filtered,33.17372894,145.8259125,35.55713654,81.87703705,35.93750381,65.0243454,33.81195831,Filtered
Casp8,Caspase-8,A0A087WQT6;O89110,A0A087WQT6_MOUSE;CASP8_MOUSE,";nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,plasma membrane,Noc1p-Noc2p complex,death-inducing signaling complex,CD95 death-inducing signaling complex,ripoptosome",";angiogenesis,neural tube formation,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,heart development,extrinsic apoptotic signaling pathway via death domain receptors,macrophage differentiation,response to tumor necrosis factor,TRAIL-activated apoptotic signaling pathway,positive regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of macrophage differentiation,positive regulation of proteolysis,cardiac muscle tissue development,proteolysis involved in cellular protein catabolic process,negative regulation of necroptotic process,regulation of thymocyte apoptotic process,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,execution phase of apoptosis,activation of cysteine-type endopeptidase activity,hepatocyte apoptotic process,regulation of apoptotic signaling pathway,positive regulation of extrinsic apoptotic signaling pathway",";endopeptidase activity,cysteine-type endopeptidase activity,protein binding,peptidase activity,ubiquitin protein ligase binding,death effector domain binding,identical protein binding,protein heterodimerization activity,scaffold protein binding,cysteine-type endopeptidase activity involved in apoptotic process,cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cysteine-type endopeptidase activity involved in execution phase of apoptosis",0.000255464,3,7,2,5,3,7,1,Filtered,3,7,2,5,3,7,1,Filtered,7.520246506,6.36671114,8.193245888,19.0802803,4.012357235,12.07770538,10.0912447,Filtered
Gm4064;Rbmy1a1;Gm21693;Rbmy1a1;Rbmy1b,"Protein Gm4064;Protein Gm10256;Protein Gm21693;RNA-binding motif protein, Y chromosome, family 1 member A1;RNA-binding motif protein, Y chromosome, family 1 member B",A0A087WR82;B2RWR6;J3QK27;O35698;Q60990,A0A087WR82_MOUSE;B2RWR6_MOUSE;J3QK27_MOUSE;RBY1A_MOUSE;RBY1B_MOUSE,"cellular_component;;;nucleus;cellular_component,nucleus","biological_process;;;hematopoietic progenitor cell differentiation,mRNA processing,RNA splicing;mRNA processing,biological_process,RNA splicing","molecular_function,RNA binding;;RNA binding;RNA binding;molecular_function,RNA binding",0.002868657,Filtered,2,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,2,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,80.48662567,Filtered,Filtered,420.0568848,Filtered,Filtered,Filtered
Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7;Q8R0N6,A0A087WRE7_MOUSE;HOT_MOUSE,";mitochondrion,cytosol",";molecular hydrogen transport,oxidation-reduction process",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",1.85E-20,17,15,16,5,17,13,16,Filtered,17,15,16,5,17,13,16,Filtered,34.19882965,10.98471546,34.2024498,5.801194191,36.63629532,13.48936939,38.75740051,Filtered
2310035C23Rik;2310035C23Rik;2310035C23Rik;Kiaa1468,Protein 2310035C23Rik;Protein 2310035C23Rik;Protein 2310035C23Rik;LisH domain and HEAT repeat-containing protein KIAA1468,A0A087WRM8;E9QM90;G3X9J4;Q148V7,A0A087WRM8_MOUSE;E9QM90_MOUSE;G3X9J4_MOUSE;K1468_MOUSE,;;;cellular_component,;;;biological_process,;;;molecular_function,1.85E-12,2,2,2,1,1,3,1,Filtered,2,2,0,1,0,3,1,Filtered,2.475536823,2.155879021,NaN,1.457679391,NaN,1.492537856,2.409329891,Filtered
Nucks1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,A0A087WRY3;Q80XU3,A0A087WRY3_MOUSE;NUCKS_MOUSE,";chromatin,nuclear chromatin,nucleus,nucleolus,cytoplasm",";double-strand break repair via homologous recombination,cellular glucose homeostasis,regulation of DNA replication,chromatin organization,regulation of transcription from RNA polymerase II promoter,transcription from RNA polymerase II promoter,release from viral latency,replication fork processing,interstrand cross-link repair,glucose homeostasis,positive regulation by host of viral transcription,positive regulation by host of viral genome replication,positive regulation of transcription from RNA polymerase II promoter,regulation of insulin receptor signaling pathway,positive regulation of insulin receptor signaling pathway,regulation of DNA strand elongation,cellular response to X-ray,modulation by host of RNA binding by virus,modulation by host of viral RNA-binding transcription factor activity",";transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,chromatin binding,double-stranded DNA binding,single-stranded DNA binding,RNA binding,transcription factor binding",1.10E-07,2,3,2,2,2,2,2,Filtered,2,3,2,2,2,2,2,Filtered,38.25537109,4.749930382,35.02191162,43.70732117,47.0678978,45.65467453,33.08107758,Filtered
Sh3bgrl2,SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2,A0A087WS96;Q8BG73,A0A087WS96_MOUSE;SH3L2_MOUSE,";nucleoplasm,cytoplasm,nuclear membrane,extracellular exosome",;biological_process,";protein binding,SH3 domain binding",1.85E-20,4,4,3,3,3,4,3,Filtered,4,4,3,3,3,4,3,Filtered,18.44506454,8.072605133,32.81668854,18.43115616,24.62877464,14.89410591,26.87700081,Filtered
Fn1,Fibronectin,A0A087WSN6,A0A087WSN6_MOUSE,,,,1.44E-35,73,98,56,126,56,105,74,Filtered,73,98,56,126,56,105,74,Filtered,66.25282288,90.04072571,40.31193542,1049.555176,37.06345367,189.1507568,84.72538757,Filtered
Mapkapk2,MAP kinase-activated protein kinase 2 (Fragment);MAP kinase-activated protein kinase 2,A0A087WSN7;P49138,A0A087WSN7_MOUSE;MAPK2_MOUSE,";nucleus,nucleoplasm,cytoplasm,centrosome,extracellular exosome",";toll-like receptor signaling pathway,protein phosphorylation,inflammatory response,cellular response to DNA damage stimulus,peptidyl-serine phosphorylation,G2 DNA damage checkpoint,response to lipopolysaccharide,regulation of interleukin-6 production,regulation of tumor necrosis factor production,response to cytokine,cellular response to vascular endothelial growth factor stimulus,p38MAPK cascade,positive regulation of tumor necrosis factor biosynthetic process,macropinocytosis,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,mRNA stabilization,inner ear development,3'-UTR-mediated mRNA stabilization",";protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,signal transducer activity,protein binding,calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,mitogen-activated protein kinase binding",1.35E-09,3,4,3,3,2,3,2,1,3,4,3,3,2,3,2,1,8.880895615,9.381176949,4.868782043,16.20465279,3.539735079,18.19453049,5.667673588,129.7519531
