PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
Soat1,Sterol O-acyltransferase 1 (Fragment);Sterol O-acyltransferase 1,A0A087WNN8;Q61263,A0A087WNN8_MOUSE;SOAT1_MOUSE,";endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane",";cholesterol metabolic process,macrophage derived foam cell differentiation,cholesterol storage,cholesterol efflux,very-low-density lipoprotein particle assembly,cholesterol esterification,cholesterol homeostasis,positive regulation of amyloid precursor protein biosynthetic process",";fatty-acyl-CoA binding,sterol O-acyltransferase activity,cholesterol binding,cholesterol O-acyltransferase activity",5.773719367086286E-09,1,2,1,2,1,2,2,Filtered,1,2,1,2,1,2,2,Filtered,9.690893173217773,17.43682289123535,2.4725871086120605,50.6744270324707,8.65955924987793,9.527151107788086,15.639833450317383,Filtered
Cdv3,Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3,A0A087WNP6;Q4VAA2;Q4VAA2-2,A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE,";cytoplasm,nucleus;",;biological_process;,;molecular_function;,2.0822374863201864E-21,4,4,4,4,4,4,4,Filtered,4,4,4,4,4,4,4,Filtered,29.37708282470703,59.97727584838867,32.10426712036133,54.392784118652344,29.714296340942383,38.65699768066406,34.223026275634766,Filtered
Tceb1,Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1,A0A087WNT1;A0A087WQE6;P83940,A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE,;;elongin complex,";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;protein binding,ubiquitin-protein transferase activity",2.2915783962841187E-18,3,3,3,4,4,4,4,Filtered,3,3,3,4,4,4,4,Filtered,8.534278869628906,9.04634952545166,11.455443382263184,10.944816589355469,11.002876281738281,9.988444328308105,9.012025833129883,Filtered
2700094K13Rik;2700094K13Rik;Selh,Protein 2700094K13Rik;Protein 2700094K13Rik;Selenoprotein H,A0A087WNU1;A0A087WPM0;Q3UQA7,A0A087WNU1_MOUSE;A0A087WPM0_MOUSE;SELH_MOUSE,;;,;;,;;RNA binding,0.0019696796665346233,Filtered,1,1,1,Filtered,1,Filtered,Filtered,Filtered,1,1,1,Filtered,0,Filtered,Filtered,Filtered,2.1013872623443604,2.2810933589935303,4.071958065032959,Filtered,NaN,Filtered,Filtered
Agfg1,Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1 (Fragment);Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1;Isoform 1 of Arf-GAP domain and FG repeat-containing protein 1;Isoform 3 of Arf-GAP domain and FG repeat-containing protein 1,A0A087WNV1;A0A087WR52;A0A087WSR7;Q8K2K6;Q8K2K6-1;Q8K2K6-3,A0A087WNV1_MOUSE;A0A087WR52_MOUSE;A0A087WSR7_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE,";;;nucleus,cytoplasmic vesicle,cell projection,neuronal cell body,intracellular membrane-bounded organelle;;",";;;acrosome assembly,transport,multicellular organism development,spermatid nucleus differentiation,positive regulation of GTPase activity,intermediate filament organization;;",";;;DNA binding,GTPase activator activity,metal ion binding;;",1.3012948584339002E-07,3,4,4,2,4,4,3,Filtered,3,4,4,2,4,4,3,Filtered,14.754910469055176,4.1055803298950195,10.710713386535645,14.812881469726562,8.524456024169922,18.05486488342285,9.349058151245117,Filtered
Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp2;Clasp1;Clasp1;Clasp2;Clasp1;Clasp2;Clasp1;Clasp1;Clasp2,CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP associating protein 2;CLIP-associating protein 1;Isoform 2 of CLIP-associating protein 1;CLIP-associating protein 2,A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;E9Q6L0;E9Q8N5;E9QKH0;E9QNY9;F7DCH5;J3QP81;Q08EB6;Q80TV8;Q80TV8-2;Q8BRT1,A0A087WNW8_MOUSE;A0A087WP42_MOUSE;A0A087WQ31_MOUSE;A0A087WQ95_MOUSE;A0A087WQF1_MOUSE;A0A087WRE8_MOUSE;A0A087WRK0_MOUSE;A0A087WS18_MOUSE;A0A0A6YXZ1_MOUSE;E9Q6L0_MOUSE;E9Q8N5_MOUSE;E9QKH0_MOUSE;E9QNY9_MOUSE;F7DCH5_MOUSE;J3QP81_MOUSE;Q08EB6_MOUSE;CLAP1_MOUSE;CLAP1_MOUSE;CLAP2_MOUSE,";;;;;;;;;;;;;;;;kinetochore,condensed chromosome kinetochore,Golgi apparatus,centrosome,kinetochore microtubule,spindle microtubule,cytoplasmic microtubule,cell cortex,membrane,cortical microtubule cytoskeleton,centrosomal corona,basal cortex,extracellular exosome,focal adhesion;;condensed chromosome kinetochore,spindle pole,Golgi apparatus,trans-Golgi network,microtubule organizing center,cytosol,microtubule,cytoplasmic microtubule,plasma membrane,cell cortex,membrane,cell leading edge,ruffle membrane,axonal growth cone,basal cortex,cortical microtubule plus-end,kinetochore,focal adhesion,mitotic spindle",";;;;;;;;;;;;;;;;microtubule cytoskeleton organization,microtubule bundle formation,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,astral microtubule organization,microtubule organizing center organization,negative regulation of microtubule polymerization or depolymerization,microtubule anchoring,establishment of mitotic spindle localization,positive regulation of exocytosis,establishment of spindle orientation,cell division,negative regulation of stress fiber assembly,regulation of focal adhesion assembly,regulation of microtubule cytoskeleton organization,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis;;microtubule cytoskeleton organization,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,establishment or maintenance of cell polarity,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,cell migration,regulation of axon extension,microtubule organizing center organization,regulation of microtubule polymerization or depolymerization,regulation of microtubule polymerization,regulation of microtubule-based process,regulation of actin cytoskeleton organization,microtubule anchoring,platelet-derived growth factor receptor-beta signaling pathway,positive regulation of exocytosis,cell division,meiotic cell cycle,negative regulation of stress fiber assembly,negative regulation of focal adhesion assembly,protein localization to plasma membrane,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis",";;;;;;;;;;;;;;;;dystroglycan binding,protein binding,microtubule binding,kinetochore binding,microtubule plus-end binding;;dystroglycan binding,protein binding,microtubule binding,microtubule plus-end binding,actin filament binding,protein tyrosine kinase binding",6.875400627894722E-15,2,2,1,2,2,1,2,Filtered,2,2,1,2,2,1,2,Filtered,2.324350357055664,2.109816789627075,3.894744873046875,6.93912935256958,5.760311126708984,10.13892650604248,6.949843406677246,Filtered
Ly6c1,Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1,A0A087WNZ5;A0A087WRP7;P0CW02,A0A087WNZ5_MOUSE;A0A087WRP7_MOUSE;LY6C1_MOUSE,";;external side of plasma membrane,anchored component of membrane",;;,;;,2.2838764247648473E-17,2,2,2,2,2,2,2,Filtered,2,2,2,2,2,2,2,Filtered,70.10553741455078,42.37586212158203,56.914920806884766,39.44195556640625,32.29294204711914,55.402259826660156,45.10218048095703,Filtered
Ktn1,Kinectin,A0A087WP14;A0A087WP85;A0A087WPX0;A0A087WQQ5;A0A087WS29;F8VQC7,A0A087WP14_MOUSE;A0A087WP85_MOUSE;A0A087WPX0_MOUSE;A0A087WQQ5_MOUSE;A0A087WS29_MOUSE;F8VQC7_MOUSE,;;;;;,;;;;;,;;;;;,6.883659777874301E-08,3,10,4,10,5,9,2,Filtered,3,10,4,10,5,9,2,Filtered,6.540201663970947,8.510677337646484,7.884639263153076,14.394155502319336,12.483049392700195,10.699859619140625,4.784979820251465,Filtered
Glb1l,Beta-galactosidase-1-like protein (Fragment);Beta-galactosidase-1-like protein,A0A087WPH5;Q8VC60,A0A087WPH5_MOUSE;GLB1L_MOUSE,";extracellular space,vacuole",;carbohydrate metabolic process,;beta-galactosidase activity,1.7736576339864824E-05,2,3,3,3,2,3,2,Filtered,2,3,3,3,2,3,2,Filtered,40.312744140625,21.86897087097168,20.6087646484375,12.30965518951416,24.427066802978516,9.192976951599121,14.473113059997559,Filtered
Dhx9,ATP-dependent RNA helicase A,A0A087WPL5;E9QNN1,A0A087WPL5_MOUSE;E9QNN1_MOUSE,;,;,;,2.6985929756458615E-27,33,34,33,33,32,33,30,1,33,34,33,33,32,33,30,1,82.18586730957031,155.7223358154297,67.82717895507812,148.64181518554688,75.26543426513672,144.9059600830078,66.11298370361328,220302
Inppl1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (Fragment);Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",A0A087WPT7;Q6P549,A0A087WPT7_MOUSE;SHIP2_MOUSE,";cytoplasm,Golgi apparatus,cytosol,cytoskeleton,plasma membrane,lamellipodium,filopodium",";endochondral ossification,immune system process,glucose metabolic process,phosphatidylinositol biosynthetic process,endocytosis,actin filament organization,cell adhesion,negative regulation of cell proliferation,post-embryonic development,negative regulation of gene expression,response to insulin,cellular lipid metabolic process,phosphatidylinositol dephosphorylation,ruffle assembly",";actin binding,protein binding,hydrolase activity,SH3 domain binding,SH2 domain binding",0.003632843843593138,Filtered,1,Filtered,2,3,2,Filtered,Filtered,Filtered,1,Filtered,2,3,2,Filtered,Filtered,Filtered,2.9562699794769287,Filtered,1.865165114402771,2.1703689098358154,0.8214000463485718,Filtered,Filtered
2210011C24Rik,MCG5930,A0A087WQ89,A0A087WQ89_MOUSE,cellular_component,biological_process,molecular_function,2.59913053400295E-29,2,2,2,Filtered,2,2,2,Filtered,2,2,2,Filtered,2,2,2,Filtered,24.904787063598633,13.156325340270996,20.688770294189453,Filtered,27.304086685180664,25.17561912536621,19.85888671875,Filtered
Bclaf1,Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1;Isoform 2 of Bcl-2-associated transcription factor 1;Isoform 3 of Bcl-2-associated transcription factor 1,A0A087WQA0;F8WI22;Q8K019;Q8K019-2;Q8K019-3,A0A087WQA0_MOUSE;F8WI22_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE,";;nucleus,nucleoplasm,cytoplasm,nuclear speck;;",";;transcription, DNA-templated,apoptotic process,positive regulation of apoptotic process,regulation of DNA-templated transcription in response to stress,negative regulation of transcription, DNA-templated,cellular response to leukemia inhibitory factor,positive regulation of DNA-templated transcription, initiation,positive regulation of response to DNA damage stimulus,positive regulation of intrinsic apoptotic signaling pathway;;",";;DNA binding,RNA binding,protein binding;;",4.8326808098659155E-06,3,3,3,4,3,4,2,Filtered,3,3,3,4,3,4,2,Filtered,4.89171838760376,16.173479080200195,4.2436957359313965,9.89441204071045,4.177031517028809,7.904230117797852,10.141931533813477,Filtered
Slc35a4,Probable UDP-sugar transporter protein SLC35A4,A0A087WQH8,A0A087WQH8_MOUSE,,,,0.00043143919379210865,2,2,2,2,2,2,2,Filtered,2,2,2,2,2,2,2,Filtered,8.556800842285156,4.448387622833252,12.157395362854004,6.442227363586426,5.706214427947998,8.017938613891602,11.455702781677246,Filtered
Tns1,Protein Tns1,A0A087WQS0,A0A087WQS0_MOUSE,,,,1.5442012204131912E-24,43,48,44,41,46,47,45,Filtered,43,48,44,41,46,47,45,Filtered,51.76464080810547,101.00480651855469,57.947696685791016,31.894229888916016,50.26839828491211,77.37479400634766,54.434322357177734,Filtered
Bzw1,Basic leucine zipper and W2 domain-containing protein 1,A0A087WQS2;Q9CQC6,A0A087WQS2_MOUSE;BZW1_MOUSE,";cytoplasm,membrane",";transcription, DNA-templated,regulation of transcription, DNA-templated",";RNA binding,cadherin binding",5.608259471949444E-13,11,11,10,12,11,11,10,Filtered,11,11,10,12,11,11,10,Filtered,41.32320785522461,190.32472229003906,38.19578170776367,87.10053253173828,46.354469299316406,84.31109619140625,39.18400573730469,Filtered
Casp8,Caspase-8,A0A087WQT6;O89110,A0A087WQT6_MOUSE;CASP8_MOUSE,";nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,plasma membrane,Noc1p-Noc2p complex,death-inducing signaling complex,CD95 death-inducing signaling complex,ripoptosome",";angiogenesis,neural tube formation,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,heart development,extrinsic apoptotic signaling pathway via death domain receptors,macrophage differentiation,response to tumor necrosis factor,TRAIL-activated apoptotic signaling pathway,positive regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of macrophage differentiation,positive regulation of proteolysis,cardiac muscle tissue development,proteolysis involved in cellular protein catabolic process,negative regulation of necroptotic process,regulation of thymocyte apoptotic process,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,execution phase of apoptosis,activation of cysteine-type endopeptidase activity,hepatocyte apoptotic process,regulation of apoptotic signaling pathway,positive regulation of extrinsic apoptotic signaling pathway",";endopeptidase activity,cysteine-type endopeptidase activity,protein binding,peptidase activity,ubiquitin protein ligase binding,death effector domain binding,identical protein binding,protein heterodimerization activity,scaffold protein binding,cysteine-type endopeptidase activity involved in apoptotic process,cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cysteine-type endopeptidase activity involved in execution phase of apoptosis",0.00031506250432666486,3,3,1,2,3,3,2,Filtered,3,3,1,2,3,3,2,Filtered,7.405887603759766,14.097232818603516,10.55158805847168,20.215633392333984,3.8192625045776367,13.381537437438965,6.460123062133789,Filtered
Gm4064;Rbmy1a1;Gm21693;Rbmy1a1;Rbmy1b,"Protein Gm4064;Protein Gm10256;Protein Gm21693;RNA-binding motif protein, Y chromosome, family 1 member A1;RNA-binding motif protein, Y chromosome, family 1 member B",A0A087WR82;B2RWR6;J3QK27;O35698;Q60990,A0A087WR82_MOUSE;B2RWR6_MOUSE;J3QK27_MOUSE;RBY1A_MOUSE;RBY1B_MOUSE,"cellular_component;;;nucleus;cellular_component,nucleus","biological_process;;;hematopoietic progenitor cell differentiation,mRNA processing,RNA splicing;mRNA processing,biological_process,RNA splicing","molecular_function,RNA binding;;RNA binding;RNA binding;molecular_function,RNA binding",0.001594676338112464,Filtered,3,1,2,Filtered,2,Filtered,Filtered,Filtered,3,1,2,Filtered,2,Filtered,Filtered,Filtered,106.71224212646484,42.104488372802734,6.2437424659729,Filtered,15.455216407775879,Filtered,Filtered
Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7;Q8R0N6,A0A087WRE7_MOUSE;HOT_MOUSE,";mitochondrion,cytosol",";molecular hydrogen transport,oxidation-reduction process",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",1.1804567113120186E-23,20,18,21,14,21,17,20,Filtered,20,18,21,14,21,17,20,Filtered,43.59066390991211,20.18985939025879,40.05860137939453,9.004393577575684,44.286441802978516,15.682052612304688,40.82600021362305,Filtered
2310035C23Rik;2310035C23Rik;2310035C23Rik;2310035C23Rik;Kiaa1468;Kiaa1468,Protein 2310035C23Rik;Protein 2310035C23Rik;Protein 2310035C23Rik;Protein 2310035C23Rik;LisH domain and HEAT repeat-containing protein KIAA1468;Isoform 2 of LisH domain and HEAT repeat-containing protein KIAA1468,A0A087WRM8;A0A087WSS1;E9QM90;G3X9J4;Q148V7;Q148V7-2,A0A087WRM8_MOUSE;A0A087WSS1_MOUSE;E9QM90_MOUSE;G3X9J4_MOUSE;K1468_MOUSE;K1468_MOUSE,;;;;cellular_component;,;;;;biological_process;,;;;;molecular_function;,1.1633630119310576E-05,2,2,2,2,2,2,2,Filtered,2,2,2,2,2,2,2,Filtered,5.245268821716309,4.502060413360596,3.3549139499664307,3.023674249649048,1.5994566679000854,3.885633945465088,3.0912630558013916,Filtered
