PG.Qvalue,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
3.77E-59,Dhx9,ATP-dependent RNA helicase A,A0A087WPL5;E9QNN1,A0A087WPL5_MOUSE;E9QNN1_MOUSE,;,;,;,22,24,18,24,18,18,24,23,24,24,24,24,24,24,24,24,119.0584946,361.5168152,129.1534882,249.7838745,117.1849289,119.9396667,441.4371033,274.5328979
2.33E-19,2210011C24Rik,MCG5930,A0A087WQ89,A0A087WQ89_MOUSE,cellular_component,biological_process,molecular_function,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,38.30294037,57.70447922,43.04458237,6.891414642,19.34832764,29.39779282,31.35410118,31.87503433
2.15E-44,Tns1,Protein Tns1,A0A087WQM0;A0A087WQS0;A0A1D5RM59;E9Q0S6,A0A087WQM0_MOUSE;A0A087WQS0_MOUSE;A0A1D5RM59_MOUSE;E9Q0S6_MOUSE,";;;intracellular,focal adhesion,cell-substrate junction",";;;cell-substrate junction assembly,fibroblast migration,intracellular signal transduction",";;;RNA binding,actin binding",23,26,24,20,26,24,26,26,26,26,26,26,26,26,26,26,117.162117,209.359375,127.1564178,59.37700272,121.8946838,114.7660751,234.662262,198.4335632
1.26E-26,Bzw1,Basic leucine zipper and W2 domain-containing protein 1,A0A087WQS2;Q9CQC6,A0A087WQS2_MOUSE;BZW1_MOUSE,";cytoplasm,membrane",";transcription, DNA-templated,regulation of transcription, DNA-templated",";RNA binding,cadherin binding",1,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,11.32509136,63.86523819,16.09975624,40.01906204,21.56632233,8.253020287,60.05639267,26.5760479
4.35E-51,Ctsh,Pro-cathepsin H (Fragment);Pro-cathepsin H,A0A087WR20;P49935,A0A087WR20_MOUSE;CATH_MOUSE,";extracellular space,lysosome,cytosol,cytoplasmic ribonucleoprotein granule,intracellular membrane-bounded organelle,extracellular exosome,alveolar lamellar body",";metanephros development,T cell mediated cytotoxicity,immune response-regulating signaling pathway,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of cell proliferation,positive regulation of gene expression,positive regulation of epithelial cell migration,neuropeptide catabolic process,bradykinin catabolic process,positive regulation of peptidase activity,positive regulation of cell migration,zymogen activation,protein destabilization,response to retinoic acid,membrane protein proteolysis,negative regulation of apoptotic process,surfactant homeostasis,positive regulation of angiogenesis,proteolysis involved in cellular protein catabolic process,dichotomous subdivision of terminal units involved in lung branching,ERK1 and ERK2 cascade,cellular response to thyroid hormone stimulus,positive regulation of apoptotic signaling pathway",";endopeptidase activity,aminopeptidase activity,cysteine-type endopeptidase activity,serine-type endopeptidase activity,peptidase activity,cysteine-type peptidase activity,cysteine-type endopeptidase activator activity involved in apoptotic process,peptidase activator activity involved in apoptotic process,HLA-A specific activating MHC class I receptor activity,thyroid hormone binding",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,75.67396545,119.8296738,79.22438049,69.49013519,79.13285065,104.5063858,145.9893646,124.408371
6.86E-49,Fn1,Fibronectin,A0A087WR50;Q3UHL6,A0A087WR50_MOUSE;Q3UHL6_MOUSE,;,;,;,69,83,55,92,49,70,92,86,92,92,92,92,92,92,92,92,97.41690826,276.3195496,60.41936493,2590.557373,56.09981155,130.2429504,595.2741699,357.4127808
1.21E-30,Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7;Q8R0N6,A0A087WRE7_MOUSE;HOT_MOUSE,";mitochondrion,cytosol",";molecular hydrogen transport,oxidation-reduction process",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",8,8,8,4,8,8,7,8,8,8,8,8,8,8,8,8,199.9564972,102.9218597,210.8316345,27.058815,245.5505676,192.4961548,35.78012848,67.56784058
6.15E-52,Eef1b2;Eef1b,Elongation factor 1-beta,A0A087WS46;O70251,A0A087WS46_MOUSE;EF1B_MOUSE,";cytoplasm,eukaryotic translation elongation factor 1 complex,endoplasmic reticulum",";translational elongation,response to ethanol",";translation elongation factor activity,protein binding",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,403.1084595,643.5580444,430.677002,712.0427246,371.9416504,407.5476379,725.6422729,564.6695557
1.38E-20,Sh3bgrl2,SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2,A0A087WS96;Q8BG73,A0A087WS96_MOUSE;SH3L2_MOUSE,";nucleoplasm,cytoplasm,nuclear membrane,extracellular exosome",;biological_process,";protein binding,SH3 domain binding",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,22.06303215,44.06327438,43.33167267,24.31843567,51.76260757,34.49496078,14.38805008,19.11492729
6.22E-27,Stat1,Signal transducer and activator of transcription;Signal transducer and activator of transcription 1;Signal transducer and activator of transcription;Signal transducer and activator of transcription,A0A087WSP5;P42225;Q8C3V4;Q99K94,A0A087WSP5_MOUSE;STAT1_MOUSE;Q8C3V4_MOUSE;Q99K94_MOUSE,";nuclear chromatin,nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol,axon,dendrite,protein complex,perinuclear region of cytoplasm;;",";negative regulation of transcription from RNA polymerase II promoter,negative regulation of endothelial cell proliferation,positive regulation of mesenchymal cell proliferation,positive regulation of defense response to virus by host,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,transcription, DNA-templated,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,JAK-STAT cascade,blood circulation,response to bacterium,macrophage derived foam cell differentiation,negative regulation of angiogenesis,cytokine-mediated signaling pathway,lipopolysaccharide-mediated signaling pathway,response to lipopolysaccharide,positive regulation of interferon-alpha production,tumor necrosis factor-mediated signaling pathway,response to cytokine,negative regulation of macrophage fusion,response to type I interferon,response to interferon-beta,cellular response to interferon-beta,negative regulation of I-kappaB kinase/NF-kappaB signaling,response to exogenous dsRNA,response to peptide hormone,positive regulation of erythrocyte differentiation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,negative regulation by virus of viral protein levels in host cell,positive regulation of smooth muscle cell proliferation,response to cAMP,defense response to virus,interferon-gamma-mediated signaling pathway,type I interferon signaling pathway,JAK-STAT cascade involved in growth hormone signaling pathway,renal tubule development,cellular response to lipopolysaccharide,cellular response to cytokine stimulus,cellular response to interferon-gamma,cellular response to organic cyclic compound,metanephric mesenchymal cell proliferation involved in metanephros development,metanephric mesenchymal cell differentiation,negative regulation of metanephric nephron tubule epithelial cell differentiation;;",";RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II core promoter sequence-specific DNA binding,transcription factor activity, RNA polymerase II core promoter sequence-specific,core promoter binding,double-stranded DNA binding,transcription factor activity, sequence-specific DNA binding,signal transducer activity,tumor necrosis factor receptor binding,protein binding,enzyme binding,histone acetyltransferase binding,nuclear hormone receptor binding,histone binding,identical protein binding,protein homodimerization activity,ubiquitin-like protein ligase binding,cadherin binding,repressing transcription factor binding,promoter-specific chromatin binding;;",1,2,1,1,1,0,2,2,2,2,2,2,2,2,2,2,7.19760704,26.56854439,8.74553299,11.88229084,7.495009899,4.678911209,46.95025253,26.21681786
1.13E-60,Gcdh,"Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial",A0A0A0MQ68;Q60759,A0A0A0MQ68_MOUSE;GCDH_MOUSE,";mitochondrion,mitochondrial inner membrane,mitochondrial matrix",";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase",";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",14,14,14,13,15,14,13,14,15,15,15,15,15,15,15,15,1079.2323,489.7960205,1108.28772,297.0444641,1113.962158,948.0079956,320.199646,454.6448364
2.17E-12,Nop58,Nucleolar protein 58,A0A0A0MQ76;Q6DFW4,A0A0A0MQ76_MOUSE;NOP58_MOUSE,";fibrillar center,nucleus,nucleolus,small nucleolar ribonucleoprotein complex,cytosol,Cajal body,membrane,box C/D snoRNP complex,small-subunit processome,pre-snoRNP complex",";rRNA modification,snoRNA localization",";TFIID-class transcription factor binding,RNA binding,snoRNA binding,ATPase binding",3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,7.032251835,31.54725838,5.03324461,32.27672958,5.615561962,7.591553211,39.76940155,22.44233131
1.21E-43,Havcr1,Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Isoform 2 of Hepatitis A virus cellular receptor 1 homolog,A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2,A0A0A0MQ86_MOUSE;Q3V033_MOUSE;HAVR1_MOUSE;HAVR1_MOUSE,";;cell surface,integral component of membrane;",;;positive regulation of mast cell activation;,";;phosphatidylserine binding,protein binding;",2,9,1,7,1,0,9,8,9,9,9,9,9,9,9,9,11.91574192,373.8548279,11.62046528,46.81211853,11.91252136,8.92385006,444.9926147,248.7896271
1.33E-26,Nccrp1,F-box only protein 50,A0A0A0MQ97;G3X9C2,A0A0A0MQ97_MOUSE;FBX50_MOUSE,";cytoplasm,extracellular exosome",;positive regulation of cell proliferation,;molecular_function,5,1,5,3,5,5,2,1,5,5,5,5,5,5,5,5,257.6795959,11.65182781,188.5097046,33.94372177,208.4624634,111.1830826,13.69447136,16.75498962
1.58E-55,Serpina1a;Serpina1c;Serpina1a;Serpina1c,Alpha-1-antitrypsin 1-1;Alpha-1-antitrypsin 1-3;Alpha-1-antitrypsin 1-1;Alpha-1-antitrypsin 1-3,A0A0A0MQA3;A0A0R4J0X5;P07758;Q00896,A0A0A0MQA3_MOUSE;A0A0R4J0X5_MOUSE;A1AT1_MOUSE;A1AT3_MOUSE,";;extracellular region,extracellular space,endoplasmic reticulum,Golgi apparatus,intracellular membrane-bounded organelle,extracellular exosome;extracellular region,extracellular space,endoplasmic reticulum,Golgi apparatus,intracellular membrane-bounded organelle,extracellular exosome",";;protein N-linked glycosylation,acute-phase response,negative regulation of endopeptidase activity,response to cytokine,response to peptide hormone;negative regulation of endopeptidase activity,response to cytokine,response to peptide hormone",";;protease binding,serine-type endopeptidase inhibitor activity,protein binding,identical protein binding;protease binding,serine-type endopeptidase inhibitor activity,identical protein binding",9,8,9,9,9,8,9,9,9,9,9,9,9,9,9,9,619.2380981,501.0827942,623.8597412,6096.584473,721.7647095,472.5370789,1039.690186,602.31427
1.87E-53,Tuba4a,Tubulin alpha chain (Fragment);Tubulin alpha-4A chain,A0A0A0MQA5;P68368,A0A0A0MQA5_MOUSE;TBA4A_MOUSE,";cytoplasm,microtubule,microtubule cytoskeleton,extracellular exosome",";cytoskeleton organization,microtubule-based process",";GTPase activity,structural constituent of cytoskeleton,GTP binding,enzyme binding",37,37,35,36,36,35,37,36,37,37,37,37,37,37,37,37,2303.555908,3572.393555,2285.962891,3191.351563,2340.682861,1950.976929,3363.279785,2523.883789
4.29E-21,Mapt,Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein tau;Isoform Tau-A of Microtubule-associated protein tau;Isoform Tau-D of Microtubule-associated protein tau;Isoform Tau-E of Microtubule-associated protein tau,A0A0A0MQC7;A2A5Y6;B1AQW2;P10637;P10637-2;P10637-5;P10637-6,A0A0A0MQC7_MOUSE;A2A5Y6_MOUSE;B1AQW2_MOUSE;TAU_MOUSE;TAU_MOUSE;TAU_MOUSE;TAU_MOUSE,";;;nucleus,cytoplasm,cytosol,microtubule,microtubule associated complex,plasma membrane,axoneme,postsynaptic density,microtubule cytoskeleton,nuclear speck,axon,dendrite,growth cone,axolemma,nuclear periphery,cytoplasmic ribonucleoprotein granule,somatodendritic compartment,neuronal cell body,cell body,tubulin complex,neurofibrillary tangle,membrane;;;",";;;microtubule cytoskeleton organization,neuron migration,axonogenesis,memory,adult walking behavior,axo-dendritic transport,regulation of receptor activity,regulation of autophagy,negative regulation of gene expression,negative regulation of mitochondrial membrane potential,regulation of microtubule polymerization or depolymerization,positive regulation of microtubule polymerization,negative regulation of intracellular transport,positive regulation of superoxide anion generation,negative regulation of kinase activity,positive regulation of axon extension,mitochondrion transport along microtubule,intracellular distribution of mitochondria,axon extension,synapse organization,regulation of calcium-mediated signaling,regulation of microtubule-based movement,regulation of microtubule cytoskeleton organization,negative regulation of mitochondrial fission,fibril organization,regulation of cellular response to heat,positive regulation of neuron death,positive regulation of protein localization to synapse,negative regulation of establishment of protein localization to mitochondrion,positive regulation of cellular protein localization,amyloid fibril formation,regulation of response to DNA damage stimulus;;;",";;;DNA binding,protein binding,microtubule binding,SH3 domain binding,enzyme binding,protein kinase binding,apolipoprotein binding,identical protein binding,protein homodimerization activity,receptor agonist activity,lipoprotein particle binding,microtubule lateral binding;;;",4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,132.6300964,103.1761322,176.5559387,12.16523361,147.8749237,108.209549,85.36470032,75.92302704
2.18E-63,Eif5a,Eukaryotic translation initiation factor 5A (Fragment);Eukaryotic translation initiation factor 5A-1,A0A0A0MQM0;P63242,A0A0A0MQM0_MOUSE;IF5A1_MOUSE,";nucleus,annulate lamellae,nuclear pore,cytoplasm,endoplasmic reticulum membrane,membrane,dendrite,neuronal cell body,extracellular exosome",";mRNA export from nucleus,translational frameshifting,protein export from nucleus,apoptotic process,positive regulation of cytosolic calcium ion concentration,aging,positive regulation of cell proliferation,positive regulation of cardiac muscle cell apoptotic process,positive regulation of apoptotic process,negative regulation of apoptotic process,positive regulation of translational elongation,positive regulation of translational termination,positive regulation of muscle cell differentiation,cellular response to thyroid hormone stimulus,positive regulation of reactive oxygen species metabolic process",";RNA binding,translation elongation factor activity,U6 snRNA binding,ribosome binding,protein N-terminus binding",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,596.4624634,1032.301758,546.5622559,949.2216187,630.281189,539.8974609,1253.090576,912.2874146
5.12E-28,Mbnl1,"Muscleblind-like protein 1;Muscleblind-like protein 1;Muscleblind-like protein 1;Muscleblind-like protein 1 (Fragment);Muscleblind-like 1 (Drosophila), isoform CRA_a;Muscleblind-like protein 1",A0A0A6YVV8;A0A0A6YWB0;A0A0A6YXE3;A0A0A6YXP3;G3X9Q0;Q9JKP5,A0A0A6YVV8_MOUSE;A0A0A6YWB0_MOUSE;A0A0A6YXE3_MOUSE;A0A0A6YXP3_MOUSE;G3X9Q0_MOUSE;MBNL1_MOUSE,";;;;;nucleus,nucleoplasm,cytoplasm,centrosome,cytosol,cytoplasmic stress granule",";;;;;alternative mRNA splicing, via spliceosome,regulation of alternative mRNA splicing, via spliceosome,in utero embryonic development,mRNA splice site selection,nervous system development,skeletal muscle tissue development,RNA splicing,embryonic limb morphogenesis,regulation of RNA splicing,myoblast differentiation",";;;;;RNA binding,double-stranded RNA binding,metal ion binding",3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,38.80594635,99.69070435,13.14848137,107.6839981,30.90349197,44.70363617,141.4158936,107.7299423
7.50E-41,Naa15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit;N-alpha-acetyltransferase 15, NatA auxiliary subunit;N-alpha-acetyltransferase 15, NatA auxiliary subunit",A0A0A6YW80;G3X8Y3;Q80UM3,A0A0A6YW80_MOUSE;G3X8Y3_MOUSE;NAA15_MOUSE,";;nucleus,transcription factor complex,cytoplasm,cytosol,membrane,NatA complex,perinuclear region of cytoplasm",";;angiogenesis,transcription, DNA-templated,N-terminal protein amino acid acetylation,N-terminal peptidyl-methionine acetylation,cell differentiation,negative regulation of apoptotic process,positive regulation of transcription, DNA-templated,protein stabilization",";;RNA binding,protein binding,N-acetyltransferase activity,ribosome binding,peptide alpha-N-acetyltransferase activity,acetyltransferase activity",4,5,3,5,4,5,5,4,5,5,5,5,5,5,5,5,20.32084656,48.89632416,24.41034698,55.95524597,24.71335411,26.09812355,56.56574631,36.00389862
3.52E-25,Aif1l,Allograft inflammatory factor 1-like,A0A0A6YWH2;Q9EQX4,A0A0A6YWH2_MOUSE;AIF1L_MOUSE,";cytoplasm,focal adhesion,actin cytoskeleton,ruffle membrane,protein complex,extracellular exosome,actin filament",;biological_process,";calcium ion binding,actin filament binding",3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,25.8925457,56.79918671,19.18513107,8.087155342,45.88579941,12.1359396,65.50035095,21.21652794
