PG.Qvalue,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
0.00757119,Srgap2,SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase-activating protein 2 (Fragment);SLIT-ROBO Rho GTPase-activating protein 2,A0A087WNM1;A0A087WRV4;Q91Z67,A0A087WNM1_MOUSE;A0A087WRV4_MOUSE;SRGP2_MOUSE,";;nucleoplasm,mitochondrial inner membrane,cytosol,plasma membrane,postsynaptic density,lamellipodium,cell junction,dendritic spine head,postsynaptic membrane,phagocytic vesicle",";;lamellipodium assembly involved in ameboidal cell migration,signal transduction,extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration,negative regulation of cell migration,substrate adhesion-dependent cell spreading,positive regulation of GTPase activity,filopodium assembly,neuron projection morphogenesis,actin filament severing,dendritic spine development,negative regulation of neuron migration",";;GTPase activator activity,protein homodimerization activity,Rac GTPase binding",0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,3.923563957,5.057774067,5.056227207,4.231207371,3.703023911,3.289891958,3.049000263,3.685377359
2.89E-05,Soat1,Sterol O-acyltransferase 1 (Fragment);Sterol O-acyltransferase 1,A0A087WNN8;Q61263,A0A087WNN8_MOUSE;SOAT1_MOUSE,";endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane",";cholesterol metabolic process,macrophage derived foam cell differentiation,cholesterol storage,cholesterol efflux,very-low-density lipoprotein particle assembly,cholesterol esterification,cholesterol homeostasis,positive regulation of amyloid precursor protein biosynthetic process",";fatty-acyl-CoA binding,sterol O-acyltransferase activity,cholesterol binding,cholesterol O-acyltransferase activity",0,2,1,2,0,0,2,2,2,2,2,2,2,2,2,2,3.900092602,12.74994183,5.415036201,20.61423302,2.76635766,3.530533075,14.25211716,4.056522369
4.40E-05,Cdv3,Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3,A0A087WNP6;Q4VAA2;Q4VAA2-2,A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE,";cytoplasm,nucleus;",;biological_process;,;molecular_function;,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19.8242569,73.57273102,44.54956436,84.49598694,41.71563339,57.78152084,88.41376495,83.56846619
1.09E-33,Tceb1,Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1,A0A087WNT1;A0A087WQE6;P83940,A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE,;;elongin complex,";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;protein binding,ubiquitin-protein transferase activity",4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,20.84276199,33.02226639,18.61375999,28.39697266,25.51189995,22.7834301,48.8415451,34.89686584
2.89E-05,Agfg1,Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1 (Fragment);Arf-GAP domain and FG repeat-containing protein 1 (Fragment);Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1;Isoform 1 of Arf-GAP domain and FG repeat-containing protein 1;Isoform 2 of Arf-GAP domain and FG repeat-containing protein 1;Isoform 3 of Arf-GAP domain and FG repeat-containing protein 1,A0A087WNV1;A0A087WR52;A0A087WRL1;A0A087WSR7;Q8K2K6;Q8K2K6-1;Q8K2K6-2;Q8K2K6-3,A0A087WNV1_MOUSE;A0A087WR52_MOUSE;A0A087WRL1_MOUSE;A0A087WSR7_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE,";;;;nucleus,cytoplasmic vesicle,cell projection,neuronal cell body,intracellular membrane-bounded organelle;;;",";;;;acrosome assembly,transport,multicellular organism development,spermatid nucleus differentiation,positive regulation of GTPase activity,intermediate filament organization;;;",";;;;DNA binding,GTPase activator activity,metal ion binding;;;",2,1,1,2,1,2,2,3,3,3,3,3,3,3,3,3,6.069570541,12.77623749,8.613730431,7.72580862,6.681610107,8.750519753,13.81032276,13.36073875
0.000155164,Ktn1,Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Isoform 15 of Kinectin;Isoform 5 of Kinectin;Isoform 6 of Kinectin;Isoform 9 of Kinectin,A0A087WNW3;A0A087WQ25;A0A087WQI3;A0A087WQQ5;A0A087WRS1;F8VQC7;Q61595;Q61595-15;Q61595-5;Q61595-6;Q61595-9,A0A087WNW3_MOUSE;A0A087WQ25_MOUSE;A0A087WQI3_MOUSE;A0A087WQQ5_MOUSE;A0A087WRS1_MOUSE;F8VQC7_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE,";;;;;;endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane;;;;",;;;;;;microtubule-based movement;;;;,;;;;;;kinesin binding;;;;,2,6,2,5,0,1,8,5,8,8,8,8,8,8,8,8,4.436888218,5.114676476,4.518579006,5.128394127,3.926510096,4.342252731,6.675879002,4.496334076
0.000448748,Clasp1,CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;Isoform 2 of CLIP-associating protein 1,A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;E9Q6L0;E9QKH0;E9QNY9;J3QP81;Q80TV8;Q80TV8-2,A0A087WNW8_MOUSE;A0A087WP42_MOUSE;A0A087WQ31_MOUSE;A0A087WQ95_MOUSE;A0A087WQF1_MOUSE;A0A087WRE8_MOUSE;A0A087WRK0_MOUSE;A0A087WS18_MOUSE;A0A0A6YXZ1_MOUSE;E9Q6L0_MOUSE;E9QKH0_MOUSE;E9QNY9_MOUSE;J3QP81_MOUSE;CLAP1_MOUSE;CLAP1_MOUSE,";;;;;;;;;;;;;kinetochore,condensed chromosome kinetochore,Golgi apparatus,centrosome,kinetochore microtubule,spindle microtubule,cytoplasmic microtubule,cell cortex,membrane,cortical microtubule cytoskeleton,centrosomal corona,basal cortex,extracellular exosome,focal adhesion;",";;;;;;;;;;;;;microtubule cytoskeleton organization,microtubule bundle formation,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,astral microtubule organization,microtubule organizing center organization,negative regulation of microtubule polymerization or depolymerization,microtubule anchoring,establishment of mitotic spindle localization,positive regulation of exocytosis,establishment of spindle orientation,cell division,negative regulation of stress fiber assembly,regulation of focal adhesion assembly,regulation of microtubule cytoskeleton organization,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis;",";;;;;;;;;;;;;dystroglycan binding,protein binding,microtubule binding,kinetochore binding,microtubule plus-end binding;",1,2,1,1,1,1,2,0,3,3,3,3,3,3,3,3,8.725709915,7.612170696,8.006844521,10.65987778,11.61031151,10.54739857,11.62308693,6.967757225
2.81E-07,Ly6c1,Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1,A0A087WNZ5;A0A087WRP7;P0CW02,A0A087WNZ5_MOUSE;A0A087WRP7_MOUSE;LY6C1_MOUSE,";;external side of plasma membrane,anchored component of membrane",;;,;;,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,72.5629425,125.3938217,62.49469757,42.97891235,31.29619026,61.87015915,99.31181335,109.3043976
9.48E-05,Trip12,E3 ubiquitin-protein ligase TRIP12,A0A087WNZ7;G5E870,A0A087WNZ7_MOUSE;TRIPC_MOUSE,";nucleus,nucleoplasm,cytoplasm,nuclear speck",";DNA repair,cellular response to DNA damage stimulus,embryo development,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,negative regulation of histone H2A K63-linked ubiquitination,negative regulation of double-strand break repair",";ubiquitin-protein transferase activity,zinc ion binding,thyroid hormone receptor binding,ubiquitin protein ligase activity",1,3,0,2,2,0,2,1,3,3,3,3,3,3,3,3,3.273742437,3.655762196,3.954479456,6.48271513,4.150942326,3.278987885,3.793449879,6.09672308
3.24E-50,Dhx9,ATP-dependent RNA helicase A,A0A087WPL5;E9QNN1,A0A087WPL5_MOUSE;E9QNN1_MOUSE,;,;,;,24,35,29,32,22,24,37,35,41,41,41,41,41,41,41,41,128.3869476,327.3616943,144.3414917,264.8756104,131.0314026,136.7676849,411.2247009,296.2887878
0.004357846,Inppl1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (Fragment);Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",A0A087WPT7;Q6P549,A0A087WPT7_MOUSE;SHIP2_MOUSE,";cytoplasm,Golgi apparatus,cytosol,cytoskeleton,plasma membrane,lamellipodium,filopodium",";endochondral ossification,immune system process,glucose metabolic process,phosphatidylinositol biosynthetic process,endocytosis,actin filament organization,cell adhesion,negative regulation of cell proliferation,post-embryonic development,negative regulation of gene expression,response to insulin,cellular lipid metabolic process,phosphatidylinositol dephosphorylation,ruffle assembly",";actin binding,protein binding,hydrolase activity,SH3 domain binding,SH2 domain binding",1,1,0,0,0,0,2,1,2,2,2,2,2,2,2,2,3.937288761,4.073689938,5.389396191,5.32143116,3.969958782,3.046762466,4.470744133,3.784405231
1.24E-05,2210011C24Rik,MCG5930,A0A087WQ89,A0A087WQ89_MOUSE,cellular_component,biological_process,molecular_function,4,4,2,0,3,3,2,3,4,4,4,4,4,4,4,4,24.91889572,32.46244812,22.66342926,14.12088299,28.19879723,26.38393974,25.17165375,20.35025406
3.13E-26,Tns1,Protein Tns1,A0A087WQS0,A0A087WQS0_MOUSE,,,,31,40,31,22,34,31,41,40,44,44,44,44,44,44,44,44,157.5413666,268.4755859,164.2680664,93.51576233,160.6299896,160.8009338,310.6400452,283.9826965
7.88E-16,Bzw1,Basic leucine zipper and W2 domain-containing protein 1,A0A087WQS2;Q9CQC6,A0A087WQS2_MOUSE;BZW1_MOUSE,";cytoplasm,membrane",";transcription, DNA-templated,regulation of transcription, DNA-templated",";RNA binding,cadherin binding",5,8,5,6,5,6,10,10,12,12,12,12,12,12,12,12,71.52471924,230.4975586,86.30880737,129.6123962,81.19913483,78.72463226,287.5039063,181.0879822
0.000818928,Casp8,Caspase-8,A0A087WQT6;O89110,A0A087WQT6_MOUSE;CASP8_MOUSE,";nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,plasma membrane,Noc1p-Noc2p complex,death-inducing signaling complex,CD95 death-inducing signaling complex,ripoptosome",";angiogenesis,neural tube formation,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,heart development,extrinsic apoptotic signaling pathway via death domain receptors,macrophage differentiation,response to tumor necrosis factor,TRAIL-activated apoptotic signaling pathway,positive regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of macrophage differentiation,positive regulation of proteolysis,cardiac muscle tissue development,proteolysis involved in cellular protein catabolic process,negative regulation of necroptotic process,regulation of thymocyte apoptotic process,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,execution phase of apoptosis,activation of cysteine-type endopeptidase activity,hepatocyte apoptotic process,regulation of apoptotic signaling pathway,positive regulation of extrinsic apoptotic signaling pathway",";endopeptidase activity,cysteine-type endopeptidase activity,protein binding,peptidase activity,ubiquitin protein ligase binding,death effector domain binding,identical protein binding,protein heterodimerization activity,scaffold protein binding,cysteine-type endopeptidase activity involved in apoptotic process,cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cysteine-type endopeptidase activity involved in execution phase of apoptosis",1,3,0,4,1,0,5,4,5,5,5,5,5,5,5,5,4.135562897,4.84407711,3.638437271,5.279728413,3.050674915,5.096731663,4.184910297,5.564970493
2.87E-50,Fn1,Fibronectin,A0A087WR50;Q3UHL6,A0A087WR50_MOUSE;Q3UHL6_MOUSE,;,;,;,64,86,48,110,53,64,103,91,112,112,112,112,112,112,112,112,114.5251389,276.9237671,86.90953827,2670.791016,84.21315765,141.311264,600.0563965,353.9841003
7.15E-13,Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7;Q8R0N6,A0A087WRE7_MOUSE;HOT_MOUSE,";mitochondrion,cytosol",";molecular hydrogen transport,oxidation-reduction process",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",12,8,12,4,11,10,8,10,13,13,13,13,13,13,13,13,199.9902802,86.53559875,189.2907257,36.28276443,223.1409607,211.1518555,48.70695496,100.6801071
0.000276001,2310035C23Rik;2310035C23Rik;2310035C23Rik;Kiaa1468,Protein 2310035C23Rik;Protein 2310035C23Rik;Protein 2310035C23Rik;LisH domain and HEAT repeat-containing protein KIAA1468,A0A087WRM8;E9QM90;G3X9J4;Q148V7,A0A087WRM8_MOUSE;E9QM90_MOUSE;G3X9J4_MOUSE;K1468_MOUSE,;;;cellular_component,;;;biological_process,;;;molecular_function,1,2,2,1,0,1,2,1,3,3,3,3,3,3,3,3,3.401319742,4.60890007,3.905648947,3.48946929,3.59860158,4.885579586,5.140586853,3.628577948
2.28E-12,Sh3bgrl2,SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2,A0A087WS96;Q8BG73,A0A087WS96_MOUSE;SH3L2_MOUSE,";nucleoplasm,cytoplasm,nuclear membrane,extracellular exosome",;biological_process,";protein binding,SH3 domain binding",3,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,19.13865852,25.70767212,24.24334145,14.96121311,21.47437859,18.94397926,26.39835167,18.41695595
3.20E-05,Mapkapk2,MAP kinase-activated protein kinase 2 (Fragment);MAP kinase-activated protein kinase 2,A0A087WSN7;P49138,A0A087WSN7_MOUSE;MAPK2_MOUSE,";nucleus,nucleoplasm,cytoplasm,centrosome,extracellular exosome",";toll-like receptor signaling pathway,protein phosphorylation,inflammatory response,cellular response to DNA damage stimulus,peptidyl-serine phosphorylation,G2 DNA damage checkpoint,response to lipopolysaccharide,regulation of interleukin-6 production,regulation of tumor necrosis factor production,response to cytokine,cellular response to vascular endothelial growth factor stimulus,p38MAPK cascade,positive regulation of tumor necrosis factor biosynthetic process,macropinocytosis,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,mRNA stabilization,inner ear development,3'-UTR-mediated mRNA stabilization",";protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,signal transducer activity,protein binding,calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,mitogen-activated protein kinase binding",1,2,0,1,0,0,2,3,3,3,3,3,3,3,3,3,7.07135725,7.102538109,5.725068569,10.25046349,6.274418354,6.769551754,10.12537193,8.500922203
2.77E-05,Stat1,Signal transducer and activator of transcription;Signal transducer and activator of transcription 1;Signal transducer and activator of transcription,A0A087WSP5;P42225;Q8C3V4,A0A087WSP5_MOUSE;STAT1_MOUSE;Q8C3V4_MOUSE,";nuclear chromatin,nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol,axon,dendrite,protein complex,perinuclear region of cytoplasm;",";negative regulation of transcription from RNA polymerase II promoter,negative regulation of endothelial cell proliferation,positive regulation of mesenchymal cell proliferation,positive regulation of defense response to virus by host,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,transcription, DNA-templated,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,JAK-STAT cascade,blood circulation,response to bacterium,macrophage derived foam cell differentiation,negative regulation of angiogenesis,cytokine-mediated signaling pathway,lipopolysaccharide-mediated signaling pathway,response to lipopolysaccharide,positive regulation of interferon-alpha production,tumor necrosis factor-mediated signaling pathway,response to cytokine,negative regulation of macrophage fusion,response to type I interferon,response to interferon-beta,cellular response to interferon-beta,negative regulation of I-kappaB kinase/NF-kappaB signaling,response to exogenous dsRNA,response to peptide hormone,positive regulation of erythrocyte differentiation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,negative regulation by virus of viral protein levels in host cell,positive regulation of smooth muscle cell proliferation,response to cAMP,defense response to virus,interferon-gamma-mediated signaling pathway,type I interferon signaling pathway,JAK-STAT cascade involved in growth hormone signaling pathway,renal tubule development,cellular response to lipopolysaccharide,cellular response to cytokine stimulus,cellular response to interferon-gamma,cellular response to organic cyclic compound,metanephric mesenchymal cell proliferation involved in metanephros development,metanephric mesenchymal cell differentiation,negative regulation of metanephric nephron tubule epithelial cell differentiation;",";RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II core promoter sequence-specific DNA binding,transcription factor activity, RNA polymerase II core promoter sequence-specific,core promoter binding,double-stranded DNA binding,transcription factor activity, sequence-specific DNA binding,signal transducer activity,tumor necrosis factor receptor binding,protein binding,enzyme binding,histone acetyltransferase binding,nuclear hormone receptor binding,histone binding,identical protein binding,protein homodimerization activity,ubiquitin-like protein ligase binding,cadherin binding,repressing transcription factor binding,promoter-specific chromatin binding;",2,4,1,4,1,2,8,4,8,8,8,8,8,8,8,8,51.96929932,46.36174774,46.69164276,53.91016769,47.5832901,47.09799194,55.91549301,42.80109787
6.64E-42,Gcdh,"Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial",A0A0A0MQ68;Q60759,A0A0A0MQ68_MOUSE;GCDH_MOUSE,";mitochondrion,mitochondrial inner membrane,mitochondrial matrix",";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase",";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",16,13,16,14,18,15,14,13,19,19,19,19,19,19,19,19,887.5140991,515.1640625,942.5657349,416.4074402,950.0049438,828.4518433,312.4039307,454.5817261
