PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Pdlim2,PDZ and LIM domain protein 2;PDZ and LIM domain protein 2 (Fragment);PDZ and LIM domain protein 2,A0A087WPL1;F7C957;Q8R1G6,A0A087WPL1_MOUSE;F7C957_MOUSE;PDLI2_MOUSE,";;stress fiber,cortical actin cytoskeleton,extracellular exosome",;;,";;filamin binding,myosin heavy chain binding,metal ion binding,muscle alpha-actinin binding",4.517020724733879E-81,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28.442153930664062,62.077579498291016,34.08378219604492,37.71019744873047,27.91061782836914,39.515533447265625,64.45806121826172,63.114707946777344
Gm29289;Gm4064;Rbmy1a1;Gm21693;Rbmy1a1;Rbmy1b,"Protein Gm29289 (Fragment);Protein Gm4064;Protein Gm10256;Protein Gm21693;RNA-binding motif protein, Y chromosome, family 1 member A1;RNA-binding motif protein, Y chromosome, family 1 member B",A0A087WPY7;A0A087WR82;B2RWR6;J3QK27;O35698;Q60990,A0A087WPY7_MOUSE;A0A087WR82_MOUSE;B2RWR6_MOUSE;J3QK27_MOUSE;RBY1A_MOUSE;RBY1B_MOUSE,";cellular_component;;;nucleus;cellular_component,nucleus",";biological_process;;;hematopoietic progenitor cell differentiation,mRNA processing,RNA splicing;mRNA processing,biological_process,RNA splicing","RNA binding;molecular_function,RNA binding;;RNA binding;RNA binding;molecular_function,RNA binding",6.60387906272901E-43,Filtered,2,2,1,Filtered,Filtered,2,1,Filtered,2,2,1,Filtered,Filtered,2,1,Filtered,75.9413070678711,9.683869361877441,9.032554626464844,Filtered,Filtered,145.2076873779297,12.540855407714844
2210011C24Rik,MCG5930,A0A087WQ89,A0A087WQ89_MOUSE,cellular_component,biological_process,molecular_function,1.4908845417246078E-90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,63.21255874633789,79.14867401123047,57.87812805175781,6.091992378234863,38.33258056640625,46.97000503540039,48.15562438964844,65.08869934082031
Tns1,Protein Tns1,A0A087WQM0;A0A087WQS0;A0A1D5RM59;E9Q0S6,A0A087WQM0_MOUSE;A0A087WQS0_MOUSE;A0A1D5RM59_MOUSE;E9Q0S6_MOUSE,";;;intracellular,focal adhesion,cell-substrate junction",";;;cell-substrate junction assembly,fibroblast migration,intracellular signal transduction",";;;RNA binding,actin binding",1.2180049042433873E-77,29,29,27,26,27,28,29,29,29,29,27,26,27,28,29,29,225.59397888183594,349.76092529296875,231.07870483398438,129.2587432861328,215.93446350097656,212.2532958984375,400.2403564453125,348.11053466796875
Ctsh,Pro-cathepsin H (Fragment);Pro-cathepsin H,A0A087WR20;P49935,A0A087WR20_MOUSE;CATH_MOUSE,";extracellular space,lysosome,cytosol,cytoplasmic ribonucleoprotein granule,intracellular membrane-bounded organelle,extracellular exosome,alveolar lamellar body",";metanephros development,T cell mediated cytotoxicity,immune response-regulating signaling pathway,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of cell proliferation,positive regulation of gene expression,positive regulation of epithelial cell migration,neuropeptide catabolic process,bradykinin catabolic process,positive regulation of peptidase activity,positive regulation of cell migration,zymogen activation,protein destabilization,response to retinoic acid,membrane protein proteolysis,negative regulation of apoptotic process,surfactant homeostasis,positive regulation of angiogenesis,proteolysis involved in cellular protein catabolic process,dichotomous subdivision of terminal units involved in lung branching,ERK1 and ERK2 cascade,cellular response to thyroid hormone stimulus,positive regulation of apoptotic signaling pathway",";endopeptidase activity,aminopeptidase activity,cysteine-type endopeptidase activity,serine-type endopeptidase activity,peptidase activity,cysteine-type peptidase activity,cysteine-type endopeptidase activator activity involved in apoptotic process,peptidase activator activity involved in apoptotic process,HLA-A specific activating MHC class I receptor activity,thyroid hormone binding",4.418484888869257E-78,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129.59658813476562,178.3837890625,137.34561157226562,109.48553466796875,127.86471557617188,159.52345275878906,196.7928924560547,172.88433837890625
Fn1,Fibronectin,A0A087WR50;P11276;Q3UHL6,A0A087WR50_MOUSE;FINC_MOUSE;Q3UHL6_MOUSE,";fibrinogen complex,proteinaceous extracellular matrix,basement membrane,basal lamina,extracellular space,endoplasmic reticulum-Golgi intermediate compartment,apical plasma membrane,extracellular matrix,extracellular exosome,blood microparticle;",";angiogenesis,regulation of protein phosphorylation,acute-phase response,cell-substrate junction assembly,cell adhesion,cell-matrix adhesion,calcium-independent cell-matrix adhesion,positive regulation of cell proliferation,regulation of cell shape,positive regulation of gene expression,positive regulation of peptidase activity,peptide cross-linking,integrin activation,substrate adhesion-dependent cell spreading,endodermal cell differentiation,wound healing,positive regulation of axon extension,positive regulation of fibroblast proliferation,interaction with symbiont,interaction with other organism via secreted substance involved in symbiotic interaction,regulation of ERK1 and ERK2 cascade,positive regulation of substrate-dependent cell migration, cell attachment to substrate,negative regulation of transforming growth factor-beta secretion;",";protease binding,receptor binding,integrin binding,protein binding,protein C-terminus binding,heparin binding,peptidase activator activity,enzyme binding,identical protein binding,chaperone binding,disordered domain specific binding;",3.3294081328262636E-76,81,95,71,99,64,87,98,98,81,95,71,99,64,87,98,98,139.50790405273438,375.4377136230469,79.88429260253906,3171.93310546875,73.43310546875,203.23069763183594,753.0494384765625,487.9927062988281
Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7;Q8R0N6,A0A087WRE7_MOUSE;HOT_MOUSE,";mitochondrion,cytosol",";molecular hydrogen transport,oxidation-reduction process",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",1.252549130118497E-64,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,315.7400817871094,139.02304077148438,321.0315246582031,53.249629974365234,356.829833984375,301.5620422363281,62.352935791015625,130.58180236816406
Nucks1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,A0A087WRY3;Q80XU3,A0A087WRY3_MOUSE;NUCKS_MOUSE,";chromatin,nuclear chromatin,nucleus,nucleolus,cytoplasm",";double-strand break repair via homologous recombination,cellular glucose homeostasis,regulation of DNA replication,chromatin organization,regulation of transcription from RNA polymerase II promoter,transcription from RNA polymerase II promoter,release from viral latency,replication fork processing,interstrand cross-link repair,glucose homeostasis,positive regulation by host of viral transcription,positive regulation by host of viral genome replication,positive regulation of transcription from RNA polymerase II promoter,regulation of insulin receptor signaling pathway,positive regulation of insulin receptor signaling pathway,regulation of DNA strand elongation,cellular response to X-ray,modulation by host of RNA binding by virus,modulation by host of viral RNA-binding transcription factor activity",";transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,chromatin binding,double-stranded DNA binding,single-stranded DNA binding,RNA binding,transcription factor binding",9.834177731733187E-56,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,119.20802307128906,174.5149383544922,121.35417175292969,106.24801635742188,68.67079162597656,80.08501434326172,161.4551239013672,128.34568786621094
Stat1,Signal transducer and activator of transcription;Signal transducer and activator of transcription 1;Signal transducer and activator of transcription;Signal transducer and activator of transcription,A0A087WSP5;P42225;Q8C3V4;Q99K94,A0A087WSP5_MOUSE;STAT1_MOUSE;Q8C3V4_MOUSE;Q99K94_MOUSE,";nuclear chromatin,nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol,axon,dendrite,protein complex,perinuclear region of cytoplasm;;",";negative regulation of transcription from RNA polymerase II promoter,negative regulation of endothelial cell proliferation,positive regulation of mesenchymal cell proliferation,positive regulation of defense response to virus by host,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,transcription, DNA-templated,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,JAK-STAT cascade,blood circulation,response to bacterium,macrophage derived foam cell differentiation,negative regulation of angiogenesis,cytokine-mediated signaling pathway,lipopolysaccharide-mediated signaling pathway,response to lipopolysaccharide,positive regulation of interferon-alpha production,tumor necrosis factor-mediated signaling pathway,response to cytokine,negative regulation of macrophage fusion,response to type I interferon,response to interferon-beta,cellular response to interferon-beta,negative regulation of I-kappaB kinase/NF-kappaB signaling,response to exogenous dsRNA,response to peptide hormone,positive regulation of erythrocyte differentiation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,negative regulation by virus of viral protein levels in host cell,positive regulation of smooth muscle cell proliferation,response to cAMP,defense response to virus,interferon-gamma-mediated signaling pathway,type I interferon signaling pathway,JAK-STAT cascade involved in growth hormone signaling pathway,renal tubule development,cellular response to lipopolysaccharide,cellular response to cytokine stimulus,cellular response to interferon-gamma,cellular response to organic cyclic compound,metanephric mesenchymal cell proliferation involved in metanephros development,metanephric mesenchymal cell differentiation,negative regulation of metanephric nephron tubule epithelial cell differentiation;;",";RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II core promoter sequence-specific DNA binding,transcription factor activity, RNA polymerase II core promoter sequence-specific,core promoter binding,double-stranded DNA binding,transcription factor activity, sequence-specific DNA binding,signal transducer activity,tumor necrosis factor receptor binding,protein binding,enzyme binding,histone acetyltransferase binding,nuclear hormone receptor binding,histone binding,identical protein binding,protein homodimerization activity,ubiquitin-like protein ligase binding,cadherin binding,repressing transcription factor binding,promoter-specific chromatin binding;;",7.233861193411067E-70,5,6,4,6,5,5,6,6,5,6,4,6,5,5,6,6,18.54064178466797,40.35305404663086,16.45655059814453,26.00044822692871,16.134319305419922,16.202205657958984,76.77206420898438,50.186622619628906
Gcdh,"Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial",A0A0A0MQ68;Q60759,A0A0A0MQ68_MOUSE;GCDH_MOUSE,";mitochondrion,mitochondrial inner membrane,mitochondrial matrix",";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase",";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",5.712034106995919E-77,17,16,17,17,17,17,17,15,17,16,17,17,17,17,17,15,1239.5223388671875,581.5147094726562,1242.013916015625,355.2668151855469,1262.8851318359375,1020.2897338867188,325.4637145996094,493.3423767089844
Nop58,Nucleolar protein 58,A0A0A0MQ76;Q6DFW4,A0A0A0MQ76_MOUSE;NOP58_MOUSE,";fibrillar center,nucleus,nucleolus,small nucleolar ribonucleoprotein complex,cytosol,Cajal body,membrane,box C/D snoRNP complex,small-subunit processome,pre-snoRNP complex",";rRNA modification,snoRNA localization",";TFIID-class transcription factor binding,RNA binding,snoRNA binding,ATPase binding",2.5942354024401015E-49,5,4,2,5,3,4,4,5,5,4,2,5,3,4,4,5,21.010074615478516,53.67440414428711,12.457243919372559,76.82307434082031,15.750924110412598,21.75797462463379,65.2127456665039,47.18406295776367
Havcr1,Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Isoform 2 of Hepatitis A virus cellular receptor 1 homolog,A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2,A0A0A0MQ86_MOUSE;Q3V033_MOUSE;HAVR1_MOUSE;HAVR1_MOUSE,";;cell surface,integral component of membrane;",;;positive regulation of mast cell activation;,";;phosphatidylserine binding,protein binding;",7.089625714260831E-72,1,8,2,7,1,3,8,8,0,8,0,7,1,3,8,8,NaN,25.713653564453125,NaN,4.641998291015625,0.08618723601102829,0.15168263018131256,29.429372787475586,16.807788848876953
Nccrp1,F-box only protein 50,A0A0A0MQ97;G3X9C2,A0A0A0MQ97_MOUSE;FBX50_MOUSE,";cytoplasm,extracellular exosome",;positive regulation of cell proliferation,;molecular_function,1.096282412426464E-65,5,5,5,4,5,5,4,5,5,5,5,4,5,5,4,5,293.7668151855469,12.455231666564941,219.7157440185547,59.51136016845703,236.24208068847656,136.06460571289062,18.833717346191406,9.713152885437012
Serpina1a,Alpha-1-antitrypsin 1-1,A0A0A0MQA3;P07758,A0A0A0MQA3_MOUSE;A1AT1_MOUSE,";extracellular region,extracellular space,endoplasmic reticulum,Golgi apparatus,intracellular membrane-bounded organelle,extracellular exosome",";protein N-linked glycosylation,acute-phase response,negative regulation of endopeptidase activity,response to cytokine,response to peptide hormone",";protease binding,serine-type endopeptidase inhibitor activity,protein binding,identical protein binding",1.2528943655867105E-80,7,8,7,9,7,7,7,9,7,8,7,9,7,7,7,9,705.0642700195312,518.56640625,667.8245239257812,5674.05859375,741.4645385742188,578.5166015625,835.0078735351562,519.068359375
Tuba4a,Tubulin alpha chain (Fragment);Tubulin alpha-4A chain,A0A0A0MQA5;P68368,A0A0A0MQA5_MOUSE;TBA4A_MOUSE,";cytoplasm,microtubule,microtubule cytoskeleton,extracellular exosome",";cytoskeleton organization,microtubule-based process",";GTPase activity,structural constituent of cytoskeleton,GTP binding,enzyme binding",2.371621110054658E-89,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2855.2001953125,4375.45458984375,3012.690185546875,3875.662353515625,3106.423095703125,2569.6630859375,4020.575439453125,3177.548828125
Mapt,Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein tau;Isoform Tau-A of Microtubule-associated protein tau;Isoform Tau-D of Microtubule-associated protein tau;Isoform Tau-E of Microtubule-associated protein tau,A0A0A0MQC7;A2A5Y6;B1AQW2;P10637;P10637-2;P10637-5;P10637-6,A0A0A0MQC7_MOUSE;A2A5Y6_MOUSE;B1AQW2_MOUSE;TAU_MOUSE;TAU_MOUSE;TAU_MOUSE;TAU_MOUSE,";;;nucleus,cytoplasm,cytosol,microtubule,microtubule associated complex,plasma membrane,axoneme,postsynaptic density,microtubule cytoskeleton,nuclear speck,axon,dendrite,growth cone,axolemma,nuclear periphery,cytoplasmic ribonucleoprotein granule,somatodendritic compartment,neuronal cell body,cell body,tubulin complex,neurofibrillary tangle,membrane;;;",";;;microtubule cytoskeleton organization,neuron migration,axonogenesis,memory,adult walking behavior,axo-dendritic transport,regulation of receptor activity,regulation of autophagy,negative regulation of gene expression,negative regulation of mitochondrial membrane potential,regulation of microtubule polymerization or depolymerization,positive regulation of microtubule polymerization,negative regulation of intracellular transport,positive regulation of superoxide anion generation,negative regulation of kinase activity,positive regulation of axon extension,mitochondrion transport along microtubule,intracellular distribution of mitochondria,axon extension,synapse organization,regulation of calcium-mediated signaling,regulation of microtubule-based movement,regulation of microtubule cytoskeleton organization,negative regulation of mitochondrial fission,fibril organization,regulation of cellular response to heat,positive regulation of neuron death,positive regulation of protein localization to synapse,negative regulation of establishment of protein localization to mitochondrion,positive regulation of cellular protein localization,amyloid fibril formation,regulation of response to DNA damage stimulus;;;",";;;DNA binding,protein binding,microtubule binding,SH3 domain binding,enzyme binding,protein kinase binding,apolipoprotein binding,identical protein binding,protein homodimerization activity,receptor agonist activity,lipoprotein particle binding,microtubule lateral binding;;;",6.427276223829977E-64,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,177.8032989501953,152.47146606445312,280.2420959472656,5.379118919372559,204.57220458984375,130.5621337890625,83.65148162841797,99.63362884521484
