Protein Group Identifications: Injured vs Non-injured No Diet Kidney Lysate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3945 identified protein groups with >= 2 unique peptides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 min DIA sample files  were searched with 120 min Deep Library in Spectronaut v16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Ktn1,Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Isoform 15 of Kinectin;Isoform 5 of Kinectin;Isoform 6 of Kinectin;Isoform 9 of Kinectin,A0A087WNW3;A0A087WQ25;A0A087WQI3;A0A087WQQ5;A0A087WRS1;F8VQC7;Q61595;Q61595-15;Q61595-5;Q61595-6;Q61595-9,";;;;;;endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane;;;;",;;;;;;microtubule-based movement;;;;,;;;;;;kinesin binding;;;;,1.22E-18,4,7,1,7,5,6,9,6,4,7,1,7,5,6,9,6,6.237590313,5.869320393,1.019189,5.374678135,0.917724133,6.212275505,8.801271439,4.226640224
Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp2;Clasp1;Clasp1;Clasp2;Clasp1;Clasp2;Clasp1;Clasp1;Clasp2,CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP associating protein 2;CLIP-associating protein 1;Isoform 2 of CLIP-associating protein 1;CLIP-associating protein 2,A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;E9Q6L0;E9Q8N5;E9QKH0;E9QNY9;F7DCH5;J3QP81;Q08EB6;Q80TV8;Q80TV8-2;Q8BRT1,";;;;;;;;;;;;;;;;kinetochore,condensed chromosome kinetochore,Golgi apparatus,centrosome,kinetochore microtubule,spindle microtubule,cytoplasmic microtubule,cell cortex,membrane,cortical microtubule cytoskeleton,centrosomal corona,basal cortex,extracellular exosome,focal adhesion;;condensed chromosome kinetochore,spindle pole,Golgi apparatus,trans-Golgi network,microtubule organizing center,cytosol,microtubule,cytoplasmic microtubule,plasma membrane,cell cortex,membrane,cell leading edge,ruffle membrane,axonal growth cone,basal cortex,cortical microtubule plus-end,kinetochore,focal adhesion,mitotic spindle",";;;;;;;;;;;;;;;;microtubule cytoskeleton organization,microtubule bundle formation,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,astral microtubule organization,microtubule organizing center organization,negative regulation of microtubule polymerization or depolymerization,microtubule anchoring,establishment of mitotic spindle localization,positive regulation of exocytosis,establishment of spindle orientation,cell division,negative regulation of stress fiber assembly,regulation of focal adhesion assembly,regulation of microtubule cytoskeleton organization,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis;;microtubule cytoskeleton organization,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,establishment or maintenance of cell polarity,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,cell migration,regulation of axon extension,microtubule organizing center organization,regulation of microtubule polymerization or depolymerization,regulation of microtubule polymerization,regulation of microtubule-based process,regulation of actin cytoskeleton organization,microtubule anchoring,platelet-derived growth factor receptor-beta signaling pathway,positive regulation of exocytosis,cell division,meiotic cell cycle,negative regulation of stress fiber assembly,negative regulation of focal adhesion assembly,protein localization to plasma membrane,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis",";;;;;;;;;;;;;;;;dystroglycan binding,protein binding,microtubule binding,kinetochore binding,microtubule plus-end binding;;dystroglycan binding,protein binding,microtubule binding,microtubule plus-end binding,actin filament binding,protein tyrosine kinase binding",6.30E-24,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,17.20455742,26.20553589,18.30639267,49.26828766,24.3525238,14.40472698,31.20382881,13.74088383
Ly6c1,Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1,A0A087WNZ5;A0A087WRP7;P0CW02,";;external side of plasma membrane,anchored component of membrane",;;,;;,1.54E-34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,204.1564789,244.249588,153.5513916,99.98081207,88.57685089,132.9381104,111.8485718,126.7863235
Trip12,E3 ubiquitin-protein ligase TRIP12,A0A087WNZ7;G5E870,";nucleus,nucleoplasm,cytoplasm,nuclear speck",";DNA repair,cellular response to DNA damage stimulus,embryo development,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,negative regulation of histone H2A K63-linked ubiquitination,negative regulation of double-strand break repair",";ubiquitin-protein transferase activity,zinc ion binding,thyroid hormone receptor binding,ubiquitin protein ligase activity",2.53E-44,2,6,2,4,2,3,7,6,2,6,2,4,2,3,7,6,1.257333517,7.191085815,2.829812527,3.704814672,2.371043921,1.841162205,7.5978899,3.667212963
Plekha6,Pleckstrin homology domain-containing family A member 6 (Fragment);Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6,A0A087WP13;A0A087WRB7;E9PX43;Q7TQG1,;;;cellular_component,;;;biological_process,;;;molecular_function,9.54E-27,3,2,3,Filtered,3,3,3,2,3,2,3,Filtered,3,3,3,2,14.91642761,13.655159,15.24250984,Filtered,12.19671345,9.793474197,4.169121742,7.295423031
Inppl1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (Fragment);Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",A0A087WPT7;Q6P549,";cytoplasm,Golgi apparatus,cytosol,cytoskeleton,plasma membrane,lamellipodium,filopodium",";endochondral ossification,immune system process,glucose metabolic process,phosphatidylinositol biosynthetic process,endocytosis,actin filament organization,cell adhesion,negative regulation of cell proliferation,post-embryonic development,negative regulation of gene expression,response to insulin,cellular lipid metabolic process,phosphatidylinositol dephosphorylation,ruffle assembly",";actin binding,protein binding,hydrolase activity,SH3 domain binding,SH2 domain binding",3.19E-05,2,3,1,3,1,2,4,4,2,3,1,3,1,2,4,4,19.89020348,16.83947945,5.783024788,22.33979797,8.788642883,7.670597553,17.50793457,10.31415081
2210011C24Rik,MCG5930,A0A087WQ89,cellular_component,biological_process,molecular_function,7.11E-48,4,4,4,1,4,4,4,4,4,4,4,1,4,4,4,4,47.81822586,48.76171875,46.64095306,2.538735867,28.23689842,35.9024086,34.47502518,32.67134857
Bclaf1,Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1 (Fragment);Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1;Isoform 2 of Bcl-2-associated transcription factor 1;Isoform 3 of Bcl-2-associated transcription factor 1,A0A087WQA0;A0A087WRN1;F8WI22;Q8K019;Q8K019-2;Q8K019-3,";;;nucleus,nucleoplasm,cytoplasm,nuclear speck;;",";;;transcription, DNA-templated,apoptotic process,positive regulation of apoptotic process,regulation of DNA-templated transcription in response to stress,negative regulation of transcription, DNA-templated,cellular response to leukemia inhibitory factor,positive regulation of DNA-templated transcription, initiation,positive regulation of response to DNA damage stimulus,positive regulation of intrinsic apoptotic signaling pathway;;",";;;DNA binding,RNA binding,protein binding;;",1.28E-13,4,6,4,6,4,5,6,6,4,6,4,6,4,5,6,6,19.12449074,39.15593719,14.46651459,23.82500076,17.11008835,9.697615623,36.25997543,29.32331085
Tns1,Protein Tns1,A0A087WQS0,,,,2.03E-44,52,54,54,44,55,51,57,54,52,54,54,44,55,51,57,54,239.8045502,315.9502563,239.5603943,114.0330658,231.7960205,222.2143555,337.047821,335.7922363
Bzw1,Basic leucine zipper and W2 domain-containing protein 1,A0A087WQS2;Q9CQC6,";cytoplasm,membrane",";transcription, DNA-templated,regulation of transcription, DNA-templated",";RNA binding,cadherin binding",6.44E-17,8,10,10,10,9,6,9,10,8,10,10,10,9,6,9,10,84.07753754,199.4442749,85.50836182,193.046051,89.7979126,52.52864456,196.9132538,156.0136871
Casp8,Caspase-8,A0A087WQT6;O89110,";nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,plasma membrane,Noc1p-Noc2p complex,death-inducing signaling complex,CD95 death-inducing signaling complex,ripoptosome",";angiogenesis,neural tube formation,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,heart development,extrinsic apoptotic signaling pathway via death domain receptors,macrophage differentiation,response to tumor necrosis factor,TRAIL-activated apoptotic signaling pathway,positive regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of macrophage differentiation,positive regulation of proteolysis,cardiac muscle tissue development,proteolysis involved in cellular protein catabolic process,negative regulation of necroptotic process,regulation of thymocyte apoptotic process,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,execution phase of apoptosis,activation of cysteine-type endopeptidase activity,hepatocyte apoptotic process,regulation of apoptotic signaling pathway,positive regulation of extrinsic apoptotic signaling pathway",";endopeptidase activity,cysteine-type endopeptidase activity,protein binding,peptidase activity,ubiquitin protein ligase binding,death effector domain binding,identical protein binding,protein heterodimerization activity,scaffold protein binding,cysteine-type endopeptidase activity involved in apoptotic process,cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cysteine-type endopeptidase activity involved in execution phase of apoptosis",2.05E-12,3,9,5,5,5,5,8,7,3,9,5,5,5,5,8,7,4.136193275,5.088047028,3.098083735,10.14745522,4.237372398,4.754442215,7.580459118,8.540655136
Gm4064;Rbmy1a1;Gm21693;Rbmy1a1;Rbmy1b,"Protein Gm4064;Protein Gm10256;Protein Gm21693;RNA-binding motif protein, Y chromosome, family 1 member A1;RNA-binding motif protein, Y chromosome, family 1 member B",A0A087WR82;B2RWR6;J3QK27;O35698;Q60990,"cellular_component;;;nucleus;cellular_component,nucleus","biological_process;;;hematopoietic progenitor cell differentiation,mRNA processing,RNA splicing;mRNA processing,biological_process,RNA splicing","molecular_function,RNA binding;;RNA binding;RNA binding;molecular_function,RNA binding",7.76E-28,Filtered,3,Filtered,1,Filtered,1,3,Filtered,Filtered,3,Filtered,1,Filtered,0,3,Filtered,Filtered,6.326902866,Filtered,3.109526873,Filtered,NaN,9.765803337,Filtered
Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7;Q8R0N6,";mitochondrion,cytosol",";molecular hydrogen transport,oxidation-reduction process",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",4.23E-62,21,15,19,9,20,19,14,17,21,15,19,9,20,19,14,17,113.9996719,42.30774307,128.4564667,20.67022896,136.5863037,116.7154541,20.94301987,43.17410278
2310035C23Rik;2310035C23Rik;2310035C23Rik;Kiaa1468,Protein 2310035C23Rik;Protein 2310035C23Rik;Protein 2310035C23Rik;LisH domain and HEAT repeat-containing protein KIAA1468,A0A087WRM8;E9QM90;G3X9J4;Q148V7,;;;cellular_component,;;;biological_process,;;;molecular_function,5.26E-23,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,5.141094685,4.440070152,5.058317661,3.046525478,3.543009043,4.828126431,7.109827995,2.7310853
Sumo1,Small ubiquitin-related modifier 1,A0A087WRQ4;P63166,";heterochromatin,fibrillar center,XY body,nucleus,nucleoplasm,nucleolus,cytosol,plasma membrane,nuclear body,PML body,nuclear speck,dendrite,SUMO activating enzyme complex,nuclear membrane,synapse,nuclear stress granule,voltage-gated potassium channel complex",";regulation of transcription, DNA-templated,protein sumoylation,PML body organization,positive regulation of protein complex assembly,regulation of protein stability,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,cellular response to heat,negative regulation of DNA binding,negative regulation of sequence-specific DNA binding transcription factor activity,negative regulation of action potential,negative regulation of transcription, DNA-templated,protein stabilization,palate development,cellular response to cadmium ion,regulation of cardiac muscle cell contraction,protein localization to nuclear pore,positive regulation of calcium-transporting ATPase activity,negative regulation of delayed rectifier potassium channel activity,regulation of calcium ion transmembrane transport",";transcription corepressor binding,RNA binding,protein binding,protein C-terminus binding,transcription factor binding,potassium channel regulator activity,SUMO transferase activity,enzyme binding,protein binding, bridging,protein tag,ubiquitin protein ligase binding,glucocorticoid receptor binding,small protein activating enzyme binding",3.53E-07,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,74.52575684,107.6777191,76.30605316,188.5352478,57.71709061,68.64419556,145.3036194,131.5573273
Nucks1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,A0A087WRY3;Q80XU3,";chromatin,nuclear chromatin,nucleus,nucleolus,cytoplasm",";double-strand break repair via homologous recombination,cellular glucose homeostasis,regulation of DNA replication,chromatin organization,regulation of transcription from RNA polymerase II promoter,transcription from RNA polymerase II promoter,release from viral latency,replication fork processing,interstrand cross-link repair,glucose homeostasis,positive regulation by host of viral transcription,positive regulation by host of viral genome replication,positive regulation of transcription from RNA polymerase II promoter,regulation of insulin receptor signaling pathway,positive regulation of insulin receptor signaling pathway,regulation of DNA strand elongation,cellular response to X-ray,modulation by host of RNA binding by virus,modulation by host of viral RNA-binding transcription factor activity",";transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,chromatin binding,double-stranded DNA binding,single-stranded DNA binding,RNA binding,transcription factor binding",2.30E-35,3,3,2,2,2,2,3,3,3,3,2,2,2,2,3,3,124.7322464,169.5623932,131.9343109,61.26001358,78.91055298,75.02506256,134.5875702,110.0226059
Sh3bgrl2,SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2,A0A087WS96;Q8BG73,";nucleoplasm,cytoplasm,nuclear membrane,extracellular exosome",;biological_process,";protein binding,SH3 domain binding",6.79E-41,4,4,3,2,4,4,4,4,4,4,3,2,4,4,4,4,33.67528152,28.30998993,39.86566544,9.135998726,51.67404938,32.13977814,22.74549294,33.34132767
Fn1,Fibronectin,A0A087WSN6,,,,2.72E-61,91,106,76,130,72,90,121,116,91,106,76,130,72,90,121,116,195.8273468,490.3403625,117.813858,4229.212891,102.6003723,289.4301758,936.7559814,685.6499634
