PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity
Havcr1,Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Isoform 2 of Hepatitis A virus cellular receptor 1 homolog,A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2,A0A0A0MQ86_MOUSE;Q3V033_MOUSE;HAVR1_MOUSE;HAVR1_MOUSE,";;cell surface,integral component of membrane;",;;positive regulation of mast cell activation;,";;phosphatidylserine binding,protein binding;",9.33E-49,1,7,1,6,2,7,5,1,1,7,1,6,2,7,5,1,7.721026421,239.8076172,4.990009785,170.7340088,8.234126091,245.2646332,34.22536469,4.123703957
Nccrp1,F-box only protein 50,A0A0A0MQ97;G3X9C2,A0A0A0MQ97_MOUSE;FBX50_MOUSE,";cytoplasm,extracellular exosome",;positive regulation of cell proliferation,;molecular_function,1.47E-53,6,5,5,4,6,5,4,6,6,5,5,4,6,5,4,6,69.12904358,10.97985172,50.87565231,4.094461441,37.53362656,8.820281982,18.7781086,40.1880722
Serpina1a,Alpha-1-antitrypsin 1-1,A0A0A0MQA3;P07758,A0A0A0MQA3_MOUSE;A1AT1_MOUSE,";extracellular region,extracellular space,endoplasmic reticulum,Golgi apparatus,intracellular membrane-bounded organelle,extracellular exosome",";protein N-linked glycosylation,acute-phase response,negative regulation of endopeptidase activity,response to cytokine,response to peptide hormone",";protease binding,serine-type endopeptidase inhibitor activity,protein binding,identical protein binding",6.35E-45,17,17,17,18,17,18,18,18,17,17,17,18,17,18,18,18,1096.321655,890.7521362,989.7762451,1380.89624,1065.304443,1553.724976,10823.65625,957.7750244
Tuba4a,Tubulin alpha chain (Fragment);Tubulin alpha-4A chain,A0A0A0MQA5;P68368,A0A0A0MQA5_MOUSE;TBA4A_MOUSE,";cytoplasm,microtubule,microtubule cytoskeleton,extracellular exosome",";cytoskeleton organization,microtubule-based process",";GTPase activity,structural constituent of cytoskeleton,GTP binding,enzyme binding",5.65E-54,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1844.337769,2595.884521,1850.395996,2115.493408,1576.756592,2829.978027,2701.945801,1946.540527
Mapt,Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein tau;Isoform Tau-A of Microtubule-associated protein tau;Isoform Tau-D of Microtubule-associated protein tau;Isoform Tau-E of Microtubule-associated protein tau,A0A0A0MQC7;A2A5Y6;B1AQW2;P10637;P10637-2;P10637-5;P10637-6,A0A0A0MQC7_MOUSE;A2A5Y6_MOUSE;B1AQW2_MOUSE;TAU_MOUSE;TAU_MOUSE;TAU_MOUSE;TAU_MOUSE,";;;nucleus,cytoplasm,cytosol,microtubule,microtubule associated complex,plasma membrane,axoneme,postsynaptic density,microtubule cytoskeleton,nuclear speck,axon,dendrite,growth cone,axolemma,nuclear periphery,cytoplasmic ribonucleoprotein granule,somatodendritic compartment,neuronal cell body,cell body,tubulin complex,neurofibrillary tangle,membrane;;;",";;;microtubule cytoskeleton organization,neuron migration,axonogenesis,memory,adult walking behavior,axo-dendritic transport,regulation of receptor activity,regulation of autophagy,negative regulation of gene expression,negative regulation of mitochondrial membrane potential,regulation of microtubule polymerization or depolymerization,positive regulation of microtubule polymerization,negative regulation of intracellular transport,positive regulation of superoxide anion generation,negative regulation of kinase activity,positive regulation of axon extension,mitochondrion transport along microtubule,intracellular distribution of mitochondria,axon extension,synapse organization,regulation of calcium-mediated signaling,regulation of microtubule-based movement,regulation of microtubule cytoskeleton organization,negative regulation of mitochondrial fission,fibril organization,regulation of cellular response to heat,positive regulation of neuron death,positive regulation of protein localization to synapse,negative regulation of establishment of protein localization to mitochondrion,positive regulation of cellular protein localization,amyloid fibril formation,regulation of response to DNA damage stimulus;;;",";;;DNA binding,protein binding,microtubule binding,SH3 domain binding,enzyme binding,protein kinase binding,apolipoprotein binding,identical protein binding,protein homodimerization activity,receptor agonist activity,lipoprotein particle binding,microtubule lateral binding;;;",3.63E-18,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,95.13005829,59.34652328,92.70065308,55.39430618,70.5821228,51.12134933,4.203497887,83.96211243
Gapdh,Glyceraldehyde-3-phosphate dehydrogenase,A0A0A0MQF6;P16858,A0A0A0MQF6_MOUSE;G3P_MOUSE,";nucleus,cytoplasm,mitochondrion,lipid particle,cytosol,plasma membrane,microtubule cytoskeleton,membrane,intracellular ribonucleoprotein complex,extracellular matrix,nuclear membrane,vesicle,myelin sheath,intracellular membrane-bounded organelle,extracellular exosome,GAIT complex",";microtubule cytoskeleton organization,glucose metabolic process,glycolytic process,multicellular organism development,negative regulation of endopeptidase activity,negative regulation of translation,killing of cells of other organism,peptidyl-cysteine S-trans-nitrosylation,positive regulation of cytokine secretion,protein stabilization,defense response to fungus,neuron apoptotic process,killing by host of symbiont cells,positive regulation by organism of apoptotic process in other organism involved in symbiotic interaction,oxidation-reduction process,Requires Ontology,cellular response to interferon-gamma",";glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity,protein binding,microtubule binding,aspartic-type endopeptidase inhibitor activity,enzyme binding,peptidyl-cysteine S-nitrosylase activity,identical protein binding,NADP binding,NAD binding,disordered domain specific binding",1.31E-45,35,34,34,35,35,35,35,35,35,34,34,35,35,35,35,35,3768.311768,4479.474121,3485.929199,3718.664551,3568.257324,3608.663574,3756.34082,4079.465332
Eif5a,Eukaryotic translation initiation factor 5A (Fragment);Eukaryotic translation initiation factor 5A-1,A0A0A0MQM0;P63242,A0A0A0MQM0_MOUSE;IF5A1_MOUSE,";nucleus,annulate lamellae,nuclear pore,cytoplasm,endoplasmic reticulum membrane,membrane,dendrite,neuronal cell body,extracellular exosome",";mRNA export from nucleus,translational frameshifting,protein export from nucleus,apoptotic process,positive regulation of cytosolic calcium ion concentration,aging,positive regulation of cell proliferation,positive regulation of cardiac muscle cell apoptotic process,positive regulation of apoptotic process,negative regulation of apoptotic process,positive regulation of translational elongation,positive regulation of translational termination,positive regulation of muscle cell differentiation,cellular response to thyroid hormone stimulus,positive regulation of reactive oxygen species metabolic process",";RNA binding,translation elongation factor activity,U6 snRNA binding,ribosome binding,protein N-terminus binding",4.53E-40,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,290.888031,581.190979,369.761261,495.3377991,324.1347961,690.8933105,418.0578308,366.2263794
Mbnl1,"Muscleblind-like protein 1;Muscleblind-like protein 1;Muscleblind-like protein 1;Muscleblind-like protein 1 (Fragment);Muscleblind-like 1 (Drosophila), isoform CRA_a;Muscleblind-like protein 1",A0A0A6YVV8;A0A0A6YWB0;A0A0A6YXE3;A0A0A6YXP3;G3X9Q0;Q9JKP5,A0A0A6YVV8_MOUSE;A0A0A6YWB0_MOUSE;A0A0A6YXE3_MOUSE;A0A0A6YXP3_MOUSE;G3X9Q0_MOUSE;MBNL1_MOUSE,";;;;;nucleus,nucleoplasm,cytoplasm,centrosome,cytosol,cytoplasmic stress granule",";;;;;alternative mRNA splicing, via spliceosome,regulation of alternative mRNA splicing, via spliceosome,in utero embryonic development,mRNA splice site selection,nervous system development,skeletal muscle tissue development,RNA splicing,embryonic limb morphogenesis,regulation of RNA splicing,myoblast differentiation",";;;;;RNA binding,double-stranded RNA binding,metal ion binding",1.93E-07,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,8.383340836,23.93996239,9.749263763,26.07888603,10.53097916,26.797472,18.45973015,8.502701759
Aif1l,Allograft inflammatory factor 1-like,A0A0A6YWH2;Q9EQX4,A0A0A6YWH2_MOUSE;AIF1L_MOUSE,";cytoplasm,focal adhesion,actin cytoskeleton,ruffle membrane,protein complex,extracellular exosome,actin filament",;biological_process,";calcium ion binding,actin filament binding",1.28E-10,5,5,5,5,4,5,4,4,5,5,5,5,4,5,4,4,22.66806221,48.55857468,25.65740967,18.9172287,11.27661228,52.12623978,8.213382721,28.85370255
Atp6v1h,V-type proton ATPase subunit H,A0A0A6YWP6;A0A0A6YX18;Q8BVE3,A0A0A6YWP6_MOUSE;A0A0A6YX18_MOUSE;VATH_MOUSE,";;vacuolar proton-transporting V-type ATPase, V1 domain,lysosomal membrane,extracellular exosome",";;endocytosis,vacuolar acidification,ATP hydrolysis coupled proton transport",";;proton-transporting ATPase activity, rotational mechanism",5.67E-49,12,12,12,12,11,12,9,12,12,12,12,12,11,12,9,12,431.7010803,260.1090088,455.4992065,229.2697601,428.8157349,266.4292603,164.484024,435.7987671
Prkar2a,"cAMP-dependent protein kinase type II-alpha regulatory subunit;Protein kinase, cAMP dependent regulatory, type II alpha",A0A0A6YX73;Q8K1M3,A0A0A6YX73_MOUSE;Q8K1M3_MOUSE,;,;,;,2.98E-40,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,43.42676544,34.5030899,38.33637619,52.37034225,47.04605865,44.66247177,32.11394119,45.8516922
Lrba,Lipopolysaccharide-responsive and beige-like anchor protein,A0A0A6YXL6;A0A0A6YXX3;E9Q3Y4,A0A0A6YXL6_MOUSE;A0A0A6YXX3_MOUSE;E9Q3Y4_MOUSE,;;,;;,;;,3.51E-19,5,5,5,5,4,5,2,5,5,5,5,5,4,5,2,5,36.31336594,25.82538223,31.14875031,18.7434864,23.97914886,27.86785316,15.48726559,29.90452957
Impdh2,Inosine-5'-monophosphate dehydrogenase 2 (Fragment);Inosine-5'-monophosphate dehydrogenase 2,A0A0A6YY72;P24547,A0A0A6YY72_MOUSE;IMDH2_MOUSE,";nucleus,cytoplasm,peroxisomal membrane,cytosol,membrane,extracellular exosome",";purine nucleotide biosynthetic process,GMP biosynthetic process,GTP biosynthetic process,lymphocyte proliferation,protein homotetramerization,oxidation-reduction process,retina development in camera-type eye,cellular response to interleukin-4",";nucleotide binding,DNA binding,RNA binding,IMP dehydrogenase activity,metal ion binding",1.97E-19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29.96481133,32.23323441,23.83709717,36.31220627,16.35543251,28.1502533,43.41483688,24.64163589
Srrt,Serrate RNA effector molecule homolog (Fragment);Serrate RNA effector molecule homolog;Isoform B of Serrate RNA effector molecule homolog;Isoform C of Serrate RNA effector molecule homolog;Isoform D of Serrate RNA effector molecule homolog,A0A0G2JDF8;Q99MR6;Q99MR6-2;Q99MR6-3;Q99MR6-4,A0A0G2JDF8_MOUSE;SRRT_MOUSE;SRRT_MOUSE;SRRT_MOUSE;SRRT_MOUSE,";nucleoplasm,cytoplasm,protein complex;;;",";transcription, DNA-templated,regulation of transcription, DNA-templated,cell proliferation,primary miRNA processing,positive regulation of neurogenesis,neuronal stem cell population maintenance;;;",";DNA binding,RNA binding,protein binding;;;",2.31E-36,1,2,1,2,Filtered,2,2,1,1,2,1,2,Filtered,2,2,1,6.24582386,15.61565971,10.3550787,30.04369354,Filtered,17.06046867,20.78954124,8.77808094
Cnn3,Calponin;Calponin-3,A0A0G2JDV8;Q9DAW9,A0A0G2JDV8_MOUSE;CNN3_MOUSE,";cytosol,cell-cell adherens junction,focal adhesion,postsynaptic density,actin cytoskeleton,neuronal cell body,dendritic spine",";epithelial cell differentiation,actomyosin structure organization,negative regulation of ATPase activity,cell-cell adhesion",";actin binding,protein binding,calmodulin binding,microtubule binding,cadherin binding involved in cell-cell adhesion",1.49E-49,6,6,4,6,6,6,6,6,6,6,4,6,6,6,6,6,100.5189133,327.4187317,93.35601807,238.2342987,77.39015961,309.467041,154.4324646,99.96984863
Rps27;Rps27;Rps27l,40S ribosomal protein S27 (Fragment);40S ribosomal protein S27;40S ribosomal protein S27-like,A0A0G2JDW7;Q6ZWU9;Q6ZWY3,A0A0G2JDW7_MOUSE;RS27_MOUSE;RS27L_MOUSE,";cytosolic small ribosomal subunit;nucleus,cytosolic small ribosomal subunit",";ribosomal small subunit assembly,rRNA processing,translation;ribosomal small subunit assembly,DNA repair,translation,activation of cysteine-type endopeptidase activity involved in apoptotic process,DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator,mitotic G1 DNA damage checkpoint,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,positive regulation of translation",";structural constituent of ribosome,protein binding,metal ion binding;RNA binding,structural constituent of ribosome,translation activator activity,cysteine-type endopeptidase activator activity involved in apoptotic process,metal ion binding",6.01E-31,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,149.7337189,229.9664459,154.7800751,250.5516052,192.2200165,248.6894836,170.0667114,132.2692871
