PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.UniProtIds,PG.BiologicalProcess,PG.CellularComponent,PG.MolecularFunction,PG.Qvalue,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
2210011C24Rik,MCG5930,A0A087WQ89_MOUSE,A0A087WQ89,biological_process,cellular_component,molecular_function,0,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,9.0307788848877,13.6018180847168,9.94631481170654,1.85091626644135,7.41782331466675,9.61595439910889,6.76646757125854,1.40831053256989
Tns1,Protein Tns1,A0A087WQM0_MOUSE;A0A087WQS0_MOUSE;A0A1D5RM59_MOUSE;E9Q0S6_MOUSE,A0A087WQM0;A0A087WQS0;A0A1D5RM59;E9Q0S6,";;;cell-substrate junction assembly,fibroblast migration,intracellular signal transduction",";;;intracellular,focal adhesion,cell-substrate junction",";;;RNA binding,actin binding",0,14,14,13,13,14,14,13,0,14,14,14,14,14,14,14,14,40.3837776184082,72.8661422729492,41.0910873413086,26.9023284912109,37.1188316345215,70.4976501464844,38.7818298339844,5.53162384033203
Ctsh,Pro-cathepsin H (Fragment);Pro-cathepsin H,A0A087WR20_MOUSE;CATH_MOUSE,A0A087WR20;P49935,";metanephros development,T cell mediated cytotoxicity,immune response-regulating signaling pathway,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of cell proliferation,positive regulation of gene expression,positive regulation of epithelial cell migration,neuropeptide catabolic process,bradykinin catabolic process,positive regulation of peptidase activity,positive regulation of cell migration,zymogen activation,protein destabilization,response to retinoic acid,membrane protein proteolysis,negative regulation of apoptotic process,surfactant homeostasis,positive regulation of angiogenesis,proteolysis involved in cellular protein catabolic process,dichotomous subdivision of terminal units involved in lung branching,ERK1 and ERK2 cascade,cellular response to thyroid hormone stimulus,positive regulation of apoptotic signaling pathway",";extracellular space,lysosome,cytosol,cytoplasmic ribonucleoprotein granule,intracellular membrane-bounded organelle,extracellular exosome,alveolar lamellar body",";endopeptidase activity,aminopeptidase activity,cysteine-type endopeptidase activity,serine-type endopeptidase activity,peptidase activity,cysteine-type peptidase activity,cysteine-type endopeptidase activator activity involved in apoptotic process,peptidase activator activity involved in apoptotic process,HLA-A specific activating MHC class I receptor activity,thyroid hormone binding",0,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,30.4158554077148,43.3624153137207,33.1252021789551,25.0935611724854,46.4565048217773,37.4367179870605,37.4148559570313,3.56787872314453
Fn1,Fibronectin,A0A087WR50_MOUSE;FINC_MOUSE;Q3UHL6_MOUSE,A0A087WR50;P11276;Q3UHL6,";angiogenesis,regulation of protein phosphorylation,acute-phase response,cell-substrate junction assembly,cell adhesion,cell-matrix adhesion,calcium-independent cell-matrix adhesion,positive regulation of cell proliferation,regulation of cell shape,positive regulation of gene expression,positive regulation of peptidase activity,peptide cross-linking,integrin activation,substrate adhesion-dependent cell spreading,endodermal cell differentiation,wound healing,positive regulation of axon extension,positive regulation of fibroblast proliferation,interaction with symbiont,interaction with other organism via secreted substance involved in symbiotic interaction,regulation of ERK1 and ERK2 cascade,positive regulation of substrate-dependent cell migration, cell attachment to substrate,negative regulation of transforming growth factor-beta secretion;",";fibrinogen complex,proteinaceous extracellular matrix,basement membrane,basal lamina,extracellular space,endoplasmic reticulum-Golgi intermediate compartment,apical plasma membrane,extracellular matrix,extracellular exosome,blood microparticle;",";protease binding,receptor binding,integrin binding,protein binding,protein C-terminus binding,heparin binding,peptidase activator activity,enzyme binding,identical protein binding,chaperone binding,disordered domain specific binding;",0,64,90,57,96,55,92,70,0,96,96,96,96,96,96,96,96,47.0684852600098,120.390235900879,31.7536849975586,1079.849609375,30.8430919647217,167.970397949219,57.6023292541504,24.0151767730713
Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7_MOUSE;HOT_MOUSE,A0A087WRE7;Q8R0N6,";molecular hydrogen transport,oxidation-reduction process",";mitochondrion,cytosol",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",0,6,5,6,4,6,6,5,0,6,6,6,6,6,6,6,6,86.4279098510742,44.4372940063477,83.9822998046875,16.7290725708008,83.8481063842773,39.6847877502441,72.6701583862305,6.36580944061279
Eef1b2;Eef1b,Elongation factor 1-beta,A0A087WS46_MOUSE;EF1B_MOUSE,A0A087WS46;O70251,";translational elongation,response to ethanol",";cytoplasm,eukaryotic translation elongation factor 1 complex,endoplasmic reticulum",";translation elongation factor activity,protein binding",0,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,42.6686134338379,63.4413452148438,41.8128623962402,71.282585144043,35.4023895263672,65.6375427246094,40.4874000549316,2.50817608833313
Sh3bgrl2,SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2,A0A087WS96_MOUSE;SH3L2_MOUSE,A0A087WS96;Q8BG73,;biological_process,";nucleoplasm,cytoplasm,nuclear membrane,extracellular exosome",";protein binding,SH3 domain binding",0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,14.8357610702515,20.1787357330322,17.6666965484619,7.26860809326172,18.5214881896973,12.4868745803833,13.2092609405518,1.56463599205017
Gcdh,"Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial",A0A0A0MQ68_MOUSE;GCDH_MOUSE,A0A0A0MQ68;Q60759,";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase",";mitochondrion,mitochondrial inner membrane,mitochondrial matrix",";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",0,14,14,14,13,14,14,14,0,14,14,14,14,14,14,14,14,276.485473632813,159.656936645508,292.663635253906,111.548637390137,280.823791503906,125.586318969727,250.378463745117,14.6878280639648
Slc25a35,Solute carrier family 25 member 35,A0A0A0MQ70_MOUSE;S2535_MOUSE,A0A0A0MQ70;Q5SWT3,";mitochondrial transport,transmembrane transport",";mitochondrion,mitochondrial inner membrane,integral component of membrane",;transmembrane transporter activity,0,3,2,3,1,3,1,3,0,3,3,3,3,3,3,3,3,8.76907539367676,2.18175077438354,9.35421848297119,2.64810609817505,7.3566951751709,1.96883594989777,7.40526056289673,3.07043814659119
Havcr1,Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Isoform 2 of Hepatitis A virus cellular receptor 1 homolog,A0A0A0MQ86_MOUSE;Q3V033_MOUSE;HAVR1_MOUSE;HAVR1_MOUSE,A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2,;;positive regulation of mast cell activation;,";;cell surface,integral component of membrane;",";;phosphatidylserine binding,protein binding;",0,0,6,2,5,2,6,1,0,6,6,6,6,6,6,6,6,2.45995426177979,85.5040664672852,1.74169516563416,12.468653678894,1.42623579502106,53.165901184082,1.52260851860046,1.7906619310379
Nccrp1,F-box only protein 50,A0A0A0MQ97_MOUSE;FBX50_MOUSE,A0A0A0MQ97;G3X9C2,;positive regulation of cell proliferation,";cytoplasm,extracellular exosome",;molecular_function,0,4,3,4,4,4,4,4,0,4,4,4,4,4,4,4,4,81.7984771728516,6.7666449546814,61.6208190917969,18.4645023345947,64.923454284668,4.00503921508789,33.0837059020996,1.68383324146271
Serpina1a,Alpha-1-antitrypsin 1-1,A0A0A0MQA3_MOUSE;A1AT1_MOUSE,A0A0A0MQA3;P07758,";protein N-linked glycosylation,acute-phase response,negative regulation of endopeptidase activity,response to cytokine,response to peptide hormone",";extracellular region,extracellular space,endoplasmic reticulum,Golgi apparatus,intracellular membrane-bounded organelle,extracellular exosome",";protease binding,serine-type endopeptidase inhibitor activity,protein binding,identical protein binding",0,25,19,23,26,23,25,25,0,26,26,26,26,26,26,26,26,597.815551757813,461.876190185547,545.208740234375,6603.9912109375,556.728271484375,749.396484375,543.212463378906,38.7523078918457
Tuba4a,Tubulin alpha chain (Fragment);Tubulin alpha-4A chain,A0A0A0MQA5_MOUSE;TBA4A_MOUSE,A0A0A0MQA5;P68368,";cytoskeleton organization,microtubule-based process",";cytoplasm,microtubule,microtubule cytoskeleton,extracellular exosome",";GTPase activity,structural constituent of cytoskeleton,GTP binding,enzyme binding",0,34,33,34,34,33,34,34,0,34,34,34,34,34,34,34,34,554.864501953125,893.023803710938,565.070495605469,874.758178710938,574.327880859375,682.695068359375,528.590576171875,9.7423734664917
Mapt,Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein tau;Isoform Tau-A of Microtubule-associated protein tau;Isoform Tau-D of Microtubule-associated protein tau;Isoform Tau-E of Microtubule-associated protein tau,A0A0A0MQC7_MOUSE;A2A5Y6_MOUSE;B1AQW2_MOUSE;TAU_MOUSE;TAU_MOUSE;TAU_MOUSE;TAU_MOUSE,A0A0A0MQC7;A2A5Y6;B1AQW2;P10637;P10637-2;P10637-5;P10637-6,";;;microtubule cytoskeleton organization,neuron migration,axonogenesis,memory,adult walking behavior,axo-dendritic transport,regulation of receptor activity,regulation of autophagy,negative regulation of gene expression,negative regulation of mitochondrial membrane potential,regulation of microtubule polymerization or depolymerization,positive regulation of microtubule polymerization,negative regulation of intracellular transport,positive regulation of superoxide anion generation,negative regulation of kinase activity,positive regulation of axon extension,mitochondrion transport along microtubule,intracellular distribution of mitochondria,axon extension,synapse organization,regulation of calcium-mediated signaling,regulation of microtubule-based movement,regulation of microtubule cytoskeleton organization,negative regulation of mitochondrial fission,fibril organization,regulation of cellular response to heat,positive regulation of neuron death,positive regulation of protein localization to synapse,negative regulation of establishment of protein localization to mitochondrion,positive regulation of cellular protein localization,amyloid fibril formation,regulation of response to DNA damage stimulus;;;",";;;nucleus,cytoplasm,cytosol,microtubule,microtubule associated complex,plasma membrane,axoneme,postsynaptic density,microtubule cytoskeleton,nuclear speck,axon,dendrite,growth cone,axolemma,nuclear periphery,cytoplasmic ribonucleoprotein granule,somatodendritic compartment,neuronal cell body,cell body,tubulin complex,neurofibrillary tangle,membrane;;;",";;;DNA binding,protein binding,microtubule binding,SH3 domain binding,enzyme binding,protein kinase binding,apolipoprotein binding,identical protein binding,protein homodimerization activity,receptor agonist activity,lipoprotein particle binding,microtubule lateral binding;;;",0,3,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,26.657506942749,31.3212909698486,42.9426422119141,2.07588791847229,44.3429908752441,27.9747982025146,29.1918201446533,2.82423233985901
Gapdh,Glyceraldehyde-3-phosphate dehydrogenase,A0A0A0MQF6_MOUSE;G3P_MOUSE,A0A0A0MQF6;P16858,";microtubule cytoskeleton organization,glucose metabolic process,glycolytic process,multicellular organism development,negative regulation of endopeptidase activity,negative regulation of translation,killing of cells of other organism,peptidyl-cysteine S-trans-nitrosylation,positive regulation of cytokine secretion,protein stabilization,defense response to fungus,neuron apoptotic process,killing by host of symbiont cells,positive regulation by organism of apoptotic process in other organism involved in symbiotic interaction,oxidation-reduction process,Requires Ontology,cellular response to interferon-gamma",";nucleus,cytoplasm,mitochondrion,lipid particle,cytosol,plasma membrane,microtubule cytoskeleton,membrane,intracellular ribonucleoprotein complex,extracellular matrix,nuclear membrane,vesicle,myelin sheath,intracellular membrane-bounded organelle,extracellular exosome,GAIT complex",";glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity,protein binding,microtubule binding,aspartic-type endopeptidase inhibitor activity,enzyme binding,peptidyl-cysteine S-nitrosylase activity,identical protein binding,NADP binding,NAD binding,disordered domain specific binding",0,40,38,39,40,39,40,40,7,40,40,40,40,40,40,40,40,999.751220703125,1452.833984375,1018.36804199219,952.724670410156,1130.26330566406,962.174926757813,976.736267089844,59.5398750305176
Eif5a,Eukaryotic translation initiation factor 5A (Fragment);Eukaryotic translation initiation factor 5A-1,A0A0A0MQM0_MOUSE;IF5A1_MOUSE,A0A0A0MQM0;P63242,";mRNA export from nucleus,translational frameshifting,protein export from nucleus,apoptotic process,positive regulation of cytosolic calcium ion concentration,aging,positive regulation of cell proliferation,positive regulation of cardiac muscle cell apoptotic process,positive regulation of apoptotic process,negative regulation of apoptotic process,positive regulation of translational elongation,positive regulation of translational termination,positive regulation of muscle cell differentiation,cellular response to thyroid hormone stimulus,positive regulation of reactive oxygen species metabolic process",";nucleus,annulate lamellae,nuclear pore,cytoplasm,endoplasmic reticulum membrane,membrane,dendrite,neuronal cell body,extracellular exosome",";RNA binding,translation elongation factor activity,U6 snRNA binding,ribosome binding,protein N-terminus binding",0,16,15,16,16,15,16,16,0,16,16,16,16,16,16,16,16,246.175369262695,427.908172607422,202.664245605469,362.614288330078,247.532196044922,378.166778564453,206.047286987305,19.9399070739746
Nptn,Neuroplastin;Neuroplastin (Fragment);Neuroplastin;Isoform 1 of Neuroplastin;Isoform 3 of Neuroplastin;Neuroplastin,A0A0A0MQN8_MOUSE;H3BIX4_MOUSE;NPTN_MOUSE;NPTN_MOUSE;NPTN_MOUSE;Z4YLB7_MOUSE,A0A0A0MQN8;H3BIX4;P97300;P97300-1;P97300-3;Z4YLB7,";;positive regulation of protein phosphorylation,homophilic cell adhesion via plasma membrane adhesion molecules,positive regulation of cytosolic calcium ion concentration,visual learning,positive regulation of neuron projection development,positive regulation of fibroblast growth factor receptor signaling pathway,positive regulation of long-term neuronal synaptic plasticity,modulation of synaptic transmission,synapse organization,long-term synaptic potentiation,positive regulation of ERK1 and ERK2 cascade,positive regulation of long-term synaptic potentiation,regulation of receptor localization to synapse,positive regulation of cellular protein localization,excitatory synapse assembly;;;",";;cell surface,postsynaptic density,integral component of membrane,dendrite,presynaptic membrane,inhibitory synapse;;;",";;type 1 fibroblast growth factor receptor binding,ion channel binding,cell adhesion molecule binding;;;",0,2,2,2,2,1,2,2,0,2,2,2,2,2,2,2,2,29.7416877746582,34.1168251037598,25.0435791015625,38.6085815429688,8.93679237365723,18.9041519165039,16.2749481201172,2.17766523361206
Aif1l,Allograft inflammatory factor 1-like,A0A0A6YWH2_MOUSE;AIF1L_MOUSE,A0A0A6YWH2;Q9EQX4,;biological_process,";cytoplasm,focal adhesion,actin cytoskeleton,ruffle membrane,protein complex,extracellular exosome,actin filament",";calcium ion binding,actin filament binding",0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,17.3259735107422,26.8925552368164,15.868127822876,8.50863361358643,19.4966316223145,13.0216045379639,7.61955595016479,1.00805795192719
Atp6v1h,V-type proton ATPase subunit H,A0A0A6YX18_MOUSE;VATH_MOUSE,A0A0A6YX18;Q8BVE3,";endocytosis,vacuolar acidification,ATP hydrolysis coupled proton transport",";vacuolar proton-transporting V-type ATPase, V1 domain,lysosomal membrane,extracellular exosome",";proton-transporting ATPase activity, rotational mechanism",0,17,15,17,17,17,16,17,0,17,17,17,17,17,17,17,17,192.372955322266,137.052947998047,192.673828125,129.942443847656,201.277389526367,138.857223510742,199.794174194336,25.9155120849609
Prkar2a,"cAMP-dependent protein kinase type II-alpha regulatory subunit;Protein kinase, cAMP dependent regulatory, type II alpha",A0A0A6YX73_MOUSE;Q8K1M3_MOUSE,A0A0A6YX73;Q8K1M3,;,;,;,0,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,18.4732227325439,22.7997016906738,18.1579284667969,14.5187616348267,19.1615467071533,29.6129913330078,19.5018005371094,2.67497110366821
Lrba,Lipopolysaccharide-responsive and beige-like anchor protein,A0A0A6YXL6_MOUSE;A0A0A6YXX3_MOUSE;E9Q3Y4_MOUSE,A0A0A6YXL6;A0A0A6YXX3;E9Q3Y4,;;,;;,;;,0,5,5,5,5,5,5,4,0,5,5,5,5,5,5,5,5,13.4936056137085,11.6511240005493,17.3490257263184,8.8691234588623,15.3387928009033,12.4280595779419,13.7098159790039,2.97091341018677
Cacybp,Calcyclin-binding protein (Fragment);Calcyclin-binding protein,A0A0A6YY29_MOUSE;CYBP_MOUSE,A0A0A6YY29;Q9CXW3,";aging,positive regulation of DNA replication,cardiac muscle cell differentiation,response to growth hormone,negative regulation of cell death,cellular response to calcium ion,cellular response to leukemia inhibitory factor",";nuclear envelope lumen,nucleoplasm,cytoplasm,cytosol,SCF ubiquitin ligase complex,beta-catenin destruction complex,neuron projection,cell body,extracellular exosome",";protein binding,protein domain specific binding,ubiquitin protein ligase binding,protein homodimerization activity",0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,25.7185688018799,38.211009979248,22.8650398254395,54.3305397033691,15.3288793563843,28.3675079345703,20.2792053222656,1.39470791816711
