PG.Qvalue,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
1.20E-51,Ly6c1,Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1,A0A087WNZ5;A0A087WRP7;P0CW02,A0A087WNZ5_MOUSE;A0A087WRP7_MOUSE;LY6C1_MOUSE,";;external side of plasma membrane,anchored component of membrane",;;,;;,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,30.31181717,38.35814285,26.52863884,21.5683403,14.4600153,30.67818451,19.71875572,1.107655168
3.25E-06,Glb1l,Beta-galactosidase-1-like protein (Fragment);Beta-galactosidase-1-like protein,A0A087WPH5;Q8VC60,A0A087WPH5_MOUSE;GLB1L_MOUSE,";extracellular space,vacuole",;carbohydrate metabolic process,;beta-galactosidase activity,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,9.151542664,12.71855736,4.114125252,5.495918751,3.089931726,7.236069202,4.643164158,1.421921611
1.04E-55,Dhx9,ATP-dependent RNA helicase A,A0A087WPL5;E9QNN1,A0A087WPL5_MOUSE;E9QNN1_MOUSE,;,;,;,24,23,22,25,23,25,24,0,26,26,26,26,26,26,26,26,71.79062653,152.9170532,60.10492706,135.4448395,68.48764801,144.4090729,65.03801727,13.00881386
3.24E-06,Gm29289;Gm4064;Rbmy1a1;Gm21693;Rbmy1a1;Rbmy1b,"Protein Gm29289 (Fragment);Protein Gm4064;Protein Gm10256;Protein Gm21693;RNA-binding motif protein, Y chromosome, family 1 member A1;RNA-binding motif protein, Y chromosome, family 1 member B",A0A087WPY7;A0A087WR82;B2RWR6;J3QK27;O35698;Q60990,A0A087WPY7_MOUSE;A0A087WR82_MOUSE;B2RWR6_MOUSE;J3QK27_MOUSE;RBY1A_MOUSE;RBY1B_MOUSE,";cellular_component;;;nucleus;cellular_component,nucleus",";biological_process;;;hematopoietic progenitor cell differentiation,mRNA processing,RNA splicing;mRNA processing,biological_process,RNA splicing","RNA binding;molecular_function,RNA binding;;RNA binding;RNA binding;molecular_function,RNA binding",0,2,0,1,0,2,0,0,2,2,2,2,2,2,2,2,2.79766655,19.692379,2.332214832,2.160918713,2.080728292,3.251286983,1.774929404,1.667433739
1.99E-06,2210011C24Rik,MCG5930,A0A087WQ89,A0A087WQ89_MOUSE,cellular_component,biological_process,molecular_function,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,12.20235634,19.19875336,13.12650108,1.894402623,12.06326389,10.40162849,8.553999901,0.963333845
6.14E-81,Tns1,Protein Tns1,A0A087WQM0;A0A087WQS0;A0A1D5RM59;E9Q0S6,A0A087WQM0_MOUSE;A0A087WQS0_MOUSE;A0A1D5RM59_MOUSE;E9Q0S6_MOUSE,";;;intracellular,focal adhesion,cell-substrate junction",";;;cell-substrate junction assembly,fibroblast migration,intracellular signal transduction",";;;RNA binding,actin binding",33,34,33,27,35,35,32,0,35,35,35,35,35,35,35,35,77.15252686,140.4400635,77.52779388,50.82910538,76.86621857,133.9943542,80.24013519,9.126158714
4.12E-18,Bzw1,Basic leucine zipper and W2 domain-containing protein 1,A0A087WQS2;Q9CQC6,A0A087WQS2_MOUSE;BZW1_MOUSE,";cytoplasm,membrane",";transcription, DNA-templated,regulation of transcription, DNA-templated",";RNA binding,cadherin binding",8,7,8,7,8,8,7,0,9,9,9,9,9,9,9,9,26.47780228,74.87445068,27.70171928,64.72480011,30.30589485,61.47231674,26.68925667,3.958366156
2.98E-94,Fn1,Fibronectin,A0A087WR50;Q3UHL6,A0A087WR50_MOUSE;Q3UHL6_MOUSE,;,;,;,84,96,71,106,75,103,81,0,107,107,107,107,107,107,107,107,41.83341217,101.9368515,29.81983566,785.7590942,27.96049881,137.514679,47.23489761,19.31819534
2.26E-55,Adhfe1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7;Q8R0N6,A0A087WRE7_MOUSE;HOT_MOUSE,";mitochondrion,cytosol",";molecular hydrogen transport,oxidation-reduction process",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",12,10,10,8,12,11,11,0,12,12,12,12,12,12,12,12,83.83307648,38.8234787,83.43961334,17.65613174,88.21685791,34.35226059,84.46356201,10.25525475
2.65E-11,2310035C23Rik;2310035C23Rik;2310035C23Rik;2310035C23Rik;Kiaa1468;Kiaa1468,Protein 2310035C23Rik;Protein 2310035C23Rik;Protein 2310035C23Rik;Protein 2310035C23Rik;LisH domain and HEAT repeat-containing protein KIAA1468;Isoform 2 of LisH domain and HEAT repeat-containing protein KIAA1468,A0A087WRM8;A0A087WSS1;E9QM90;G3X9J4;Q148V7;Q148V7-2,A0A087WRM8_MOUSE;A0A087WSS1_MOUSE;E9QM90_MOUSE;G3X9J4_MOUSE;K1468_MOUSE;K1468_MOUSE,;;;;cellular_component;,;;;;biological_process;,;;;;molecular_function;,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2.472558022,4.283332825,1.908742189,2.260234833,2.945379734,2.422386408,5.085977077,1.242743134
1.98E-70,Sh3bgrl2,SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2,A0A087WS96;Q8BG73,A0A087WS96_MOUSE;SH3L2_MOUSE,";nucleoplasm,cytoplasm,nuclear membrane,extracellular exosome",;biological_process,";protein binding,SH3 domain binding",3,3,3,2,3,3,3,0,3,3,3,3,3,3,3,3,14.22065258,11.62723923,10.54149818,10.82053852,15.46760368,10.37534237,13.09089375,3.441787004
1.31E-33,Stat1,Signal transducer and activator of transcription;Signal transducer and activator of transcription 1;Signal transducer and activator of transcription;Signal transducer and activator of transcription,A0A087WSP5;P42225;Q8C3V4;Q99K94,A0A087WSP5_MOUSE;STAT1_MOUSE;Q8C3V4_MOUSE;Q99K94_MOUSE,";nuclear chromatin,nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol,axon,dendrite,protein complex,perinuclear region of cytoplasm;;",";negative regulation of transcription from RNA polymerase II promoter,negative regulation of endothelial cell proliferation,positive regulation of mesenchymal cell proliferation,positive regulation of defense response to virus by host,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,transcription, DNA-templated,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,JAK-STAT cascade,blood circulation,response to bacterium,macrophage derived foam cell differentiation,negative regulation of angiogenesis,cytokine-mediated signaling pathway,lipopolysaccharide-mediated signaling pathway,response to lipopolysaccharide,positive regulation of interferon-alpha production,tumor necrosis factor-mediated signaling pathway,response to cytokine,negative regulation of macrophage fusion,response to type I interferon,response to interferon-beta,cellular response to interferon-beta,negative regulation of I-kappaB kinase/NF-kappaB signaling,response to exogenous dsRNA,response to peptide hormone,positive regulation of erythrocyte differentiation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,negative regulation by virus of viral protein levels in host cell,positive regulation of smooth muscle cell proliferation,response to cAMP,defense response to virus,interferon-gamma-mediated signaling pathway,type I interferon signaling pathway,JAK-STAT cascade involved in growth hormone signaling pathway,renal tubule development,cellular response to lipopolysaccharide,cellular response to cytokine stimulus,cellular response to interferon-gamma,cellular response to organic cyclic compound,metanephric mesenchymal cell proliferation involved in metanephros development,metanephric mesenchymal cell differentiation,negative regulation of metanephric nephron tubule epithelial cell differentiation;;",";RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II core promoter sequence-specific DNA binding,transcription factor activity, RNA polymerase II core promoter sequence-specific,core promoter binding,double-stranded DNA binding,transcription factor activity, sequence-specific DNA binding,signal transducer activity,tumor necrosis factor receptor binding,protein binding,enzyme binding,histone acetyltransferase binding,nuclear hormone receptor binding,histone binding,identical protein binding,protein homodimerization activity,ubiquitin-like protein ligase binding,cadherin binding,repressing transcription factor binding,promoter-specific chromatin binding;;",2,4,2,4,3,5,3,0,5,5,5,5,5,5,5,5,36.64112854,58.04355621,26.11534691,59.19437027,27.59426117,77.37457275,34.34693909,18.80514526
8.20E-58,Gcdh,"Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial",A0A0A0MQ68;Q60759,A0A0A0MQ68_MOUSE;GCDH_MOUSE,";mitochondrion,mitochondrial inner membrane,mitochondrial matrix",";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase",";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",16,15,16,14,15,15,16,3,16,16,16,16,16,16,16,16,364.0652771,214.8803558,382.1999512,148.3228302,420.7243652,157.4651642,317.2089844,23.61453819
5.81E-40,Slc25a35,Solute carrier family 25 member 35,A0A0A0MQ70;Q5SWT3,A0A0A0MQ70_MOUSE;S2535_MOUSE,";mitochondrion,mitochondrial inner membrane,integral component of membrane",";mitochondrial transport,transmembrane transport",;transmembrane transporter activity,3,2,2,2,3,3,3,0,3,3,3,3,3,3,3,3,8.458853722,2.360874653,10.73893833,1.665456414,7.642540932,3.173264742,8.871047974,2.058945179
6.31E-62,Havcr1,Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Isoform 2 of Hepatitis A virus cellular receptor 1 homolog,A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2,A0A0A0MQ86_MOUSE;Q3V033_MOUSE;HAVR1_MOUSE;HAVR1_MOUSE,";;cell surface,integral component of membrane;",;;positive regulation of mast cell activation;,";;phosphatidylserine binding,protein binding;",0,9,0,8,2,9,4,0,9,9,9,9,9,9,9,9,2.414235353,69.95792389,1.549207926,12.36485672,1.540723205,46.9018898,2.65702343,1.882326126
2.12E-07,S100a13,Protein S100-A13,A0A0A0MQ90;P97352,A0A0A0MQ90_MOUSE;S10AD_MOUSE,";extracellular space,nucleus,nucleolus,cytoplasm,cytosol,plasma membrane,perinuclear region of cytoplasm,extracellular exosome",";positive regulation of I-kappaB kinase/NF-kappaB signaling,cytokine secretion,interleukin-1 alpha secretion",";copper ion binding,calcium ion binding,zinc ion binding,lipid binding,fibroblast growth factor binding,protein homodimerization activity,RAGE receptor binding",2,2,3,3,2,3,2,0,3,3,3,3,3,3,3,3,7.826388836,14.10740566,7.71666193,26.79026222,7.511630058,22.74800682,9.040276527,1.649276972
2.19E-59,Nccrp1,F-box only protein 50,A0A0A0MQ97;G3X9C2,A0A0A0MQ97_MOUSE;FBX50_MOUSE,";cytoplasm,extracellular exosome",;positive regulation of cell proliferation,;molecular_function,8,3,7,5,7,3,7,0,8,8,8,8,8,8,8,8,55.7364502,6.678521156,39.39504242,10.38153076,50.75009537,6.384244919,22.70286751,4.611644268
2.84E-74,Tuba4a,Tubulin alpha chain (Fragment);Tubulin alpha-4A chain,A0A0A0MQA5;P68368,A0A0A0MQA5_MOUSE;TBA4A_MOUSE,";cytoplasm,microtubule,microtubule cytoskeleton,extracellular exosome",";cytoskeleton organization,microtubule-based process",";GTPase activity,structural constituent of cytoskeleton,GTP binding,enzyme binding",41,40,41,40,41,38,40,10,41,41,41,41,41,41,41,41,709.3244629,1165.866455,709.1817627,1080.427734,714.9403076,824.0355225,644.0078125,67.17656708
5.16E-53,Mapt,Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein tau;Isoform Tau-A of Microtubule-associated protein tau;Isoform Tau-D of Microtubule-associated protein tau;Isoform Tau-E of Microtubule-associated protein tau,A0A0A0MQC7;A2A5Y6;B1AQW2;P10637;P10637-2;P10637-5;P10637-6,A0A0A0MQC7_MOUSE;A2A5Y6_MOUSE;B1AQW2_MOUSE;TAU_MOUSE;TAU_MOUSE;TAU_MOUSE;TAU_MOUSE,";;;nucleus,cytoplasm,cytosol,microtubule,microtubule associated complex,plasma membrane,axoneme,postsynaptic density,microtubule cytoskeleton,nuclear speck,axon,dendrite,growth cone,axolemma,nuclear periphery,cytoplasmic ribonucleoprotein granule,somatodendritic compartment,neuronal cell body,cell body,tubulin complex,neurofibrillary tangle,membrane;;;",";;;microtubule cytoskeleton organization,neuron migration,axonogenesis,memory,adult walking behavior,axo-dendritic transport,regulation of receptor activity,regulation of autophagy,negative regulation of gene expression,negative regulation of mitochondrial membrane potential,regulation of microtubule polymerization or depolymerization,positive regulation of microtubule polymerization,negative regulation of intracellular transport,positive regulation of superoxide anion generation,negative regulation of kinase activity,positive regulation of axon extension,mitochondrion transport along microtubule,intracellular distribution of mitochondria,axon extension,synapse organization,regulation of calcium-mediated signaling,regulation of microtubule-based movement,regulation of microtubule cytoskeleton organization,negative regulation of mitochondrial fission,fibril organization,regulation of cellular response to heat,positive regulation of neuron death,positive regulation of protein localization to synapse,negative regulation of establishment of protein localization to mitochondrion,positive regulation of cellular protein localization,amyloid fibril formation,regulation of response to DNA damage stimulus;;;",";;;DNA binding,protein binding,microtubule binding,SH3 domain binding,enzyme binding,protein kinase binding,apolipoprotein binding,identical protein binding,protein homodimerization activity,receptor agonist activity,lipoprotein particle binding,microtubule lateral binding;;;",4,4,4,1,4,4,4,0,4,4,4,4,4,4,4,4,44.24528503,43.92543411,58.64587784,2.734462261,60.2592926,37.38936996,39.4458847,2.149929047
4.71E-77,Eif5a,Eukaryotic translation initiation factor 5A (Fragment);Eukaryotic translation initiation factor 5A-1,A0A0A0MQM0;P63242,A0A0A0MQM0_MOUSE;IF5A1_MOUSE,";nucleus,annulate lamellae,nuclear pore,cytoplasm,endoplasmic reticulum membrane,membrane,dendrite,neuronal cell body,extracellular exosome",";mRNA export from nucleus,translational frameshifting,protein export from nucleus,apoptotic process,positive regulation of cytosolic calcium ion concentration,aging,positive regulation of cell proliferation,positive regulation of cardiac muscle cell apoptotic process,positive regulation of apoptotic process,negative regulation of apoptotic process,positive regulation of translational elongation,positive regulation of translational termination,positive regulation of muscle cell differentiation,cellular response to thyroid hormone stimulus,positive regulation of reactive oxygen species metabolic process",";RNA binding,translation elongation factor activity,U6 snRNA binding,ribosome binding,protein N-terminus binding",18,18,17,18,18,19,18,1,19,19,19,19,19,19,19,19,240.3872833,371.2822876,197.7154236,365.8525085,239.0388489,338.1390991,200.5597076,29.56500244
2.67E-65,Gm9774;Adrm1,MCG119397;Proteasomal ubiquitin receptor ADRM1,A0A0A6YVU8;Q9JKV1,A0A0A6YVU8_MOUSE;ADRM1_MOUSE,"nucleus,cytoplasm,proteasome regulatory particle, lid subcomplex;proteasome complex,nucleoplasm,cytosol,plasma membrane,proteasome regulatory particle, lid subcomplex","ubiquitin-dependent protein catabolic process,positive regulation of endopeptidase activity;ovarian follicle development,transcription elongation from RNA polymerase II promoter,ubiquitin-dependent protein catabolic process,spermatid development,positive regulation of endopeptidase activity,regulation of T cell differentiation in thymus,follicle-stimulating hormone signaling pathway,proteasome assembly,oogenesis,thymus development,Sertoli cell development,positive regulation of growth hormone receptor signaling pathway,adipose tissue development,seminiferous tubule development","ubiquitin binding,endopeptidase activator activity,proteasome binding;protease binding,protein binding,ubiquitin binding,endopeptidase activator activity,proteasome binding",2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,31.9958992,43.30880737,26.60330009,34.99403381,22.1757431,43.66853333,28.45903206,1.452762127
2.40E-07,Usp4,Ubiquitin carboxyl-terminal hydrolase 4,A0A0A6YVY7;A0A0A6YW28;P35123,A0A0A6YVY7_MOUSE;A0A0A6YW28_MOUSE;UBP4_MOUSE,";;nucleus,cytoplasm,cytosol,plasma membrane",";;spliceosomal tri-snRNP complex assembly,ubiquitin-dependent protein catabolic process,protein deubiquitination,negative regulation of protein ubiquitination,regulation of protein stability,protein localization to cell surface",";;thiol-dependent ubiquitin-specific protease activity,protein binding,adenosine receptor binding,identical protein binding,metal ion binding",3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3.53074193,5.648680687,3.141727924,5.015986919,2.81454277,5.782568455,4.018942356,2.418266535
