PG.BiologicalProcess,PG.CellularComponent,PG.Genes,PG.MolecularFunction,PG.ProteinDescriptions,PG.ProteinNames,PG.Qvalue,PG.UniProtIds,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity
";;lamellipodium assembly involved in ameboidal cell migration,signal transduction,extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration,negative regulation of cell migration,substrate adhesion-dependent cell spreading,positive regulation of GTPase activity,filopodium assembly,neuron projection morphogenesis,actin filament severing,dendritic spine development,negative regulation of neuron migration",";;nucleoplasm,mitochondrial inner membrane,cytosol,plasma membrane,postsynaptic density,lamellipodium,cell junction,dendritic spine head,postsynaptic membrane,phagocytic vesicle",Srgap2,";;GTPase activator activity,protein homodimerization activity,Rac GTPase binding",SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase-activating protein 2 (Fragment);SLIT-ROBO Rho GTPase-activating protein 2,A0A087WNM1_MOUSE;A0A087WRV4_MOUSE;SRGP2_MOUSE,0.000213696,A0A087WNM1;A0A087WRV4;Q91Z67,1,1,1,1,2,2,2,2,2.240545273,2,2.083150625,2.547456503
";cholesterol metabolic process,macrophage derived foam cell differentiation,cholesterol storage,cholesterol efflux,very-low-density lipoprotein particle assembly,cholesterol esterification,cholesterol homeostasis,positive regulation of amyloid precursor protein biosynthetic process",";endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane",Soat1,";fatty-acyl-CoA binding,sterol O-acyltransferase activity,cholesterol binding,cholesterol O-acyltransferase activity",Sterol O-acyltransferase 1 (Fragment);Sterol O-acyltransferase 1,A0A087WNN8_MOUSE;SOAT1_MOUSE,0.000544773,A0A087WNN8;Q61263,0,1,2,2,2,2,2,2,7.695730209,11.03472614,14.71711922,12.9045372
;biological_process;,";cytoplasm,nucleus;",Cdv3,;molecular_function;,Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3,A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE,2.68E-20,A0A087WNP6;Q4VAA2;Q4VAA2-2,4,4,4,4,4,4,4,4,176.5282593,216.9734344,179.1451416,200.920105
";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",;;elongin complex,Tceb1,";;protein binding,ubiquitin-protein transferase activity",Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1,A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE,6.87E-50,A0A087WNT1;A0A087WQE6;P83940,5,4,5,4,5,5,5,5,152.2499847,166.4047241,174.4381409,149.1189117
";;;acrosome assembly,transport,multicellular organism development,spermatid nucleus differentiation,positive regulation of GTPase activity,intermediate filament organization;;",";;;nucleus,cytoplasmic vesicle,cell projection,neuronal cell body,intracellular membrane-bounded organelle;;",Agfg1,";;;DNA binding,GTPase activator activity,metal ion binding;;",Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1 (Fragment);Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1;Isoform 1 of Arf-GAP domain and FG repeat-containing protein 1;Isoform 3 of Arf-GAP domain and FG repeat-containing protein 1,A0A087WNV1_MOUSE;A0A087WR52_MOUSE;A0A087WSR7_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE,2.12E-16,A0A087WNV1;A0A087WR52;A0A087WSR7;Q8K2K6;Q8K2K6-1;Q8K2K6-3,4,5,6,6,7,7,7,7,44.44936371,43.20154953,50.70791245,55.6662941
;;;;;;microtubule-based movement;;;;,";;;;;;endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane;;;;",Ktn1,;;;;;;kinesin binding;;;;,Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Isoform 15 of Kinectin;Isoform 5 of Kinectin;Isoform 6 of Kinectin;Isoform 9 of Kinectin,A0A087WNW3_MOUSE;A0A087WQ25_MOUSE;A0A087WQI3_MOUSE;A0A087WQQ5_MOUSE;A0A087WRS1_MOUSE;F8VQC7_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE,5.30E-07,A0A087WNW3;A0A087WQ25;A0A087WQI3;A0A087WQQ5;A0A087WRS1;F8VQC7;Q61595;Q61595-15;Q61595-5;Q61595-6;Q61595-9,5,5,3,6,7,7,7,7,9.98060894,8.102593422,9.418914795,15.33234978
";;;;;;;;;;;;;;;;microtubule cytoskeleton organization,microtubule bundle formation,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,astral microtubule organization,microtubule organizing center organization,negative regulation of microtubule polymerization or depolymerization,microtubule anchoring,establishment of mitotic spindle localization,positive regulation of exocytosis,establishment of spindle orientation,cell division,negative regulation of stress fiber assembly,regulation of focal adhesion assembly,regulation of microtubule cytoskeleton organization,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis;;microtubule cytoskeleton organization,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,establishment or maintenance of cell polarity,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,cell migration,regulation of axon extension,microtubule organizing center organization,regulation of microtubule polymerization or depolymerization,regulation of microtubule polymerization,regulation of microtubule-based process,regulation of actin cytoskeleton organization,microtubule anchoring,platelet-derived growth factor receptor-beta signaling pathway,positive regulation of exocytosis,cell division,meiotic cell cycle,negative regulation of stress fiber assembly,negative regulation of focal adhesion assembly,protein localization to plasma membrane,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis",";;;;;;;;;;;;;;;;kinetochore,condensed chromosome kinetochore,Golgi apparatus,centrosome,kinetochore microtubule,spindle microtubule,cytoplasmic microtubule,cell cortex,membrane,cortical microtubule cytoskeleton,centrosomal corona,basal cortex,extracellular exosome,focal adhesion;;condensed chromosome kinetochore,spindle pole,Golgi apparatus,trans-Golgi network,microtubule organizing center,cytosol,microtubule,cytoplasmic microtubule,plasma membrane,cell cortex,membrane,cell leading edge,ruffle membrane,axonal growth cone,basal cortex,cortical microtubule plus-end,kinetochore,focal adhesion,mitotic spindle",Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp2;Clasp1;Clasp1;Clasp2;Clasp1;Clasp2;Clasp1;Clasp1;Clasp2,";;;;;;;;;;;;;;;;dystroglycan binding,protein binding,microtubule binding,kinetochore binding,microtubule plus-end binding;;dystroglycan binding,protein binding,microtubule binding,microtubule plus-end binding,actin filament binding,protein tyrosine kinase binding",CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP associating protein 2;CLIP-associating protein 1;Isoform 2 of CLIP-associating protein 1;CLIP-associating protein 2,A0A087WNW8_MOUSE;A0A087WP42_MOUSE;A0A087WQ31_MOUSE;A0A087WQ95_MOUSE;A0A087WQF1_MOUSE;A0A087WRE8_MOUSE;A0A087WRK0_MOUSE;A0A087WS18_MOUSE;A0A0A6YXZ1_MOUSE;E9Q6L0_MOUSE;E9Q8N5_MOUSE;E9QKH0_MOUSE;E9QNY9_MOUSE;F7DCH5_MOUSE;J3QP81_MOUSE;Q08EB6_MOUSE;CLAP1_MOUSE;CLAP1_MOUSE;CLAP2_MOUSE,0.004701309,A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;E9Q6L0;E9Q8N5;E9QKH0;E9QNY9;F7DCH5;J3QP81;Q08EB6;Q80TV8;Q80TV8-2;Q8BRT1,1,2,2,2,2,2,2,2,3.012290478,6.345131874,3.918872595,6.222095013
;;,";;external side of plasma membrane,anchored component of membrane",Ly6c1,;;,Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1,A0A087WNZ5_MOUSE;A0A087WRP7_MOUSE;LY6C1_MOUSE,1.02E-47,A0A087WNZ5;A0A087WRP7;P0CW02,2,2,2,2,2,2,2,2,276.6040039,257.4438477,260.9338379,211.3883362
";DNA repair,cellular response to DNA damage stimulus,embryo development,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,negative regulation of histone H2A K63-linked ubiquitination,negative regulation of double-strand break repair",";nucleus,nucleoplasm,cytoplasm,nuclear speck",Trip12,";ubiquitin-protein transferase activity,zinc ion binding,thyroid hormone receptor binding,ubiquitin protein ligase activity",E3 ubiquitin-protein ligase TRIP12,A0A087WNZ7_MOUSE;TRIPC_MOUSE,0.001773046,A0A087WNZ7;G5E870,2,2,3,1,4,4,4,4,10.45726681,12.09023571,13.91316223,15.41080761
;;;biological_process,;;;cellular_component,Plekha6,;;;molecular_function,Pleckstrin homology domain-containing family A member 6 (Fragment);Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6,A0A087WP13_MOUSE;A0A087WRB7_MOUSE;E9PX43_MOUSE;PKHA6_MOUSE,1.73E-52,A0A087WP13;A0A087WRB7;E9PX43;Q7TQG1,3,3,3,3,3,3,3,3,48.48287964,39.92378998,41.76489258,26.00785828
";endochondral ossification,immune system process,glucose metabolic process,phosphatidylinositol biosynthetic process,endocytosis,actin filament organization,cell adhesion,negative regulation of cell proliferation,post-embryonic development,negative regulation of gene expression,response to insulin,cellular lipid metabolic process,phosphatidylinositol dephosphorylation,ruffle assembly",";cytoplasm,Golgi apparatus,cytosol,cytoskeleton,plasma membrane,lamellipodium,filopodium",Inppl1,";actin binding,protein binding,hydrolase activity,SH3 domain binding,SH2 domain binding","Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (Fragment);Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",A0A087WPT7_MOUSE;SHIP2_MOUSE,0.003518093,A0A087WPT7;Q6P549,1,3,2,2,3,3,3,3,16.541399,11.57044697,11.66634369,17.70117188
biological_process,cellular_component,2210011C24Rik,molecular_function,MCG5930,A0A087WQ89_MOUSE,2.64E-61,A0A087WQ89,4,4,4,4,4,4,4,4,117.5701981,128.931076,136.7594299,131.3963776
";;;transcription, DNA-templated,apoptotic process,positive regulation of apoptotic process,regulation of DNA-templated transcription in response to stress,negative regulation of transcription, DNA-templated,cellular response to leukemia inhibitory factor,positive regulation of DNA-templated transcription, initiation,positive regulation of response to DNA damage stimulus,positive regulation of intrinsic apoptotic signaling pathway;;",";;;nucleus,nucleoplasm,cytoplasm,nuclear speck;;",Bclaf1,";;;DNA binding,RNA binding,protein binding;;",Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1 (Fragment);Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1;Isoform 2 of Bcl-2-associated transcription factor 1;Isoform 3 of Bcl-2-associated transcription factor 1,A0A087WQA0_MOUSE;A0A087WRN1_MOUSE;F8WI22_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE,0.001783278,A0A087WQA0;A0A087WRN1;F8WI22;Q8K019;Q8K019-2;Q8K019-3,4,4,3,4,4,4,4,4,25.83629799,20.75886536,29.95259476,23.10161591
,,Tns1,,Protein Tns1,A0A087WQS0_MOUSE,7.16E-48,A0A087WQS0,52,53,56,49,9,9,9,9,1298.074951,1380.056763,1293.075928,1351.306763
";transcription, DNA-templated,regulation of transcription, DNA-templated",";cytoplasm,membrane",Bzw1,";RNA binding,cadherin binding",Basic leucine zipper and W2 domain-containing protein 1,A0A087WQS2_MOUSE;BZW1_MOUSE,2.31E-15,A0A087WQS2;Q9CQC6,8,10,8,7,7,7,7,7,284.8992615,322.0171814,209.7272644,192.2852325
";angiogenesis,neural tube formation,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,heart development,extrinsic apoptotic signaling pathway via death domain receptors,macrophage differentiation,response to tumor necrosis factor,TRAIL-activated apoptotic signaling pathway,positive regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of macrophage differentiation,positive regulation of proteolysis,cardiac muscle tissue development,proteolysis involved in cellular protein catabolic process,negative regulation of necroptotic process,regulation of thymocyte apoptotic process,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,execution phase of apoptosis,activation of cysteine-type endopeptidase activity,hepatocyte apoptotic process,regulation of apoptotic signaling pathway,positive regulation of extrinsic apoptotic signaling pathway",";nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,plasma membrane,Noc1p-Noc2p complex,death-inducing signaling complex,CD95 death-inducing signaling complex,ripoptosome",Casp8,";endopeptidase activity,cysteine-type endopeptidase activity,protein binding,peptidase activity,ubiquitin protein ligase binding,death effector domain binding,identical protein binding,protein heterodimerization activity,scaffold protein binding,cysteine-type endopeptidase activity involved in apoptotic process,cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cysteine-type endopeptidase activity involved in execution phase of apoptosis",Caspase-8,A0A087WQT6_MOUSE;CASP8_MOUSE,0.001175315,A0A087WQT6;O89110,3,6,6,6,7,7,7,7,40.50561523,48.43689728,54.29115677,66.9144516
";molecular hydrogen transport,oxidation-reduction process",";mitochondrion,cytosol",Adhfe1,";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity","Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7_MOUSE;HOT_MOUSE,2.41E-54,A0A087WRE7;Q8R0N6,20,19,20,20,11,11,11,11,1425.45166,1489.324951,1632.038452,1425.171631
;;;biological_process,;;;cellular_component,2310035C23Rik;2310035C23Rik;2310035C23Rik;Kiaa1468,;;;molecular_function,Protein 2310035C23Rik;Protein 2310035C23Rik;Protein 2310035C23Rik;LisH domain and HEAT repeat-containing protein KIAA1468,A0A087WRM8_MOUSE;E9QM90_MOUSE;G3X9J4_MOUSE;K1468_MOUSE,5.63E-34,A0A087WRM8;E9QM90;G3X9J4;Q148V7,3,3,3,3,3,3,3,3,14.56933784,17.26309586,10.84034634,15.12749863
";double-strand break repair via homologous recombination,cellular glucose homeostasis,regulation of DNA replication,chromatin organization,regulation of transcription from RNA polymerase II promoter,transcription from RNA polymerase II promoter,release from viral latency,replication fork processing,interstrand cross-link repair,glucose homeostasis,positive regulation by host of viral transcription,positive regulation by host of viral genome replication,positive regulation of transcription from RNA polymerase II promoter,regulation of insulin receptor signaling pathway,positive regulation of insulin receptor signaling pathway,regulation of DNA strand elongation,cellular response to X-ray,modulation by host of RNA binding by virus,modulation by host of viral RNA-binding transcription factor activity",";chromatin,nuclear chromatin,nucleus,nucleolus,cytoplasm",Nucks1,";transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,chromatin binding,double-stranded DNA binding,single-stranded DNA binding,RNA binding,transcription factor binding",Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,A0A087WRY3_MOUSE;NUCKS_MOUSE,3.14E-48,A0A087WRY3;Q80XU3,3,3,2,3,3,3,3,3,228.7781982,219.9208069,216.5236053,167.9347534
;biological_process,";nucleoplasm,cytoplasm,nuclear membrane,extracellular exosome",Sh3bgrl2,";protein binding,SH3 domain binding",SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2,A0A087WS96_MOUSE;SH3L2_MOUSE,1.01E-20,A0A087WS96;Q8BG73,3,4,4,3,4,4,4,4,98.07496643,124.0232086,171.7420807,100.3765869
,,Fn1,,Fibronectin,A0A087WSN6_MOUSE,3.39E-79,A0A087WSN6,86,75,71,92,11,11,11,11,1543.570801,1605.547852,1524.161133,2466.176514
";toll-like receptor signaling pathway,protein phosphorylation,inflammatory response,cellular response to DNA damage stimulus,peptidyl-serine phosphorylation,G2 DNA damage checkpoint,response to lipopolysaccharide,regulation of interleukin-6 production,regulation of tumor necrosis factor production,response to cytokine,cellular response to vascular endothelial growth factor stimulus,p38MAPK cascade,positive regulation of tumor necrosis factor biosynthetic process,macropinocytosis,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,mRNA stabilization,inner ear development,3'-UTR-mediated mRNA stabilization",";nucleus,nucleoplasm,cytoplasm,centrosome,extracellular exosome",Mapkapk2,";protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,signal transducer activity,protein binding,calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,mitogen-activated protein kinase binding",MAP kinase-activated protein kinase 2 (Fragment);MAP kinase-activated protein kinase 2,A0A087WSN7_MOUSE;MAPK2_MOUSE,1.24E-09,A0A087WSN7;P49138,2,5,4,4,5,5,5,5,10.61048126,13.6333313,13.80718994,8.609060287
";negative regulation of transcription from RNA polymerase II promoter,negative regulation of endothelial cell proliferation,positive regulation of mesenchymal cell proliferation,positive regulation of defense response to virus by host,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,transcription, DNA-templated,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,JAK-STAT cascade,blood circulation,response to bacterium,macrophage derived foam cell differentiation,negative regulation of angiogenesis,cytokine-mediated signaling pathway,lipopolysaccharide-mediated signaling pathway,response to lipopolysaccharide,positive regulation of interferon-alpha production,tumor necrosis factor-mediated signaling pathway,response to cytokine,negative regulation of macrophage fusion,response to type I interferon,response to interferon-beta,cellular response to interferon-beta,negative regulation of I-kappaB kinase/NF-kappaB signaling,response to exogenous dsRNA,response to peptide hormone,positive regulation of erythrocyte differentiation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,negative regulation by virus of viral protein levels in host cell,positive regulation of smooth muscle cell proliferation,response to cAMP,defense response to virus,interferon-gamma-mediated signaling pathway,type I interferon signaling pathway,JAK-STAT cascade involved in growth hormone signaling pathway,renal tubule development,cellular response to lipopolysaccharide,cellular response to cytokine stimulus,cellular response to interferon-gamma,cellular response to organic cyclic compound,metanephric mesenchymal cell proliferation involved in metanephros development,metanephric mesenchymal cell differentiation,negative regulation of metanephric nephron tubule epithelial cell differentiation;",";nuclear chromatin,nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol,axon,dendrite,protein complex,perinuclear region of cytoplasm;",Stat1,";RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II core promoter sequence-specific DNA binding,transcription factor activity, RNA polymerase II core promoter sequence-specific,core promoter binding,double-stranded DNA binding,transcription factor activity, sequence-specific DNA binding,signal transducer activity,tumor necrosis factor receptor binding,protein binding,enzyme binding,histone acetyltransferase binding,nuclear hormone receptor binding,histone binding,identical protein binding,protein homodimerization activity,ubiquitin-like protein ligase binding,cadherin binding,repressing transcription factor binding,promoter-specific chromatin binding;",Signal transducer and activator of transcription;Signal transducer and activator of transcription 1;Signal transducer and activator of transcription,A0A087WSP5_MOUSE;STAT1_MOUSE;Q8C3V4_MOUSE,1.00E-05,A0A087WSP5;P42225;Q8C3V4,2,4,6,4,7,7,7,7,35.50961304,60.58891678,50.05273438,31.54622078
";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase",";mitochondrion,mitochondrial inner membrane,mitochondrial matrix",Gcdh,";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding","Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial",A0A0A0MQ68_MOUSE;GCDH_MOUSE,1.01E-38,A0A0A0MQ68;Q60759,25,21,25,22,10,10,10,10,5981.610352,6177.956543,6352.919922,5327.397949
;hematopoietic progenitor cell differentiation;;;,;membrane;;;,Prrc2c,";RNA binding,protein C-terminus binding;;;",Protein PRRC2C;Protein PRRC2C;Isoform 5 of Protein PRRC2C;Protein PRRC2C;Protein PRRC2C,A0A0A0MQ79_MOUSE;PRC2C_MOUSE;PRC2C_MOUSE;S4R294_MOUSE;S4R2J9_MOUSE,0.002570875,A0A0A0MQ79;Q3TLH4;Q3TLH4-5;S4R294;S4R2J9,2,5,3,3,6,6,6,6,25.278965,33.4015007,18.20221519,17.3527813
;;positive regulation of mast cell activation;,";;cell surface,integral component of membrane;",Havcr1,";;phosphatidylserine binding,protein binding;",Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Isoform 2 of Hepatitis A virus cellular receptor 1 homolog,A0A0A0MQ86_MOUSE;Q3V033_MOUSE;HAVR1_MOUSE;HAVR1_MOUSE,0.003019577,A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2,1,1,2,4,5,5,5,5,15.71466637,23.35607719,18.04321861,16.58801842
