PG.BiologicalProcess,PG.CellularComponent,PG.Genes,PG.MolecularFunction,PG.ProteinDescriptions,PG.ProteinNames,PG.Qvalue,PG.UniProtIds,[1] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[2] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[3] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[4] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
,,Ighv1-43,,Protein Ighv1-43,A0A075B5V7_MOUSE,4.74E-09,A0A075B5V7,1,2,1,1,2,2,2,2,8.341444016,104.3438721,5.144411564,25.79293251
";;lamellipodium assembly involved in ameboidal cell migration,signal transduction,extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration,negative regulation of cell migration,substrate adhesion-dependent cell spreading,positive regulation of GTPase activity,filopodium assembly,neuron projection morphogenesis,actin filament severing,dendritic spine development,negative regulation of neuron migration",";;nucleoplasm,mitochondrial inner membrane,cytosol,plasma membrane,postsynaptic density,lamellipodium,cell junction,dendritic spine head,postsynaptic membrane,phagocytic vesicle",Srgap2,";;GTPase activator activity,protein homodimerization activity,Rac GTPase binding",SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase-activating protein 2 (Fragment);SLIT-ROBO Rho GTPase-activating protein 2,A0A087WNM1_MOUSE;A0A087WRV4_MOUSE;SRGP2_MOUSE,0.000529032,A0A087WNM1;A0A087WRV4;Q91Z67,1,2,2,1,2,2,2,2,2.405052423,17.30180931,6.001986504,4.233034134
";cholesterol metabolic process,macrophage derived foam cell differentiation,cholesterol storage,cholesterol efflux,very-low-density lipoprotein particle assembly,cholesterol esterification,cholesterol homeostasis,positive regulation of amyloid precursor protein biosynthetic process",";endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane",Soat1,";fatty-acyl-CoA binding,sterol O-acyltransferase activity,cholesterol binding,cholesterol O-acyltransferase activity",Sterol O-acyltransferase 1 (Fragment);Sterol O-acyltransferase 1,A0A087WNN8_MOUSE;SOAT1_MOUSE,3.02E-41,A0A087WNN8;Q61263,2,2,2,2,2,2,2,2,33.2098999,78.42874146,62.8345108,27.28969955
;biological_process;,";cytoplasm,nucleus;",Cdv3,;molecular_function;,Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3,A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE,3.78E-31,A0A087WNP6;Q4VAA2;Q4VAA2-2,4,4,4,4,4,4,4,4,379.9425659,351.4897156,366.0438843,389.7449036
";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",;;elongin complex,Tceb1,";;protein binding,ubiquitin-protein transferase activity",Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1,A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE,5.73E-44,A0A087WNT1;A0A087WQE6;P83940,5,5,5,5,5,5,5,5,237.815033,235.2024841,312.6824646,228.1620178
";;;acrosome assembly,transport,multicellular organism development,spermatid nucleus differentiation,positive regulation of GTPase activity,intermediate filament organization;;",";;;nucleus,cytoplasmic vesicle,cell projection,neuronal cell body,intracellular membrane-bounded organelle;;",Agfg1,";;;DNA binding,GTPase activator activity,metal ion binding;;",Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1 (Fragment);Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1;Isoform 1 of Arf-GAP domain and FG repeat-containing protein 1;Isoform 3 of Arf-GAP domain and FG repeat-containing protein 1,A0A087WNV1_MOUSE;A0A087WR52_MOUSE;A0A087WSR7_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE,4.60E-22,A0A087WNV1;A0A087WR52;A0A087WSR7;Q8K2K6;Q8K2K6-1;Q8K2K6-3,7,5,6,7,7,7,7,7,96.41960144,65.56793976,104.4739761,91.66104126
;;;;;;microtubule-based movement;;;;,";;;;;;endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane;;;;",Ktn1,;;;;;;kinesin binding;;;;,Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Isoform 15 of Kinectin;Isoform 5 of Kinectin;Isoform 6 of Kinectin;Isoform 9 of Kinectin,A0A087WNW3_MOUSE;A0A087WQ25_MOUSE;A0A087WQI3_MOUSE;A0A087WQQ5_MOUSE;A0A087WRS1_MOUSE;F8VQC7_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE,1.87E-34,A0A087WNW3;A0A087WQ25;A0A087WQI3;A0A087WQQ5;A0A087WRS1;F8VQC7;Q61595;Q61595-15;Q61595-5;Q61595-6;Q61595-9,7,7,8,5,7,7,7,7,41.42604446,38.48361206,50.73450851,25.95371246
";;;;;;;;;;;;;;;;microtubule cytoskeleton organization,microtubule bundle formation,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,astral microtubule organization,microtubule organizing center organization,negative regulation of microtubule polymerization or depolymerization,microtubule anchoring,establishment of mitotic spindle localization,positive regulation of exocytosis,establishment of spindle orientation,cell division,negative regulation of stress fiber assembly,regulation of focal adhesion assembly,regulation of microtubule cytoskeleton organization,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis;;microtubule cytoskeleton organization,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,establishment or maintenance of cell polarity,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,cell migration,regulation of axon extension,microtubule organizing center organization,regulation of microtubule polymerization or depolymerization,regulation of microtubule polymerization,regulation of microtubule-based process,regulation of actin cytoskeleton organization,microtubule anchoring,platelet-derived growth factor receptor-beta signaling pathway,positive regulation of exocytosis,cell division,meiotic cell cycle,negative regulation of stress fiber assembly,negative regulation of focal adhesion assembly,protein localization to plasma membrane,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis",";;;;;;;;;;;;;;;;kinetochore,condensed chromosome kinetochore,Golgi apparatus,centrosome,kinetochore microtubule,spindle microtubule,cytoplasmic microtubule,cell cortex,membrane,cortical microtubule cytoskeleton,centrosomal corona,basal cortex,extracellular exosome,focal adhesion;;condensed chromosome kinetochore,spindle pole,Golgi apparatus,trans-Golgi network,microtubule organizing center,cytosol,microtubule,cytoplasmic microtubule,plasma membrane,cell cortex,membrane,cell leading edge,ruffle membrane,axonal growth cone,basal cortex,cortical microtubule plus-end,kinetochore,focal adhesion,mitotic spindle",Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp2;Clasp1;Clasp1;Clasp2;Clasp1;Clasp2;Clasp1;Clasp1;Clasp2,";;;;;;;;;;;;;;;;dystroglycan binding,protein binding,microtubule binding,kinetochore binding,microtubule plus-end binding;;dystroglycan binding,protein binding,microtubule binding,microtubule plus-end binding,actin filament binding,protein tyrosine kinase binding",CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP associating protein 2;CLIP-associating protein 1;Isoform 2 of CLIP-associating protein 1;CLIP-associating protein 2,A0A087WNW8_MOUSE;A0A087WP42_MOUSE;A0A087WQ31_MOUSE;A0A087WQ95_MOUSE;A0A087WQF1_MOUSE;A0A087WRE8_MOUSE;A0A087WRK0_MOUSE;A0A087WS18_MOUSE;A0A0A6YXZ1_MOUSE;E9Q6L0_MOUSE;E9Q8N5_MOUSE;E9QKH0_MOUSE;E9QNY9_MOUSE;F7DCH5_MOUSE;J3QP81_MOUSE;Q08EB6_MOUSE;CLAP1_MOUSE;CLAP1_MOUSE;CLAP2_MOUSE,6.22E-16,A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;E9Q6L0;E9Q8N5;E9QKH0;E9QNY9;F7DCH5;J3QP81;Q08EB6;Q80TV8;Q80TV8-2;Q8BRT1,2,2,2,2,2,2,2,2,25.04417419,43.87149811,26.18556595,26.0794239
;;,";;external side of plasma membrane,anchored component of membrane",Ly6c1,;;,Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1,A0A087WNZ5_MOUSE;A0A087WRP7_MOUSE;LY6C1_MOUSE,1.75E-52,A0A087WNZ5;A0A087WRP7;P0CW02,2,2,2,2,2,2,2,2,414.508606,163.412262,331.2252502,355.4386902
";DNA repair,cellular response to DNA damage stimulus,embryo development,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,negative regulation of histone H2A K63-linked ubiquitination,negative regulation of double-strand break repair",";nucleus,nucleoplasm,cytoplasm,nuclear speck",Trip12,";ubiquitin-protein transferase activity,zinc ion binding,thyroid hormone receptor binding,ubiquitin protein ligase activity",E3 ubiquitin-protein ligase TRIP12,A0A087WNZ7_MOUSE;TRIPC_MOUSE,2.71E-50,A0A087WNZ7;G5E870,3,4,7,6,7,7,7,7,40.6032753,48.53588104,72.16657257,42.89792252
;;;biological_process,;;;cellular_component,Plekha6,;;;molecular_function,Pleckstrin homology domain-containing family A member 6 (Fragment);Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6,A0A087WP13_MOUSE;A0A087WRB7_MOUSE;E9PX43_MOUSE;PKHA6_MOUSE,1.55E-13,A0A087WP13;A0A087WRB7;E9PX43;Q7TQG1,2,0,3,3,3,3,3,3,20.35044479,7.231769085,23.1981411,24.99121094
";endochondral ossification,immune system process,glucose metabolic process,phosphatidylinositol biosynthetic process,endocytosis,actin filament organization,cell adhesion,negative regulation of cell proliferation,post-embryonic development,negative regulation of gene expression,response to insulin,cellular lipid metabolic process,phosphatidylinositol dephosphorylation,ruffle assembly",";cytoplasm,Golgi apparatus,cytosol,cytoskeleton,plasma membrane,lamellipodium,filopodium",Inppl1,";actin binding,protein binding,hydrolase activity,SH3 domain binding,SH2 domain binding","Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (Fragment);Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",A0A087WPT7_MOUSE;SHIP2_MOUSE,3.17E-06,A0A087WPT7;Q6P549,4,3,4,4,4,4,4,4,49.81111145,70.61701965,56.19080734,38.59774017
biological_process,cellular_component,2210011C24Rik,molecular_function,MCG5930,A0A087WQ89_MOUSE,2.26E-46,A0A087WQ89,4,2,4,4,4,4,4,4,156.504715,12.30274296,141.9907379,157.7700043
";;;transcription, DNA-templated,apoptotic process,positive regulation of apoptotic process,regulation of DNA-templated transcription in response to stress,negative regulation of transcription, DNA-templated,cellular response to leukemia inhibitory factor,positive regulation of DNA-templated transcription, initiation,positive regulation of response to DNA damage stimulus,positive regulation of intrinsic apoptotic signaling pathway;;",";;;nucleus,nucleoplasm,cytoplasm,nuclear speck;;",Bclaf1,";;;DNA binding,RNA binding,protein binding;;",Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1 (Fragment);Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1;Isoform 2 of Bcl-2-associated transcription factor 1;Isoform 3 of Bcl-2-associated transcription factor 1,A0A087WQA0_MOUSE;A0A087WRN1_MOUSE;F8WI22_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE,2.22E-11,A0A087WQA0;A0A087WRN1;F8WI22;Q8K019;Q8K019-2;Q8K019-3,6,5,6,6,6,6,6,6,182.7136688,129.6571503,218.6218567,164.6565552
,,Tns1,,Protein Tns1,A0A087WQS0_MOUSE,2.98E-38,A0A087WQS0,56,47,57,56,8,8,8,8,2058.978271,938.4038086,2192.712158,2149.120361
";transcription, DNA-templated,regulation of transcription, DNA-templated",";cytoplasm,membrane",Bzw1,";RNA binding,cadherin binding",Basic leucine zipper and W2 domain-containing protein 1,A0A087WQS2_MOUSE;BZW1_MOUSE,9.18E-19,A0A087WQS2;Q9CQC6,11,11,10,11,7,7,7,7,1017.854858,882.9348145,1033.428345,925.3606567
";angiogenesis,neural tube formation,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,heart development,extrinsic apoptotic signaling pathway via death domain receptors,macrophage differentiation,response to tumor necrosis factor,TRAIL-activated apoptotic signaling pathway,positive regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of macrophage differentiation,positive regulation of proteolysis,cardiac muscle tissue development,proteolysis involved in cellular protein catabolic process,negative regulation of necroptotic process,regulation of thymocyte apoptotic process,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,execution phase of apoptosis,activation of cysteine-type endopeptidase activity,hepatocyte apoptotic process,regulation of apoptotic signaling pathway,positive regulation of extrinsic apoptotic signaling pathway",";nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,plasma membrane,Noc1p-Noc2p complex,death-inducing signaling complex,CD95 death-inducing signaling complex,ripoptosome",Casp8,";endopeptidase activity,cysteine-type endopeptidase activity,protein binding,peptidase activity,ubiquitin protein ligase binding,death effector domain binding,identical protein binding,protein heterodimerization activity,scaffold protein binding,cysteine-type endopeptidase activity involved in apoptotic process,cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cysteine-type endopeptidase activity involved in execution phase of apoptosis",Caspase-8,A0A087WQT6_MOUSE;CASP8_MOUSE,2.23E-22,A0A087WQT6;O89110,9,6,8,8,8,8,8,8,59.45252228,80.63656616,90.27097321,92.27788544
"biological_process;;;hematopoietic progenitor cell differentiation,mRNA processing,RNA splicing;mRNA processing,biological_process,RNA splicing","cellular_component;;;nucleus;cellular_component,nucleus",Gm4064;Rbmy1a1;Gm21693;Rbmy1a1;Rbmy1b,"molecular_function,RNA binding;;RNA binding;RNA binding;molecular_function,RNA binding","Protein Gm4064;Protein Gm10256;Protein Gm21693;RNA-binding motif protein, Y chromosome, family 1 member A1;RNA-binding motif protein, Y chromosome, family 1 member B",A0A087WR82_MOUSE;B2RWR6_MOUSE;J3QK27_MOUSE;RBY1A_MOUSE;RBY1B_MOUSE,3.88E-30,A0A087WR82;B2RWR6;J3QK27;O35698;Q60990,3,1,3,1,3,3,3,3,39.13591766,13.27880859,78.89461517,6.763772011
";molecular hydrogen transport,oxidation-reduction process",";mitochondrion,cytosol",Adhfe1,";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity","Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial",A0A087WRE7_MOUSE;HOT_MOUSE,3.83E-33,A0A087WRE7;Q8R0N6,14,9,12,18,11,11,11,11,578.7384644,248.2241058,292.5619202,563.0982056
;;;biological_process,;;;cellular_component,2310035C23Rik;2310035C23Rik;2310035C23Rik;Kiaa1468,;;;molecular_function,Protein 2310035C23Rik;Protein 2310035C23Rik;Protein 2310035C23Rik;LisH domain and HEAT repeat-containing protein KIAA1468,A0A087WRM8_MOUSE;E9QM90_MOUSE;G3X9J4_MOUSE;K1468_MOUSE,2.99E-35,A0A087WRM8;E9QM90;G3X9J4;Q148V7,3,2,3,3,3,3,3,3,11.46241283,14.1515255,18.89788055,22.29339409
";regulation of transcription, DNA-templated,protein sumoylation,PML body organization,positive regulation of protein complex assembly,regulation of protein stability,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,cellular response to heat,negative regulation of DNA binding,negative regulation of sequence-specific DNA binding transcription factor activity,negative regulation of action potential,negative regulation of transcription, DNA-templated,protein stabilization,palate development,cellular response to cadmium ion,regulation of cardiac muscle cell contraction,protein localization to nuclear pore,positive regulation of calcium-transporting ATPase activity,negative regulation of delayed rectifier potassium channel activity,regulation of calcium ion transmembrane transport",";heterochromatin,fibrillar center,XY body,nucleus,nucleoplasm,nucleolus,cytosol,plasma membrane,nuclear body,PML body,nuclear speck,dendrite,SUMO activating enzyme complex,nuclear membrane,synapse,nuclear stress granule,voltage-gated potassium channel complex",Sumo1,";transcription corepressor binding,RNA binding,protein binding,protein C-terminus binding,transcription factor binding,potassium channel regulator activity,SUMO transferase activity,enzyme binding,protein binding, bridging,protein tag,ubiquitin protein ligase binding,glucocorticoid receptor binding,small protein activating enzyme binding",Small ubiquitin-related modifier 1,A0A087WRQ4_MOUSE;SUMO1_MOUSE,9.06E-12,A0A087WRQ4;P63166,1,1,2,1,2,2,2,2,125.4560699,208.2151794,176.787735,152.0680542
";double-strand break repair via homologous recombination,cellular glucose homeostasis,regulation of DNA replication,chromatin organization,regulation of transcription from RNA polymerase II promoter,transcription from RNA polymerase II promoter,release from viral latency,replication fork processing,interstrand cross-link repair,glucose homeostasis,positive regulation by host of viral transcription,positive regulation by host of viral genome replication,positive regulation of transcription from RNA polymerase II promoter,regulation of insulin receptor signaling pathway,positive regulation of insulin receptor signaling pathway,regulation of DNA strand elongation,cellular response to X-ray,modulation by host of RNA binding by virus,modulation by host of viral RNA-binding transcription factor activity",";chromatin,nuclear chromatin,nucleus,nucleolus,cytoplasm",Nucks1,";transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,chromatin binding,double-stranded DNA binding,single-stranded DNA binding,RNA binding,transcription factor binding",Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,A0A087WRY3_MOUSE;NUCKS_MOUSE,3.87E-38,A0A087WRY3;Q80XU3,3,2,3,3,3,3,3,3,394.3224792,264.1326599,407.6397705,334.4619141
;biological_process,";nucleoplasm,cytoplasm,nuclear membrane,extracellular exosome",Sh3bgrl2,";protein binding,SH3 domain binding",SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2,A0A087WS96_MOUSE;SH3L2_MOUSE,9.00E-26,A0A087WS96;Q8BG73,4,3,4,4,4,4,4,4,97.9948349,37.37667847,90.71182251,110.0083923
,,Fn1,,Fibronectin,A0A087WSN6_MOUSE,2.61E-50,A0A087WSN6,113,129,124,118,12,12,12,12,3742.325928,26331.00781,6374.921875,5062.522949
";toll-like receptor signaling pathway,protein phosphorylation,inflammatory response,cellular response to DNA damage stimulus,peptidyl-serine phosphorylation,G2 DNA damage checkpoint,response to lipopolysaccharide,regulation of interleukin-6 production,regulation of tumor necrosis factor production,response to cytokine,cellular response to vascular endothelial growth factor stimulus,p38MAPK cascade,positive regulation of tumor necrosis factor biosynthetic process,macropinocytosis,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,mRNA stabilization,inner ear development,3'-UTR-mediated mRNA stabilization",";nucleus,nucleoplasm,cytoplasm,centrosome,extracellular exosome",Mapkapk2,";protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,signal transducer activity,protein binding,calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,mitogen-activated protein kinase binding",MAP kinase-activated protein kinase 2 (Fragment);MAP kinase-activated protein kinase 2,A0A087WSN7_MOUSE;MAPK2_MOUSE,1.09E-21,A0A087WSN7;P49138,5,4,5,5,5,5,5,5,21.76091194,8.779808044,24.34651947,13.12359524
