Category,Use.For,Protein,Accession,Entry.name,Protein.names.x,Type,Notes,assignment
2,All EVs,VSPS4B,P46467,VPS4B_MOUSE,Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1),with lipid or membrane protein-binding ability,,unknown
5,Functional component of EVs: need to determine the mode of association with EVs,ENTPD6 CD39L2 IL6ST2,Q3U0P5,ENTP6_MOUSE,Ectonucleoside triphosphate diphosphohydrolase 6 (NTPDase 6) (EC 3.6.1.6) (CD39 antigen-like 2),Cytokines and growth factors,,unknown
3,All EVs as purity control,MRPL33 C2orf1,Q9CQP0,RM33_MOUSE,"39S ribosomal protein L33, mitochondrial (L33mt) (MRP-L33) (Mitochondrial large ribosomal subunit protein bL33m)",protein and protein/nucleic acid aggregates,,unknown
1,All EVs,H2AP CXorf27 HYPM,Q9CR04,HYPM_MOUSE,Huntingtin-interacting protein M (Histone H2A.P) (Huntingtin yeast partner M),cell/tissue specific,MHC class II,
1,All EVs,ITGA10 UNQ468/PRO827,NA,ITA10_MOUSE,Integrin alpha-10,non-tissue specific,Integrins,
2,All EVs,FLOT1,O08917,FLOT1_MOUSE,Flotillin-1,with lipid or membrane protein-binding ability,,unknown
3,All EVs as purity control,RSL1D1 CATX11 CSIG PBK1 L12,Q8BVY0,RL1D1_MOUSE,Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1),protein and protein/nucleic acid aggregates,,NUCLEUS
2,All EVs,ANXA9 ANX31,Q9JHQ0,ANXA9_MOUSE,Annexin A9 (Annexin XXXI) (Annexin-31) (Annexin-9) (Pemphaxin),with lipid or membrane protein-binding ability,Annexins,
5,Functional component of EVs: need to determine the mode of association with EVs,IL18RAP IL1R7,Q9Z2B1,I18RA_MOUSE,Interleukin-18 receptor accessory protein (IL-18 receptor accessory protein) (IL-18RAcP) (EC 3.2.2.6) (Accessory protein-like) (AcPL) (CD218 antigen-like family member B) (CDw218b) (IL-1R accessory protein-like) (IL-1RAcPL) (Interleukin-1 receptor 7) (IL-1R-7) (IL-1R7) (Interleukin-18 receptor accessory protein-like) (Interleukin-18 receptor beta) (IL-18R-beta) (IL-18Rbeta) (CD antigen CD218b),Cytokines and growth factors,,
3,All EVs as purity control,NSA2 TINP1 HUSSY-29,Q9CR47,NSA2_MOUSE,Ribosome biogenesis protein NSA2 homolog (Hairy cell leukemia protein 1) (TGF-beta-inducible nuclear protein 1),protein and protein/nucleic acid aggregates,,NUCLEUS
5,Functional component of EVs: need to determine the mode of association with EVs,IL33 C9orf26 IL1F11 NFHEV,Q8BVZ5,IL33_MOUSE,Interleukin-33 (IL-33) (Interleukin-1 family member 11) (IL-1F11) (Nuclear factor from high endothelial venules) (NF-HEV) [Cleaved into: Interleukin-33 (95-270); Interleukin-33 (99-270); Interleukin-33 (109-270)],Cytokines and growth factors,,
1,All EVs,GNA14,P30677,GNA14_MOUSE,Guanine nucleotide-binding protein subunit alpha-14 (G alpha-14) (G-protein subunit alpha-14),non-tissue specific,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL18BP,Q9Z0M9,I18BP_MOUSE,Interleukin-18-binding protein (IL-18BP) (Tadekinig-alfa),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,PDGFB PDGF2 SIS,P31240,PDGFB_MOUSE,Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,EGF,P01132,EGF_MOUSE,Pro-epidermal growth factor (EGF) [Cleaved into: Epidermal growth factor (Urogastrone)],Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,TGFB1,P04202,TGFB1_MOUSE,Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)],Cytokines and growth factors,,ER
5,Functional component of EVs: need to determine the mode of association with EVs,IFNG,P01580,IFNG_MOUSE,Interferon gamma (IFN-gamma) (Immune interferon),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL1A IL1F1,P01582,IL1A_MOUSE,Interleukin-1 alpha (IL-1 alpha) (Hematopoietin-1),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL1B IL1F2,P10749,IL1B_MOUSE,Interleukin-1 beta (IL-1 beta) (Catabolin),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL2RA,P01590,IL2RA_MOUSE,Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25),Cytokines and growth factors,,
1,All EVs,HLA-B,NA,HLAB_MOUSE,"HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)",non-tissue specific,MHC class I,
1,All EVs,HLA-DRA HLA-DRA1,NA,DRA_MOUSE,"HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)",cell/tissue specific,MHC class II,
1,All EVs,HLA-DQA2 HLA-DXA,NA,DQA2_MOUSE,"HLA class II histocompatibility antigen, DQ alpha 2 chain (DX alpha chain) (HLA class II histocompatibility antigen, DQ(6) alpha chain) (HLA-DQA1) (MHC class II DQA2)",cell/tissue specific,MHC class II,
1,All EVs,HLA-DQA1,NA,DQA1_MOUSE,"HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)",cell/tissue specific,MHC class II,
1,All EVs,HLA-DRB1,NA,DRB_MOUSE,"HLA class II histocompatibility antigen, DRB1 beta chain (Human leukocyte antigen DRB1) (HLA-DRB1)",cell/tissue specific,MHC class II,
1,All EVs,HLA-DQB1 HLA-DQB,NA,DQB1_MOUSE,"HLA class II histocompatibility antigen, DQ beta 1 chain (MHC class II antigen DQB1)",cell/tissue specific,MHC class II,unknown
5,Functional component of EVs: need to determine the mode of association with EVs,COL1A1,P11087,CO1A1_MOUSE,Collagen alpha-1(I) chain (Alpha-1 type I collagen),,,unknown
5,Functional component of EVs: need to determine the mode of association with EVs,COL2A1,P28481,CO2A1_MOUSE,Collagen alpha-1(II) chain (Alpha-1 type II collagen) [Cleaved into: Collagen alpha-1(II) chain; Chondrocalcin],,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL3A1,P08121,CO3A1_MOUSE,Collagen alpha-1(III) chain,,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL4A1,P02463,CO4A1_MOUSE,Collagen alpha-1(IV) chain [Cleaved into: Arresten],,,unknown
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",LMNA,P48678,LMNA_MOUSE,Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)],nucleus,Lamin A/C,unknown
3,All EVs as purity control,APOA1,Q00623,APOA1_MOUSE,Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))],lipoproteins,"produced by liver, abundant in plasma, serum",
3,All EVs as purity control,APOA2,P09813,APOA2_MOUSE,Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))],lipoproteins,"produced by liver, abundant in plasma, serum",
3,All EVs as purity control,APOA2,P09813,APOA2_MOUSE,Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))],lipoproteins,"produced by liver, abundant in plasma, serum",
1,All EVs,GYPA,P14220,GLPA_MOUSE,Glycophorin-A (MN sialoglycoprotein) (PAS-2) (Sialoglycoprotein alpha) (CD antigen CD235a),cell/tissue specific,Glycophorin A (RBC),
5,Functional component of EVs: need to determine the mode of association with EVs,FN!,P11276,FINC_MOUSE,Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3],adhesion and extracellular matrix proteins,,unknown
5,Functional component of EVs: need to determine the mode of association with EVs,AHSG,P29699,FETUA_MOUSE,Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B],adhesion and extracellular matrix proteins,,unknown
3,All EVs as purity control,ALB,P07724,ALBU_MOUSE,Albumin,lipoproteins,"produced by liver, abundant in plasma, serum",
2,All EVs,ANXA1 ANX1 LPC1,P10107,ANXA1_MOUSE,Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35),with lipid or membrane protein-binding ability,Annexins,unknown
5,Functional component of EVs: need to determine the mode of association with EVs,PDGFA PDGF1,P20033,PDGFA_MOUSE,Platelet-derived growth factor subunit A (PDGF subunit A) (PDGF-1) (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide),Cytokines and growth factors,,
3,All EVs as purity control,APOB,E9Q414,APOB_MOUSE,Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)],lipoproteins,"produced by liver, abundant in plasma, serum",
1,All EVs,CD90,P01831,THY1_MOUSE,Thy-1 membrane glycoprotein OS=Homo sapiens OX=9606 GN=THY1 PE=1 SV=2,cell/tissue specific,immune cells,PM
1,All EVs,CD3D,P04235,CD3D_MOUSE,T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain) (CD antigen CD3d),cell/tissue specific,T cells,
2,All EVs,GAPDH,P16858,G3P_MOUSE,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),promiscuous incorporation in EVs (and possibly exomeres),enzyme,unknown
1,All EVs,HLA-A,NA,HLAA_MOUSE,"HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)",non-tissue specific,MHC class I,
1,All EVs,HLA-DPB1 HLA-DP1B,NA,DPB1_MOUSE,"HLA class II histocompatibility antigen, DP beta 1 chain (HLA class II histocompatibility antigen, DP(W4) beta chain) (MHC class II antigen DPB1)",cell/tissue specific,MHC class II,
1,All EVs,ERBB2,P70424,ERBB2_MOUSE,Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340),cell/tissue specific,breast cancer,PM
1,All EVs,GNAI2 GNAI2B,P08752,GNAI2_MOUSE,Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein),non-tissue specific,,PM
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2AC4 H2AFM HIST1H2AB; H2AC8 H2AFA HIST1H2AE,C0HKE1,H2A1B_MOUSE,Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m),nucleus,Histones,
1,All EVs,"A4, APP",P12023,A4_MOUSE,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31],cell/tissue specific,neurons,unknown
1,All EVs,ITGB3 GP3A,O54890,ITB3_MOUSE,Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61),non-tissue specific,Integrins,PM
1,All EVs,ITGB2 CD18 MFI7,P11835,ITB2_MOUSE,"Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)",non-tissue specific,Integrins,
5,Functional component of EVs: need to determine the mode of association with EVs,IL4,P07750,IL4_MOUSE,Interleukin-4 (IL-4) (B-cell stimulatory factor 1) (BSF-1) (Binetrakin) (Lymphocyte stimulatory factor 1) (Pitrakinra),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL5,P04401,IL5_MOUSE,Interleukin-5 (IL-5) (B-cell differentiation factor I) (Eosinophil differentiation factor) (T-cell replacing factor) (TRF),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,FGF1,P61148,FGF1_MOUSE,Fibroblast growth factor 1 (FGF-1) (Acidic fibroblast growth factor) (aFGF) (Endothelial cell growth factor) (ECGF) (Heparin-binding growth factor 1) (HBGF-1),Cytokines and growth factors,,
5,Functional component of EVs: need to determine the mode of association with EVs,IL6 IFNB2,P08505,IL6_MOUSE,Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2),Cytokines and growth factors,,
3,All EVs as purity control,RPLP1 RRP1,P47955,RLA1_MOUSE,60S acidic ribosomal protein P1 (Large ribosomal subunit protein P1),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPLP2 D11S2243E RPP2,P99027,RLA2_MOUSE,60S acidic ribosomal protein P2 (Large ribosomal subunit protein P2) (Renal carcinoma antigen NY-REN-44),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
3,All EVs as purity control,RPLP0,P14869,RLA0_MOUSE,60S acidic ribosomal protein P0 (60S ribosomal protein L10E) (Large ribosomal subunit protein uL10),protein and protein/nucleic acid aggregates,,RIBOSOME 60S
1,All EVs,HLA-DQB2 HLA-DXB,NA,DQB2_MOUSE,"HLA class II histocompatibility antigen, DQ beta 2 chain (HLA class II histocompatibility antigen, DX beta chain) (MHC class II antigen DQB2)",cell/tissue specific,MHC class II,PM
1,All EVs,ITGB1 FNRB MDF2 MSK12,P09055,ITB1_MOUSE,Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29),non-tissue specific,Integrins,
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",KRT18,P05784,K1C18_MOUSE,"Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)",others,,
5,Functional component of EVs: need to determine the mode of association with EVs,COL5A2,Q3U962,CO5A2_MOUSE,Collagen alpha-2(V) chain,,,unknown
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2BC11 H2BFR HIST1H2BJ,NA,H2B1J_MOUSE,Histone H2B type 1-J (Histone H2B.1) (Histone H2B.r) (H2B/r),nucleus,Histones,
2,All EVs,ANXA2 ANX2 ANX2L4 CAL1H LPC2D,P07356,ANXA2_MOUSE,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36),with lipid or membrane protein-binding ability,Annexins,unknown
1,All EVs,CD42a,O35930,GP1BA_MOUSE,Platelet glycoprotein Ib alpha chain OS=Homo sapiens OX=9606 GN=GP1BA PE=1 SV=2,cell/tissue specific,platelets,
1,All EVs,CD3E,P22646,CD3E_MOUSE,T-cell surface glycoprotein CD3 epsilon chain (T-cell surface antigen T3/Leu-4 epsilon chain) (CD antigen CD3e),cell/tissue specific,T cells,
3,All EVs as purity control,UMOD,Q91X17,UROM_MOUSE,"Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]",protein and protein/nucleic acid aggregates,urine,
5,Functional component of EVs: need to determine the mode of association with EVs,COL1A2,Q01149,CO1A2_MOUSE,Collagen alpha-2(I) chain (Alpha-2 type I collagen),,,Abundant in exomeres
2,All EVs,ANXA6 ANX6,P14824,ANXA6_MOUSE,Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70),with lipid or membrane protein-binding ability,Annexins,unknown
1,All EVs,CD55,NA,DAF_MOUSE,Complement decay-accelerating factor (CD antigen CD55),non-tissue specific,complement-binding proteins,PM
2,All EVs,HSP90AB1,P11499,HS90B_MOUSE,Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84),with lipid or membrane protein-binding ability,Heat shock proteins,CYTOSOL
1,All EVs,CD41,Q9QUM0,ITA2B_MOUSE,Integrin alpha-IIb OS=Homo sapiens OX=9606 GN=ITGA2B PE=1 SV=3,cell/tissue specific,platelets,
1,All EVs,CD14,P10810,CD14_MOUSE,"Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]",cell/tissue specific,monocytes,
5,Functional component of EVs: need to determine the mode of association with EVs,COL4A2,P08122,CO4A2_MOUSE,Collagen alpha-2(IV) chain [Cleaved into: Canstatin],,,unknown
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",CYC1,Q9D0M3,CY1_MOUSE,"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",mitochondrial,,MITOCHONDRIA
1,All EVs,"CD45,PTPRC",P06800,PTPRC_MOUSE,Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45),cell/tissue specific,immune cells,
1,All EVs,ITGA5 FNRA,P11688,ITA5_MOUSE,Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain],non-tissue specific,Integrins,PM
5,Functional component of EVs: need to determine the mode of association with EVs,IL3,P01586,IL3_MOUSE,Interleukin-3 (IL-3) (Hematopoietic growth factor) (Mast cell growth factor) (MCGF) (Multipotential colony-stimulating factor) (P-cell-stimulating factor),Cytokines and growth factors,,
3,All EVs as purity control,RPS17 RPS17L,P63276,RS17_MOUSE,40S ribosomal protein S17 (Small ribosomal subunit protein eS17),protein and protein/nucleic acid aggregates,,
1,All EVs,GNAI3,Q9DC51,GNAI3_MOUSE,Guanine nucleotide-binding protein G(i) subunit alpha (G(i) alpha-3),non-tissue specific,,PM
2,All EVs,ANXA5 ANX5 ENX2 PP4,P48036,ANXA5_MOUSE,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),with lipid or membrane protein-binding ability,Annexins,unknown
3,All EVs as purity control,RPSA LAMBR LAMR1,P14206,RSSA_MOUSE,40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2),protein and protein/nucleic acid aggregates,,RIBOSOME 40S
5,Functional component of EVs: need to determine the mode of association with EVs,IL6R,P22272,IL6RA_MOUSE,Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126),Cytokines and growth factors,,
1,All EVs,CD63,P41731,CD63_MOUSE,CD63 antigen (Granulophysin) (Lysosomal-associated membrane protein 3) (LAMP-3) (Melanoma-associated antigen ME491) (OMA81H) (Ocular melanoma-associated antigen) (Tetraspanin-30) (Tspan-30) (CD antigen CD63),non-tissue specific,Tetraspanins,unknown
3,All EVs as purity control,MRPL3 MRL3 RPML3,Q99N95,RM03_MOUSE,"39S ribosomal protein L3, mitochondrial (L3mt) (MRP-L3) (Mitochondrial large ribosomal subunit protein uL3m)",protein and protein/nucleic acid aggregates,,MITOCHONDRIA
5,Functional component of EVs: need to determine the mode of association with EVs,FGF2,P15655,FGF2_MOUSE,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),Cytokines and growth factors,,unknown
2,All EVs,ANXA4 ANX4,P97429,ANXA4_MOUSE,Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II),with lipid or membrane protein-binding ability,Annexins,unknown
1,All EVs,CD3G,P11942,CD3G_MOUSE,T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g),cell/tissue specific,T cells,
1,All EVs,H2AZ1 H2AFZ H2AZ,P0C0S6,H2AZ_MOUSE,Histone H2A.Z (H2A/z),cell/tissue specific,MHC class II,NUCLEUS-CHROMATIN
4,"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state",H2AC11 H2AFP HIST1H2AG; H2AC13 H2AFC HIST1H2AI; H2AC15 H2AFD HIST1H2AK; H2AC16 H2AFI HIST1H2AL; H2AC17 H2AFN HIST1H2AM,NA,H2A1_MOUSE,Histone H2A type 1 (H2A.1) (Histone H2A/ptl),nucleus,Histones,
1,All EVs,H2AB1 H2AFB1,Q9CQ70,H2AB1_MOUSE,Histone H2A-Bbd type 1 (H2A Barr body-deficient) (H2A.B) (H2A.Bbd),cell/tissue specific,MHC class II,
1,All EVs,H2AB2 H2AFB2; H2AB3 H2ABBD H2AFB H2AFB3,NA,H2AB2_MOUSE,Histone H2A-Bbd type 2/3 (H2A Barr body-deficient) (H2A.Bbd),cell/tissue specific,MHC class II,
2,All EVs,HSPA1A,Q61696,HS71A_MOUSE,Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1),promiscuous incorporation in EVs (and possibly exomeres),Heat shock proteins,
