"","PG.Genes","PG.ProteinDescriptions","PG.UniProtIds","PG.ProteinNames","PG.CellularComponent","PG.BiologicalProcess","PG.MolecularFunction","PG.Qvalue","X.1..22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.5..22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified","X.6..22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified","X.7..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.8..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.5..22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.6..22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.7..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.8..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity","X.2..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.3..22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity","X.4..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.5..22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity","X.6..22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity","X.7..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.8..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"50","stag2","Cohesin subunit SA-2","A2AFF6;O35638","A2AFF6_MOUSE;STAG2_MOUSE",";chromosome, centromeric region,chromatin,nucleoplasm,cohesin complex,membrane,nuclear matrix,mitotic spindle pole",";transcription from RNA polymerase II promoter,sister chromatid cohesion,stem cell population maintenance,negative regulation of DNA endoreduplication,positive regulation of transcription from RNA polymerase II promoter,cell division,meiotic cell cycle,regulation of mitotic spindle assembly",";transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,chromatin binding",1.22291535226656e-06,"Filtered","2","1","2","2","1","3","3","Filtered","2","1","2","2","1","3","3","Filtered","8.805599212646484","25.92849349975586","4.600029945373535","14.622032165527344","7.454115867614746","2.7384886741638184","4.2878217697143555"
"51","tprn","Taperin","A2AI08","TPRN_MOUSE","stereocilium","sensory perception of sound","molecular_function,phosphatase binding",0.00246025761401612,"Filtered","2","Filtered","Filtered","Filtered","Filtered","1","2","Filtered","2","Filtered","Filtered","Filtered","Filtered","1","2","Filtered","2.9988298416137695","Filtered","Filtered","Filtered","Filtered","4.587634563446045","0.7455055713653564"
"52","map7d1","MAP7 domain-containing protein 1;Isoform 2 of MAP7 domain-containing protein 1;MAP7 domain-containing protein 1;MAP7 domain-containing protein 1;MAP7 domain-containing protein 1 (Fragment)","A2AJI0;A2AJI0-2;A2AJI1;A8Y5P4;F6WF36","MA7D1_MOUSE;MA7D1_MOUSE;A2AJI1_MOUSE;A8Y5P4_MOUSE;F6WF36_MOUSE","spindle,cytosol,microtubule cytoskeleton;;;;","microtubule cytoskeleton organization;;;;","structural molecule activity;;;;",0.00245491392889702,"Filtered","1","Filtered","Filtered","Filtered","1","1","2","Filtered","1","Filtered","Filtered","Filtered","1","1","2","Filtered","1.7171491384506226","Filtered","Filtered","Filtered","2.5183706283569336","3.069613218307495","5.097856521606445"
"53","ttc1","Tetratricopeptide repeat protein 1","A2AJK8;Q91Z38","A2AJK8_MOUSE;TTC1_MOUSE",";peroxisomal membrane,cytosol",";biological_process",";molecular_function",4.65860011770672e-15,"2","2","2","1","1","1","2","2","2","2","2","1","1","1","2","2","32.03159713745117","28.916215896606445","13.910308837890625","22.315263748168945","20.526824951171875","32.70866775512695","44.14488220214844","20.094287872314453"
"54","lrrc57","Leucine-rich repeat-containing protein 57 (Fragment);Leucine rich repeat containing 57;Leucine-rich repeat-containing protein 57","A2AKH7;Q8JZX5;Q9D1G5","A2AKH7_MOUSE;Q8JZX5_MOUSE;LRC57_MOUSE",";;membrane,extracellular exosome",";;biological_process",";;molecular_function",0.00045123513012905,"1","1","Filtered","2","1","1","1","1","1","1","Filtered","2","1","1","1","1","15.220905303955078","4.977706432342529","Filtered","11.837998390197754","2.261855363845825","1.0254217386245728","8.822538375854492","6.022890567779541"
"55","rap1gap","Rap1 GTPase-activating protein 1;Isoform 2 of Rap1 GTPase-activating protein 1;Isoform 3 of Rap1 GTPase-activating protein 1","A2ALS5;A2ALS5-2;A2ALS5-3","RPGP1_MOUSE","Golgi membrane,cytosol,membrane;;","positive regulation of cell-cell adhesion,regulation of GTPase activity,positive regulation of GTPase activity,positive regulation of phagocytosis,regulation of small GTPase mediated signal transduction,negative regulation of microvillus assembly;;","GTPase activator activity,protein binding,Ras GTPase binding,protein homodimerization activity;;",0.000232452396537173,"1","2","3","1","2","2","2","1","1","2","3","1","2","2","2","1","12.439842224121094","11.202906608581543","18.18690299987793","9.977653503417969","12.951637268066406","14.527137756347656","6.979273319244385","5.103712558746338"
"56","ndufaf5","Arginine-hydroxylase NDUFAF5, mitochondrial","A2APY7","NDUF5_MOUSE","mitochondrion,extrinsic component of mitochondrial inner membrane","peptidyl-arginine hydroxylation,methylation,mitochondrial respiratory chain complex I assembly,oxidation-reduction process","molecular_function,methyltransferase activity,oxidoreductase activity",0.000149412845813598,"1","1","2","1","2","2","2","2","1","1","2","0","2","2","2","2","4.574866771697998","2.709047317504883","1.152441143989563","NaN","7.667444705963135","2.637838125228882","2.156458616256714","1.8384970426559448"
"57","skt;skt;etl4","Sickle tail protein;Isoform 2 of Sickle tail protein;Sickle tail protein","A2AQ25;A2AQ25-2;E9QAU4","SKT_MOUSE;SKT_MOUSE;E9QAU4_MOUSE","cytoplasm;;","embryonic skeletal system development;;","molecular_function,protein binding;;",6.43656429270828e-05,"1","1","1","2","1","2","2","2","1","1","1","2","1","2","2","2","2.0457143783569336","2.13407039642334","4.010263919830322","13.070022583007812","2.1287667751312256","7.408937454223633","5.09244441986084","4.0323076248168945"
"58","dnajc5","DnaJ homolog subfamily C member 5 (Fragment);DnaJ (Hsp40) homolog, subfamily C, member 5, isoform CRA_b;DnaJ homolog subfamily C member 5","A2AUE1;G5E8T0;P60904","A2AUE1_MOUSE;G5E8T0_MOUSE;DNJC5_MOUSE",";;mitochondrion,lysosomal membrane,plasma membrane,synaptic vesicle,membrane,melanosome,terminal bouton,extracellular exosome",";;negative regulation of neuron apoptotic process",";;protein binding,ATP-dependent protein binding",3.56543907807009e-21,"1","2","2","1","2","1","2","2","0","2","2","1","0","0","0","2","NaN","1.793314814567566","1.0564216375350952","1","NaN","NaN","NaN","0.5764996409416199"
"59","epha7;ephb2;ephb2;ephb2;epha7;epha7;epha7","Eph receptor A7, isoform CRA_b;Ephrin type-B receptor 2;Isoform 2 of Ephrin type-B receptor 2;Isoform 4 of Ephrin type-B receptor 2;Ephrin type-A receptor 7;Isoform 2 of Ephrin type-A receptor 7;Isoform 3 of Ephrin type-A receptor 7","A2BDQ4;P54763;P54763-2;P54763-4;Q61772;Q61772-2;Q61772-3","A2BDQ4_MOUSE;EPHB2_MOUSE;EPHB2_MOUSE;EPHB2_MOUSE;EPHA7_MOUSE;EPHA7_MOUSE;EPHA7_MOUSE",";nucleus,plasma membrane,integral component of plasma membrane,axon,dendrite,neuronal cell body,synapse;;;integral component of plasma membrane,dendrite,neuromuscular junction,neuronal cell body,postsynaptic membrane;;",";cell morphogenesis,angiogenesis,urogenital system development,negative regulation of protein phosphorylation,protein phosphorylation,transmembrane receptor protein tyrosine kinase signaling pathway,axon guidance,axonal fasciculation,learning or memory,learning,animal organ morphogenesis,positive regulation of gene expression,phosphorylation,peptidyl-tyrosine phosphorylation,optic nerve morphogenesis,central nervous system projection neuron axonogenesis,corpus callosum development,retinal ganglion cell axon guidance,positive regulation of synaptic plasticity,inner ear morphogenesis,negative regulation of Ras protein signal transduction,ephrin receptor signaling pathway,regulation of neuronal synaptic plasticity,positive regulation of long-term neuronal synaptic plasticity,camera-type eye morphogenesis,regulation of axonogenesis,negative regulation of axonogenesis,regulation of body fluid levels,inactivation of MAPKK activity,positive regulation of synapse assembly,palate development,dendritic spine development,dendritic spine morphogenesis,negative regulation of ERK1 and ERK2 cascade,commissural neuron axon guidance,trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission,Requires Ontology,positive regulation of long-term synaptic potentiation,positive regulation of protein localization to plasma membrane,negative regulation of NMDA glutamate receptor activity,positive regulation of NMDA glutamate receptor activity;;;positive regulation of protein phosphorylation,apoptotic process,brain development,phosphorylation,peptidyl-tyrosine phosphorylation,regulation of cell-cell adhesion,retinal ganglion cell axon guidance,regulation of protein autophosphorylation,regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of neuron apoptotic process,ephrin receptor signaling pathway,negative regulation of collateral sprouting,branching morphogenesis of a nerve,regulation of peptidyl-tyrosine phosphorylation,negative chemotaxis,negative regulation of synapse assembly,regulation of ERK1 and ERK2 cascade,nephric duct morphogenesis;;",";beta-amyloid binding,protein tyrosine kinase activity,receptor activity,ephrin receptor activity,transmembrane-ephrin receptor activity,receptor binding,protein binding,ATP binding,axon guidance receptor activity,identical protein binding,macromolecular complex binding;;;GPI-linked ephrin receptor activity,protein binding,ATP binding,axon guidance receptor activity,chemorepellent activity,ephrin receptor binding;;",1.57187835348085e-12,"1","2","1","1","1","1","2","2","1","2","1","1","1","1","2","2","23.974166870117188","10.167223930358887","2.820119619369507","8.382569313049316","3.247635841369629","13.445168495178223","2.9540927410125732","5.463244915008545"
"60","zfp185","Zinc finger protein 185","A2BI37;G5E8W8","A2BI37_MOUSE;G5E8W8_MOUSE",";",";",";",3.55306580784562e-16,"1","2","1","1","2","1","2","2","1","2","0","0","2","1","2","2","11.470903396606445","2.964245080947876","NaN","NaN","9.308784484863281","11.413932800292969","13.848638534545898","9.412834167480469"
"61","tbc1d8b","TBC1 domain family member 8B","A3KGB4","TBC8B_MOUSE","intracellular,endomembrane system","intracellular protein transport,regulation of vesicle fusion,activation of GTPase activity","GTPase activator activity,calcium ion binding,Rab GTPase binding",0.00116476670174383,"1","2","1","1","1","1","2","2","1","2","1","1","1","1","2","2","697.0887451171875","1866.3411865234375","596.099609375","1951.8612060546875","583.0767822265625","5172.2734375","1101.4495849609375","1463.7659912109375"
"62","rad50","DNA repair protein RAD50 (Fragment);DNA repair protein RAD50;Isoform 2 of DNA repair protein RAD50;DNA repair protein RAD50","A8Y5I3;P70388;P70388-2;Q5SV02","A8Y5I3_MOUSE;RAD50_MOUSE;RAD50_MOUSE;Q5SV02_MOUSE",";nuclear chromosome, telomeric region,nuclear chromatin,condensed nuclear chromosome,nucleus,nucleoplasm,membrane,Mre11 complex,site of double-strand break,pronucleus;;",";regulation of mitotic recombination,telomere maintenance via recombination,double-strand break repair via homologous recombination,DNA repair,double-strand break repair,DNA recombination,cellular response to DNA damage stimulus,telomere maintenance via telomerase,reciprocal meiotic recombination,regulation of mitotic cell cycle,telomere capping,telomeric 3' overhang formation,positive regulation of protein autophosphorylation,positive regulation of telomere maintenance,DNA duplex unwinding,positive regulation of kinase activity,nucleotide phosphorylation,chromosome organization,chromosome organization involved in meiotic cell cycle,nucleic acid phosphodiester bond hydrolysis,negative regulation of telomere capping;;",";DNA binding,double-stranded telomeric DNA binding,adenylate kinase activity,ATP binding,protein binding, bridging,single-stranded telomeric DNA binding,metal ion binding,G-quadruplex DNA binding,single-stranded DNA endodeoxyribonuclease activity,ATP-dependent DNA helicase activity,3'-5' exonuclease activity;;",0.000666769288910682,"Filtered","1","Filtered","Filtered","Filtered","1","2","1","Filtered","1","Filtered","Filtered","Filtered","0","2","1","Filtered","1.9136624336242676","Filtered","Filtered","Filtered","NaN","1.6824209690093994","2.008345365524292"
"63","plekhf2","Pleckstrin homology domain-containing family F member 2 (Fragment);Pleckstrin homology domain-containing family F member 2","A8Y5N8;Q91WB4","A8Y5N8_MOUSE;PKHF2_MOUSE",";endoplasmic reticulum,transport vesicle,early endosome membrane",";protein transport",";metal ion binding",4.74194067762724e-38,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","46.148834228515625","40.62530517578125","67.05388641357422","43.14664077758789","26.725360870361328","23.02811050415039","12.758999824523926","22.514949798583984"
"64","sept8","Septin-8;Septin-8;Septin-8;Septin-8;Isoform 2 of Septin-8","B1AQY9;B1AQZ0;B7ZC46;Q8CHH9;Q8CHH9-2","B1AQY9_MOUSE;B1AQZ0_MOUSE;B7ZC46_MOUSE;SEPT8_MOUSE;SEPT8_MOUSE",";;;cytoplasm,cytoskeleton,myelin sheath;",";;;biological_process;",";;;molecular_function,GTP binding;",8.46215238796317e-35,"6","7","4","8","7","6","8","8","6","7","4","8","7","6","8","8","5.9048027992248535","12.794425964355469","10.924349784851074","14.85657024383545","4.9434614181518555","3.124269485473633","17.834087371826172","13.631427764892578"
"65","jak1","Tyrosine-protein kinase;Tyrosine-protein kinase JAK1","B1ASP2;P52332","B1ASP2_MOUSE;JAK1_MOUSE",";nucleus,cytoplasm,cytosol,cytoskeleton,focal adhesion,endomembrane system,extrinsic component of cytoplasmic side of plasma membrane",";enzyme linked receptor protein signaling pathway,transmembrane receptor protein tyrosine kinase signaling pathway,cell migration,peptidyl-tyrosine phosphorylation,cytokine-mediated signaling pathway,cell differentiation,intracellular signal transduction,interleukin-12-mediated signaling pathway,cellular response to interleukin-3,peptidyl-tyrosine autophosphorylation,interleukin-2-mediated signaling pathway,interleukin-7-mediated signaling pathway,regulation of cell proliferation,innate immune response,response to antibiotic,positive regulation of sprouting angiogenesis",";protein tyrosine kinase activity,non-membrane spanning protein tyrosine kinase activity,growth hormone receptor binding,protein binding,ATP binding,protein phosphatase binding,ubiquitin protein ligase binding,metal ion binding",0.000119008240892667,"1","2","1","1","Filtered","Filtered","2","2","1","2","0","0","Filtered","Filtered","2","2","1.9214897155761719","3.0145044326782227","NaN","NaN","Filtered","Filtered","2.193511486053467","0.6739857196807861"
"66","cetn2","Centrin-2 (Fragment);Centrin-2;Centrin-2","B1AUQ7;Q9R1K9;Z4YJH1","B1AUQ7_MOUSE;CETN2_MOUSE;Z4YJH1_MOUSE",";intracellular,centrosome,centriole,cilium,photoreceptor connecting cilium,ciliary basal body,XPC complex;",";nucleotide-excision repair,centriole replication,spermatogenesis,regulation of cytokinesis,cell division;",";calcium ion binding,microtubule binding,G-protein beta/gamma-subunit complex binding,heterotrimeric G-protein binding;",0.000139658953549252,"1","1","1","1","Filtered","1","2","2","1","1","1","1","Filtered","1","2","2","5.694766044616699","6.866966724395752","10.930509567260742","5.003796100616455","Filtered","11.904976844787598","12.445169448852539","5.879785537719727"
"67","nipsnap3b","Protein NipSnap homolog 3B","B1AWZ5;Q9CQE1","B1AWZ5_MOUSE;NPS3B_MOUSE",";nucleus,mitochondrion,cytosol",";biological_process",";molecular_function",4.16583714854152e-26,"2","2","2","2","1","2","2","2","2","2","2","2","1","2","2","2","23.4075927734375","11.331125259399414","25.128801345825195","12.885104179382324","7.387524127960205","7.281493663787842","14.097503662109375","8.444913864135742"
"68","dlgap4","Disks large-associated protein 4;Isoform 2 of Disks large-associated protein 4;Isoform 3 of Disks large-associated protein 4;Disks large-associated protein 4;Disks large-associated protein 4;Disks large-associated protein 4 (Fragment);Disks large-associated protein 4","B1AZP2;B1AZP2-2;B1AZP2-3;B7ZNS2;E9PUF2;F6YMR0;I1E4X0","DLGP4_MOUSE;DLGP4_MOUSE;DLGP4_MOUSE;B7ZNS2_MOUSE;E9PUF2_MOUSE;F6YMR0_MOUSE;I1E4X0_MOUSE","membrane,synapse;;;;;;","protein complex assembly,signaling;;;;;;","protein binding,protein domain specific binding;;;;;;",2.55128160072022e-10,"1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","7.346680164337158","27.88534927368164","5.1954026222229","24.310474395751953","4.663028717041016","12.063499450683594","23.23291778564453","9.356658935546875"
"69","zbtb8os","Protein archease;Protein archease;Isoform 2 of Protein archease","B2KGA7;Q505B7;Q505B7-2","B2KGA7_MOUSE;ARCH_MOUSE;ARCH_MOUSE",";extracellular exosome,tRNA-splicing ligase complex;",";tRNA splicing, via endonucleolytic cleavage and ligation;",";molecular_function,metal ion binding;",2.16699648157426e-10,"2","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","14.385695457458496","6.846370220184326","5.166219234466553","10.592875480651855","6.407797336578369","10.681159019470215","9.552659034729004","9.09597110748291"
"70","ppfia1","Ppfia1 protein","B2RXQ2;B2RXW8","B2RXQ2_MOUSE;B2RXW8_MOUSE","cytosol,focal adhesion,axon,dendrite,protein complex;","negative regulation of stress fiber assembly,negative regulation of protein localization to plasma membrane;","protein binding;",8.67208142976818e-12,"1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","5.411367893218994","11.530742645263672","6.003089904785156","9.415742874145508","9.135967254638672","9.257144927978516","20.883846282958984","10.62612247467041"
"71","bnip1","Vesicle transport protein SEC20","B8JJI4;Q6QD59","B8JJI4_MOUSE;SEC20_MOUSE",";Golgi membrane,nuclear envelope,cytoplasm,mitochondrion,endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane,SNARE complex,intracellular membrane-bounded organelle",";autophagy,apoptotic process,endoplasmic reticulum organization,protein transport,vesicle-mediated transport,endoplasmic reticulum membrane fusion",";SNAP receptor activity",6.74327998694123e-22,"1","2","1","1","2","1","1","1","1","2","1","1","2","1","1","1","13.741870880126953","17.669940948486328","25.646013259887695","27.907163619995117","19.101917266845703","24.66329574584961","18.916000366210938","27.340543746948242"
"72","pbxip1","Pre-B-cell leukemia transcription factor-interacting protein 1 (Fragment);Pre-B-cell leukemia transcription factor-interacting protein 1 (Fragment);Pre-B-cell leukemia transcription factor-interacting protein 1 (Fragment);Pre-B-cell leukemia transcription factor-interacting protein 1","D3YUE1;D3YY15;D3Z2F0;Q3TVI8","D3YUE1_MOUSE;D3YY15_MOUSE;D3Z2F0_MOUSE;PBIP1_MOUSE",";;;nucleus,cytoplasm,microtubule",";;;biological_process,cell differentiation,negative regulation of transcription, DNA-templated",";;;molecular_function,transcription corepressor activity",0.000281437087983448,"Filtered","Filtered","Filtered","1","1","Filtered","1","Filtered","Filtered","Filtered","Filtered","1","1","Filtered","1","Filtered","Filtered","Filtered","Filtered","1.5126383304595947","1.1476494073867798","Filtered","6.454777240753174","Filtered"
"73","ncald","Neurocalcin-delta (Fragment);Neurocalcin-delta","D3YVA2;Q91X97","D3YVA2_MOUSE;NCALD_MOUSE",";intracellular,cytosol,extracellular exosome",";regulation of systemic arterial blood pressure,calcium-mediated signaling",";actin binding,calcium ion binding,tubulin binding,clathrin binding,alpha-tubulin binding",3.70455713598141e-21,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","1","13.647819519042969","13.630762100219727","12.050389289855957","36.34392547607422","21.717531204223633","12.586219787597656","26.96599006652832","41.303916931152344"
"74","mov10","Putative helicase MOV-10","D3YVL0;D3Z3E8;E9PW39;P23249","D3YVL0_MOUSE;D3Z3E8_MOUSE;E9PW39_MOUSE;MOV10_MOUSE",";;;cytoplasmic mRNA processing body,extracellular space,cytosol",";;;gene silencing by miRNA,mRNA cleavage involved in gene silencing by miRNA",";;;RNA binding,helicase activity,protein binding,ATP binding",0.000421548637427414,"1","2","Filtered","1","1","Filtered","2","2","0","2","Filtered","1","1","Filtered","2","2","NaN","7.214447975158691","Filtered","3.378262996673584","4.343440055847168","Filtered","6.84065055847168","5.061154842376709"
"75","fntb","Protein farnesyltransferase subunit beta","D3YWJ4","D3YWJ4_MOUSE","","","",2.23843152758137e-05,"2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","3","7.128055095672607","8.452013969421387","3.3860297203063965","3.52760648727417","1.1097824573516846","12.330937385559082","8.645423889160156","3.093174695968628"
"76","tmem109","Transmembrane protein 109;Transmembrane protein 109 (Fragment);Transmembrane protein 109 (Fragment);Transmembrane protein 109 (Fragment);Transmembrane protein 109","D3YX08;D3Z0I8;D3Z3Z2;D3Z7P2;Q3UBX0","D3YX08_MOUSE;D3Z0I8_MOUSE;D3Z3Z2_MOUSE;D3Z7P2_MOUSE;TM109_MOUSE",";;;;nuclear outer membrane,endoplasmic reticulum,integral component of membrane,nuclear membrane,sarcoplasmic reticulum membrane,extracellular exosome",";;;;ion transport,regulation of ion transmembrane transport,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,negative regulation of cell death,cellular response to gamma radiation",";;;;voltage-gated ion channel activity,protein binding",7.3357269591644e-20,"1","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","56.09648132324219","38.174156188964844","70.21011352539062","61.73312759399414","110.170166015625","53.97272491455078","86.68550109863281","70.89346313476562"
"77","sap18;sap18b","Histone deacetylase complex subunit SAP18","D3YY55;E9Q317","D3YY55_MOUSE;E9Q317_MOUSE",";",";",";",4.33114124997926e-18,"Filtered","1","Filtered","1","1","1","2","1","Filtered","1","Filtered","1","1","1","2","1","Filtered","4.012516498565674","Filtered","12.374809265136719","10.949952125549316","3.7713894844055176","8.732239723205566","7.370304584503174"
"78","amy1","Alpha-amylase 1 (Fragment);Alpha-amylase 1","D3YYQ5;P00687","D3YYQ5_MOUSE;AMY1_MOUSE",";extracellular space,extracellular exosome",";carbohydrate catabolic process",";alpha-amylase activity,calcium ion binding,amylase activity,chloride ion binding,Requires Ontology",2.08716417240967e-06,"Filtered","2","Filtered","2","1","1","2","2","Filtered","0","Filtered","2","1","1","2","2","Filtered","NaN","Filtered","6.1043853759765625","6.5210862159729","4.113214492797852","3.1457879543304443","1.4903459548950195"
"79","cdh2","Cadherin-2","D3YYT0;P15116","D3YYT0_MOUSE;CADH2_MOUSE",";cytoplasm,plasma membrane,cell-cell junction,adherens junction,cell-cell adherens junction,fascia adherens,focal adhesion,cell surface,postsynaptic density,intercalated disc,membrane,integral component of membrane,basolateral plasma membrane,apical plasma membrane,catenin complex,lamellipodium,cell junction,extracellular matrix,sarcolemma,plasma membrane raft,synapse,extracellular exosome,cortical actin cytoskeleton",";cell adhesion,homophilic cell adhesion via plasma membrane adhesion molecules,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,glial cell differentiation,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,cell migration,telencephalon development,cerebral cortex development,positive regulation of MAPK cascade,cell-cell adhesion mediated by cadherin,blood vessel morphogenesis,brain morphogenesis,homeostasis of number of cells,striated muscle cell differentiation,radial glial cell differentiation,neuroepithelial cell differentiation,regulation of oligodendrocyte progenitor proliferation,protein localization to plasma membrane,negative regulation of canonical Wnt signaling pathway,neuroligin clustering involved in postsynaptic membrane assembly,neuronal stem cell population maintenance,regulation of postsynaptic density protein 95 clustering,positive regulation of synaptic vesicle clustering",";calcium ion binding,protein binding,beta-catenin binding,enzyme binding,protein kinase binding,protein phosphatase binding,identical protein binding,alpha-catenin binding,gamma-catenin binding",0.000115345467270032,"1","2","2","Filtered","2","2","2","2","1","0","2","Filtered","2","2","2","2","4.422008991241455","NaN","3.409604072570801","Filtered","1.5996595621109009","2.85561203956604","1.3625329732894897","5.392415523529053"
"80","ccdc6","Coiled-coil domain-containing protein 6","D3YZP9","CCDC6_MOUSE","cytosol,cytoskeleton","biological_process","molecular_function,SH3 domain binding",7.59979333984551e-21,"2","3","2","3","2","2","3","3","2","3","2","3","2","2","3","3","36.89265823364258","42.505126953125","23.047121047973633","37.074459075927734","13.175871849060059","31.600744247436523","23.128009796142578","24.903972625732422"
"81","ttc7;ttc7a","Tetratricopeptide repeat protein 7A","D3Z0R8;Q8BGB2","D3Z0R8_MOUSE;TTC7A_MOUSE",";cytoplasm,plasma membrane",";cellular iron ion homeostasis,hemopoiesis,protein localization to plasma membrane",";",1.1145260902431e-13,"3","2","1","1","Filtered","1","2","1","3","2","1","1","Filtered","1","2","1","4.787994861602783","3.2146432399749756","2.7036993503570557","4.315378189086914","Filtered","4.283588886260986","4.728391647338867","3.7468338012695312"
"82","eif2b1","Translation initiation factor eIF-2B subunit alpha (Fragment);Translation initiation factor eIF-2B subunit alpha","D3Z151;Q99LC8","D3Z151_MOUSE;EI2BA_MOUSE",";cytoplasm,eukaryotic translation initiation factor 2B complex,plasma membrane,membrane",";translational initiation,oligodendrocyte development,positive regulation of GTPase activity,cellular response to stimulus",";protein binding,identical protein binding,translation initiation factor activity,guanyl-nucleotide exchange factor activity",0.000119132484500213,"1","1","1","Filtered","1","Filtered","2","2","1","1","1","Filtered","1","Filtered","2","2","1.7019355297088623","3.046889066696167","3.001232862472534","Filtered","8.628203392028809","Filtered","8.603195190429688","4.760586738586426"
"83","mrps14","28S ribosomal protein S14, mitochondrial;28S ribosomal protein S14, mitochondrial","D3Z2K2;Q9CR88","D3Z2K2_MOUSE;RT14_MOUSE",";mitochondrion,mitochondrial small ribosomal subunit",";translation",";RNA binding,structural constituent of ribosome,protein binding",0.000153407067101684,"1","1","1","Filtered","2","1","1","1","1","1","1","Filtered","2","1","1","1","22.619157791137695","15.561308860778809","13.578570365905762","Filtered","19.829240798950195","21.978717803955078","7.391265869140625","12.54813003540039"
"84","clip1","CAP-Gly domain-containing linker protein 1;CAP-Gly domain-containing linker protein 1;CAP-Gly domain-containing linker protein 1;CAP-Gly domain-containing linker protein 1 (Fragment);CAP-Gly domain-containing linker protein 1;Isoform 2 of CAP-Gly domain-containing linker protein 1","D3Z2Z1;D3Z3M7;F8WIA1;Q8C0S5;Q922J3;Q922J3-2","D3Z2Z1_MOUSE;D3Z3M7_MOUSE;F8WIA1_MOUSE;Q8C0S5_MOUSE;CLIP1_MOUSE;CLIP1_MOUSE",";;;;ruffle,nuclear envelope,centrosome,microtubule,microtubule cytoskeleton,cytoplasmic vesicle membrane,microtubule plus-end,cytoplasmic microtubule,macropinosome;",";;;;microtubule bundle formation,positive regulation of microtubule polymerization,protein transport into plasma membrane raft;",";;;;protein binding,microtubule binding,zinc ion binding,tubulin binding,microtubule plus-end binding;",3.59945374482102e-05,"Filtered","1","2","1","3","1","1","2","Filtered","1","2","1","3","1","1","2","Filtered","1.6295584440231323","2.4148952960968018","8.386480331420898","1.5241577625274658","4.680861473083496","0.8507592678070068","1.2097545862197876"
"85","mrpl3","39S ribosomal protein L3, mitochondrial;39S ribosomal protein L3, mitochondrial","D3Z456;Q99N95","D3Z456_MOUSE;RM03_MOUSE",";mitochondrion,mitochondrial large ribosomal subunit",";translation",";RNA binding,structural constituent of ribosome",1.44601359987452e-21,"3","2","4","3","4","3","3","4","3","2","4","3","4","3","3","4","16.385766983032227","14.60590648651123","13.66894817352295","10.075899124145508","18.188676834106445","12.57341480255127","11.502849578857422","7.007500648498535"
