"","PG.Genes","PG.ProteinDescriptions","PG.UniProtIds","PG.ProteinNames","PG.CellularComponent","PG.BiologicalProcess","PG.MolecularFunction","PG.Qvalue","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity"
"11","ighv1-43","Protein Ighv1-43","A0A075B5V7","A0A075B5V7_MOUSE","","","",0.00545458,"Filtered","Filtered","Filtered","1","Filtered","Filtered","2","Filtered","Filtered","Filtered","Filtered","1","Filtered","Filtered","2","Filtered","Filtered","Filtered","Filtered","5.81032753","Filtered","Filtered","12.31167221","Filtered"
"12","srgap2","SLIT-ROBO Rho GTPase-activating protein 2","A0A087WNM1;Q91Z67","A0A087WNM1_MOUSE;SRGP2_MOUSE",";nucleoplasm,mitochondrial inner membrane,cytosol,plasma membrane,postsynaptic density,lamellipodium,cell junction,dendritic spine head,postsynaptic membrane,phagocytic vesicle",";lamellipodium assembly involved in ameboidal cell migration,signal transduction,extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration,negative regulation of cell migration,substrate adhesion-dependent cell spreading,positive regulation of GTPase activity,filopodium assembly,neuron projection morphogenesis,actin filament severing,dendritic spine development,negative regulation of neuron migration",";GTPase activator activity,protein homodimerization activity,Rac GTPase binding",0.000206131,"Filtered","2","Filtered","2","Filtered","1","1","Filtered","Filtered","2","Filtered","2","Filtered","1","1","Filtered","Filtered","3.313678265","Filtered","1.350358486","Filtered","6.102021694","2.634841681","Filtered"
"13","soat1","Sterol O-acyltransferase 1 (Fragment);Sterol O-acyltransferase 1","A0A087WNN8;Q61263","A0A087WNN8_MOUSE;SOAT1_MOUSE",";endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane",";cholesterol metabolic process,macrophage derived foam cell differentiation,cholesterol storage,cholesterol efflux,very-low-density lipoprotein particle assembly,cholesterol esterification,cholesterol homeostasis,positive regulation of amyloid precursor protein biosynthetic process",";fatty-acyl-CoA binding,sterol O-acyltransferase activity,cholesterol binding,cholesterol O-acyltransferase activity",0.00011469,"Filtered","2","Filtered","2","1","2","2","Filtered","Filtered","2","Filtered","2","1","2","2","Filtered","Filtered","25.13929939","Filtered","13.49905109","22.3843174","36.45829773","21.92168427","Filtered"
"14","cdv3","Protein CDV3;Protein CDV3;Isoform 2 of Protein CDV3","A0A087WNP6;Q4VAA2;Q4VAA2-2","A0A087WNP6_MOUSE;CDV3_MOUSE;CDV3_MOUSE",";cytoplasm,nucleus;",";biological_process;",";molecular_function;",1.55e-30,"4","4","4","4","4","4","3","4","4","4","4","4","4","4","3","4","35.06404495","51.14471054","42.65372467","42.77652359","39.81933975","46.32806778","61.78941345","30.09684563"
"15","tceb1","Transcription elongation factor B polypeptide 1;Transcription elongation factor B polypeptide 1 (Fragment);Transcription elongation factor B polypeptide 1","A0A087WNT1;A0A087WQE6;P83940","A0A087WNT1_MOUSE;A0A087WQE6_MOUSE;ELOC_MOUSE",";;elongin complex",";;transcription, DNA-templated,positive regulation of transcription elongation from RNA polymerase II promoter,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;protein binding,ubiquitin-protein transferase activity",1.67e-21,"4","4","3","4","2","4","4","4","4","4","3","4","2","4","4","4","18.47283936","30.98184013","22.29429436","38.04310608","26.26590538","34.20885468","23.10520744","19.02084351"
"16","agfg1","Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1 (Fragment);Arf-GAP domain and FG repeat-containing protein 1;Arf-GAP domain and FG repeat-containing protein 1;Isoform 1 of Arf-GAP domain and FG repeat-containing protein 1;Isoform 2 of Arf-GAP domain and FG repeat-containing protein 1;Isoform 3 of Arf-GAP domain and FG repeat-containing protein 1","A0A087WNV1;A0A087WR52;A0A087WSR7;Q8K2K6;Q8K2K6-1;Q8K2K6-2;Q8K2K6-3","A0A087WNV1_MOUSE;A0A087WR52_MOUSE;A0A087WSR7_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE;AGFG1_MOUSE",";;;nucleus,cytoplasmic vesicle,cell projection,neuronal cell body,intracellular membrane-bounded organelle;;;",";;;acrosome assembly,transport,multicellular organism development,spermatid nucleus differentiation,positive regulation of GTPase activity,intermediate filament organization;;;",";;;DNA binding,GTPase activator activity,metal ion binding;;;",2.47e-05,"1","3","2","4","2","5","1","5","1","3","2","4","2","5","0","5","18.57176781","4.8920331","16.4618721","22.83606339","11.33444595","23.03412628","NaN","11.0839262"
"17","ktn1","Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Kinectin;Isoform 15 of Kinectin;Isoform 5 of Kinectin;Isoform 6 of Kinectin;Isoform 9 of Kinectin","A0A087WNW3;A0A087WQ25;A0A087WQI3;A0A087WQQ5;A0A087WRS1;F8VQC7;Q61595;Q61595-15;Q61595-5;Q61595-6;Q61595-9","A0A087WNW3_MOUSE;A0A087WQ25_MOUSE;A0A087WQI3_MOUSE;A0A087WQQ5_MOUSE;A0A087WRS1_MOUSE;F8VQC7_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE;KTN1_MOUSE",";;;;;;endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane;;;;",";;;;;;microtubule-based movement;;;;",";;;;;;kinesin binding;;;;",0.000657053,"2","6","Filtered","5","1","5","2","Filtered","2","6","Filtered","5","0","5","2","Filtered","3.334536076","3.80159831","Filtered","1.108411074","NaN","3.273183584","1.386435866","Filtered"
"18","ly6c1","Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1","A0A087WNZ5;A0A087WRP7;P0CW02","A0A087WNZ5_MOUSE;A0A087WRP7_MOUSE;LY6C1_MOUSE",";;external side of plasma membrane,anchored component of membrane",";;",";;",2.96e-53,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","46.61326599","86.11327362","38.82522583","54.95516968","40.03581238","43.36886597","8.305165291","23.00926781"
"19","trip12","E3 ubiquitin-protein ligase TRIP12","A0A087WNZ7;G5E870","A0A087WNZ7_MOUSE;TRIPC_MOUSE",";nucleus,nucleoplasm,cytoplasm,nuclear speck",";DNA repair,cellular response to DNA damage stimulus,embryo development,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,negative regulation of histone H2A K63-linked ubiquitination,negative regulation of double-strand break repair",";ubiquitin-protein transferase activity,zinc ion binding,thyroid hormone receptor binding,ubiquitin protein ligase activity",1.19e-23,"1","3","Filtered","2","Filtered","4","Filtered","Filtered","1","3","Filtered","2","Filtered","4","Filtered","Filtered","4.256652355","2.852975368","Filtered","4.43615818","Filtered","6.99871254","Filtered","Filtered"
"20","plekha6","Pleckstrin homology domain-containing family A member 6 (Fragment);Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6","A0A087WP13;A0A087WRB7;E9PX43;Q7TQG1","A0A087WP13_MOUSE;A0A087WRB7_MOUSE;E9PX43_MOUSE;PKHA6_MOUSE",";;;cellular_component",";;;biological_process",";;;molecular_function",3.39e-11,"2","1","2","2","2","2","Filtered","2","2","1","2","2","2","2","Filtered","2","9.37981987","3.46784997","8.298144341","10.83946896","10.06925106","4.345545292","Filtered","4.897476673"
"21","2210011c24rik","MCG5930","A0A087WQ89","A0A087WQ89_MOUSE","cellular_component","biological_process","molecular_function",1.28e-39,"2","2","2","2","1","2","Filtered","2","2","2","2","2","1","2","Filtered","2","19.22091484","16.18710518","18.93844795","33.75747299","14.9869585","12.59463978","Filtered","11.31719303"
"22","bclaf1","Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1 (Fragment);Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1;Isoform 2 of Bcl-2-associated transcription factor 1;Isoform 3 of Bcl-2-associated transcription factor 1","A0A087WQA0;A0A087WRN1;F8WI22;Q8K019;Q8K019-2;Q8K019-3","A0A087WQA0_MOUSE;A0A087WRN1_MOUSE;F8WI22_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE",";;;nucleus,nucleoplasm,cytoplasm,nuclear speck;;",";;;transcription, DNA-templated,apoptotic process,positive regulation of apoptotic process,regulation of DNA-templated transcription in response to stress,negative regulation of transcription, DNA-templated,cellular response to leukemia inhibitory factor,positive regulation of DNA-templated transcription, initiation,positive regulation of response to DNA damage stimulus,positive regulation of intrinsic apoptotic signaling pathway;;",";;;DNA binding,RNA binding,protein binding;;",4.24e-38,"2","4","1","2","1","5","2","2","2","4","1","2","1","5","2","2","20.38888931","37.4192276","12.51250553","44.31374359","13.67974854","40.91312408","44.08259583","20.41594696"
"23","tns1","Protein Tns1","A0A087WQS0","A0A087WQS0_MOUSE","","","",7.86e-48,"39","50","37","43","40","51","24","38","39","50","37","43","40","51","24","38","108.2643585","159.5373383","123.7013016","174.2165222","119.5166779","159.0020905","66.15756989","104.9090347"
"24","bzw1","Basic leucine zipper and W2 domain-containing protein 1","A0A087WQS2;Q9CQC6","A0A087WQS2_MOUSE;BZW1_MOUSE",";cytoplasm,membrane",";transcription, DNA-templated,regulation of transcription, DNA-templated",";RNA binding,cadherin binding",5.17e-06,"8","10","4","8","5","10","6","5","8","10","4","8","5","10","6","5","55.82009125","133.9425201","59.57575607","123.7520447","63.59947205","151.9181366","102.6668167","48.26749039"
"25","casp8","Caspase-8","A0A087WQT6;O89110","A0A087WQT6_MOUSE;CASP8_MOUSE",";nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,plasma membrane,Noc1p-Noc2p complex,death-inducing signaling complex,CD95 death-inducing signaling complex,ripoptosome",";angiogenesis,neural tube formation,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,heart development,extrinsic apoptotic signaling pathway via death domain receptors,macrophage differentiation,response to tumor necrosis factor,TRAIL-activated apoptotic signaling pathway,positive regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of macrophage differentiation,positive regulation of proteolysis,cardiac muscle tissue development,proteolysis involved in cellular protein catabolic process,negative regulation of necroptotic process,regulation of thymocyte apoptotic process,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,execution phase of apoptosis,activation of cysteine-type endopeptidase activity,hepatocyte apoptotic process,regulation of apoptotic signaling pathway,positive regulation of extrinsic apoptotic signaling pathway",";endopeptidase activity,cysteine-type endopeptidase activity,protein binding,peptidase activity,ubiquitin protein ligase binding,death effector domain binding,identical protein binding,protein heterodimerization activity,scaffold protein binding,cysteine-type endopeptidase activity involved in apoptotic process,cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cysteine-type endopeptidase activity involved in execution phase of apoptosis",0.003687799,"Filtered","2","1","1","1","6","1","1","Filtered","2","0","1","1","6","1","1","Filtered","13.26318359","NaN","22.09477997","10.02774811","14.92081833","13.00943565","8.968025208"
"26","gm4064;rbmy1a1;gm21693;rbmy1a1;rbmy1b","Protein Gm4064;Protein Gm10256;Protein Gm21693;RNA-binding motif protein, Y chromosome, family 1 member A1;RNA-binding motif protein, Y chromosome, family 1 member B","A0A087WR82;B2RWR6;J3QK27;O35698;Q60990","A0A087WR82_MOUSE;B2RWR6_MOUSE;J3QK27_MOUSE;RBY1A_MOUSE;RBY1B_MOUSE","cellular_component;;;nucleus;cellular_component,nucleus","biological_process;;;hematopoietic progenitor cell differentiation,mRNA processing,RNA splicing;mRNA processing,biological_process,RNA splicing","molecular_function,RNA binding;;RNA binding;RNA binding;molecular_function,RNA binding",0.000652141,"Filtered","3","Filtered","Filtered","Filtered","3","Filtered","Filtered","Filtered","3","Filtered","Filtered","Filtered","3","Filtered","Filtered","Filtered","20.39452362","Filtered","Filtered","Filtered","9.653309822","Filtered","Filtered"
"27","adhfe1","Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial","A0A087WRE7;Q8R0N6","A0A087WRE7_MOUSE;HOT_MOUSE",";mitochondrion,cytosol",";molecular hydrogen transport,oxidation-reduction process",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity",9.51e-44,"14","11","15","12","13","9","5","12","14","11","15","12","13","9","5","12","46.52500153","21.52874947","48.62130737","24.24411774","47.63285446","8.999130249","8.15216732","50.81636047"
"28","nucks1","Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1","A0A087WRY3;Q80XU3","A0A087WRY3_MOUSE;NUCKS_MOUSE",";chromatin,nuclear chromatin,nucleus,nucleolus,cytoplasm",";double-strand break repair via homologous recombination,cellular glucose homeostasis,regulation of DNA replication,chromatin organization,regulation of transcription from RNA polymerase II promoter,transcription from RNA polymerase II promoter,release from viral latency,replication fork processing,interstrand cross-link repair,glucose homeostasis,positive regulation by host of viral transcription,positive regulation by host of viral genome replication,positive regulation of transcription from RNA polymerase II promoter,regulation of insulin receptor signaling pathway,positive regulation of insulin receptor signaling pathway,regulation of DNA strand elongation,cellular response to X-ray,modulation by host of RNA binding by virus,modulation by host of viral RNA-binding transcription factor activity",";transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,chromatin binding,double-stranded DNA binding,single-stranded DNA binding,RNA binding,transcription factor binding",9.2e-20,"2","2","1","2","1","2","2","2","2","2","1","2","1","2","2","2","45.64917374","69.97078705","41.19792557","109.8364716","58.89418793","92.32661438","58.85842896","51.58380127"
"29","sh3bgrl2","SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2","A0A087WS96;Q8BG73","A0A087WS96_MOUSE;SH3L2_MOUSE",";nucleoplasm,cytoplasm,nuclear membrane,extracellular exosome",";biological_process",";protein binding,SH3 domain binding",9.28e-46,"3","2","2","2","2","4","1","2","3","2","2","2","2","4","1","2","26.55692101","27.07726288","39.24467468","17.21055794","18.10743904","29.89536667","15.13048077","29.87094116"
"30","fn1","Fibronectin","A0A087WSN6","A0A087WSN6_MOUSE","","","",1.62e-71,"58","83","40","93","60","108","115","38","58","83","40","93","60","108","115","38","93.6002121","222.7338867","59.26927948","272.9311523","125.0469284","392.2142334","1563.456909","50.71473694"
"31","mapkapk2","MAP kinase-activated protein kinase 2 (Fragment);MAP kinase-activated protein kinase 2","A0A087WSN7;P49138","A0A087WSN7_MOUSE;MAPK2_MOUSE",";nucleus,nucleoplasm,cytoplasm,centrosome,extracellular exosome",";toll-like receptor signaling pathway,protein phosphorylation,inflammatory response,cellular response to DNA damage stimulus,peptidyl-serine phosphorylation,G2 DNA damage checkpoint,response to lipopolysaccharide,regulation of interleukin-6 production,regulation of tumor necrosis factor production,response to cytokine,cellular response to vascular endothelial growth factor stimulus,p38MAPK cascade,positive regulation of tumor necrosis factor biosynthetic process,macropinocytosis,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,mRNA stabilization,inner ear development,3'-UTR-mediated mRNA stabilization",";protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,signal transducer activity,protein binding,calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,mitogen-activated protein kinase binding",0.000547675,"2","2","1","4","1","4","2","3","2","2","1","4","1","4","2","3","14.29323959","19.60646629","13.83569336","12.87541294","29.79123688","17.9068985","12.11127472","6.949933529"
"32","stat1","Signal transducer and activator of transcription;Signal transducer and activator of transcription 1;Signal transducer and activator of transcription;Signal transducer and activator of transcription","A0A087WSP5;P42225;Q8C3V4;Q99K94","A0A087WSP5_MOUSE;STAT1_MOUSE;Q8C3V4_MOUSE;Q99K94_MOUSE",";nuclear chromatin,nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol,axon,dendrite,protein complex,perinuclear region of cytoplasm;;",";negative regulation of transcription from RNA polymerase II promoter,negative regulation of endothelial cell proliferation,positive regulation of mesenchymal cell proliferation,positive regulation of defense response to virus by host,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,transcription, DNA-templated,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,JAK-STAT cascade,blood circulation,response to bacterium,macrophage derived foam cell differentiation,negative regulation of angiogenesis,cytokine-mediated signaling pathway,lipopolysaccharide-mediated signaling pathway,response to lipopolysaccharide,positive regulation of interferon-alpha production,tumor necrosis factor-mediated signaling pathway,response to cytokine,negative regulation of macrophage fusion,response to type I interferon,response to interferon-beta,cellular response to interferon-beta,negative regulation of I-kappaB kinase/NF-kappaB signaling,response to exogenous dsRNA,response to peptide hormone,positive regulation of erythrocyte differentiation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,negative regulation by virus of viral protein levels in host cell,positive regulation of smooth muscle cell proliferation,response to cAMP,defense response to virus,interferon-gamma-mediated signaling pathway,type I interferon signaling pathway,JAK-STAT cascade involved in growth hormone signaling pathway,renal tubule development,cellular response to lipopolysaccharide,cellular response to cytokine stimulus,cellular response to interferon-gamma,cellular response to organic cyclic compound,metanephric mesenchymal cell proliferation involved in metanephros development,metanephric mesenchymal cell differentiation,negative regulation of metanephric nephron tubule epithelial cell differentiation;;",";RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II core promoter sequence-specific DNA binding,transcription factor activity, RNA polymerase II core promoter sequence-specific,core promoter binding,double-stranded DNA binding,transcription factor activity, sequence-specific DNA binding,signal transducer activity,tumor necrosis factor receptor binding,protein binding,enzyme binding,histone acetyltransferase binding,nuclear hormone receptor binding,histone binding,identical protein binding,protein homodimerization activity,ubiquitin-like protein ligase binding,cadherin binding,repressing transcription factor binding,promoter-specific chromatin binding;;",0.000140314,"Filtered","4","Filtered","3","3","5","4","2","Filtered","4","Filtered","3","3","5","4","2","Filtered","15.4952879","Filtered","18.82965088","12.28249359","21.12522125","17.81581116","5.403917789"
