"","PG.BiologicalProcess","PG.CellularComponent","PG.Genes","PG.MolecularFunction","PG.ProteinDescriptions","PG.ProteinNames","PG.Qvalue","PG.UniProtIds","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"16",";;;;;;;;;;;;;;;;microtubule cytoskeleton organization,microtubule bundle formation,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,astral microtubule organization,microtubule organizing center organization,negative regulation of microtubule polymerization or depolymerization,microtubule anchoring,establishment of mitotic spindle localization,positive regulation of exocytosis,establishment of spindle orientation,cell division,negative regulation of stress fiber assembly,regulation of focal adhesion assembly,regulation of microtubule cytoskeleton organization,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis;;microtubule cytoskeleton organization,vesicle targeting,microtubule nucleation,negative regulation of microtubule depolymerization,Golgi organization,mitotic spindle organization,establishment or maintenance of cell polarity,exit from mitosis,regulation of gastrulation,positive regulation of epithelial cell migration,regulation of epithelial to mesenchymal transition,cell migration,regulation of axon extension,microtubule organizing center organization,regulation of microtubule polymerization or depolymerization,regulation of microtubule polymerization,regulation of microtubule-based process,regulation of actin cytoskeleton organization,microtubule anchoring,platelet-derived growth factor receptor-beta signaling pathway,positive regulation of exocytosis,cell division,meiotic cell cycle,negative regulation of stress fiber assembly,negative regulation of focal adhesion assembly,protein localization to plasma membrane,positive regulation of extracellular matrix disassembly,negative regulation of wound healing, spreading of epidermal cells,positive regulation of basement membrane assembly involved in embryonic body morphogenesis",";;;;;;;;;;;;;;;;kinetochore,condensed chromosome kinetochore,Golgi apparatus,centrosome,kinetochore microtubule,spindle microtubule,cytoplasmic microtubule,cell cortex,membrane,cortical microtubule cytoskeleton,centrosomal corona,basal cortex,extracellular exosome,focal adhesion;;condensed chromosome kinetochore,spindle pole,Golgi apparatus,trans-Golgi network,microtubule organizing center,cytosol,microtubule,cytoplasmic microtubule,plasma membrane,cell cortex,membrane,cell leading edge,ruffle membrane,axonal growth cone,basal cortex,cortical microtubule plus-end,kinetochore,focal adhesion,mitotic spindle","clasp1;clasp1;clasp1;clasp1;clasp1;clasp1;clasp1;clasp1;clasp1;clasp1;clasp2;clasp1;clasp1;clasp2;clasp1;clasp2;clasp1;clasp1;clasp2",";;;;;;;;;;;;;;;;dystroglycan binding,protein binding,microtubule binding,kinetochore binding,microtubule plus-end binding;;dystroglycan binding,protein binding,microtubule binding,microtubule plus-end binding,actin filament binding,protein tyrosine kinase binding","CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP-associating protein 1;CLIP-associating protein 2;CLIP-associating protein 1;CLIP associating protein 2;CLIP-associating protein 1;Isoform 2 of CLIP-associating protein 1;CLIP-associating protein 2","A0A087WNW8_MOUSE;A0A087WP42_MOUSE;A0A087WQ31_MOUSE;A0A087WQ95_MOUSE;A0A087WQF1_MOUSE;A0A087WRE8_MOUSE;A0A087WRK0_MOUSE;A0A087WS18_MOUSE;A0A0A6YXZ1_MOUSE;E9Q6L0_MOUSE;E9Q8N5_MOUSE;E9QKH0_MOUSE;E9QNY9_MOUSE;F7DCH5_MOUSE;J3QP81_MOUSE;Q08EB6_MOUSE;CLAP1_MOUSE;CLAP1_MOUSE;CLAP2_MOUSE",6.22e-16,"A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WQF1;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;E9Q6L0;E9Q8N5;E9QKH0;E9QNY9;F7DCH5;J3QP81;Q08EB6;Q80TV8;Q80TV8-2;Q8BRT1",2,2,2,2,2,2,2,2,25.04417419,43.87149811,26.18556595,26.0794239
"17",";;",";;external side of plasma membrane,anchored component of membrane","ly6c1",";;","Lymphocyte antigen 6C1;Lymphocyte antigen 6C1 (Fragment);Lymphocyte antigen 6C1","A0A087WNZ5_MOUSE;A0A087WRP7_MOUSE;LY6C1_MOUSE",1.75e-52,"A0A087WNZ5;A0A087WRP7;P0CW02",2,2,2,2,2,2,2,2,414.508606,163.412262,331.2252502,355.4386902
"18",";DNA repair,cellular response to DNA damage stimulus,embryo development,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,negative regulation of histone H2A K63-linked ubiquitination,negative regulation of double-strand break repair",";nucleus,nucleoplasm,cytoplasm,nuclear speck","trip12",";ubiquitin-protein transferase activity,zinc ion binding,thyroid hormone receptor binding,ubiquitin protein ligase activity","E3 ubiquitin-protein ligase TRIP12","A0A087WNZ7_MOUSE;TRIPC_MOUSE",2.71e-50,"A0A087WNZ7;G5E870",3,4,7,6,7,7,7,7,40.6032753,48.53588104,72.16657257,42.89792252
"19",";;;biological_process",";;;cellular_component","plekha6",";;;molecular_function","Pleckstrin homology domain-containing family A member 6 (Fragment);Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6;Pleckstrin homology domain-containing family A member 6","A0A087WP13_MOUSE;A0A087WRB7_MOUSE;E9PX43_MOUSE;PKHA6_MOUSE",1.55e-13,"A0A087WP13;A0A087WRB7;E9PX43;Q7TQG1",2,0,3,3,3,3,3,3,20.35044479,7.231769085,23.1981411,24.99121094
"20",";endochondral ossification,immune system process,glucose metabolic process,phosphatidylinositol biosynthetic process,endocytosis,actin filament organization,cell adhesion,negative regulation of cell proliferation,post-embryonic development,negative regulation of gene expression,response to insulin,cellular lipid metabolic process,phosphatidylinositol dephosphorylation,ruffle assembly",";cytoplasm,Golgi apparatus,cytosol,cytoskeleton,plasma membrane,lamellipodium,filopodium","inppl1",";actin binding,protein binding,hydrolase activity,SH3 domain binding,SH2 domain binding","Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (Fragment);Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2","A0A087WPT7_MOUSE;SHIP2_MOUSE",3.17e-06,"A0A087WPT7;Q6P549",4,3,4,4,4,4,4,4,49.81111145,70.61701965,56.19080734,38.59774017
"21","biological_process","cellular_component","2210011c24rik","molecular_function","MCG5930","A0A087WQ89_MOUSE",2.26e-46,"A0A087WQ89",4,2,4,4,4,4,4,4,156.504715,12.30274296,141.9907379,157.7700043
"22",";;;transcription, DNA-templated,apoptotic process,positive regulation of apoptotic process,regulation of DNA-templated transcription in response to stress,negative regulation of transcription, DNA-templated,cellular response to leukemia inhibitory factor,positive regulation of DNA-templated transcription, initiation,positive regulation of response to DNA damage stimulus,positive regulation of intrinsic apoptotic signaling pathway;;",";;;nucleus,nucleoplasm,cytoplasm,nuclear speck;;","bclaf1",";;;DNA binding,RNA binding,protein binding;;","Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1 (Fragment);Bcl-2-associated transcription factor 1;Bcl-2-associated transcription factor 1;Isoform 2 of Bcl-2-associated transcription factor 1;Isoform 3 of Bcl-2-associated transcription factor 1","A0A087WQA0_MOUSE;A0A087WRN1_MOUSE;F8WI22_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE;BCLF1_MOUSE",2.22e-11,"A0A087WQA0;A0A087WRN1;F8WI22;Q8K019;Q8K019-2;Q8K019-3",6,5,6,6,6,6,6,6,182.7136688,129.6571503,218.6218567,164.6565552
"23","","","tns1","","Protein Tns1","A0A087WQS0_MOUSE",2.98e-38,"A0A087WQS0",56,47,57,56,8,8,8,8,2058.978271,938.4038086,2192.712158,2149.120361
"24",";transcription, DNA-templated,regulation of transcription, DNA-templated",";cytoplasm,membrane","bzw1",";RNA binding,cadherin binding","Basic leucine zipper and W2 domain-containing protein 1","A0A087WQS2_MOUSE;BZW1_MOUSE",9.18e-19,"A0A087WQS2;Q9CQC6",11,11,10,11,7,7,7,7,1017.854858,882.9348145,1033.428345,925.3606567
"25",";angiogenesis,neural tube formation,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,heart development,extrinsic apoptotic signaling pathway via death domain receptors,macrophage differentiation,response to tumor necrosis factor,TRAIL-activated apoptotic signaling pathway,positive regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of macrophage differentiation,positive regulation of proteolysis,cardiac muscle tissue development,proteolysis involved in cellular protein catabolic process,negative regulation of necroptotic process,regulation of thymocyte apoptotic process,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,execution phase of apoptosis,activation of cysteine-type endopeptidase activity,hepatocyte apoptotic process,regulation of apoptotic signaling pathway,positive regulation of extrinsic apoptotic signaling pathway",";nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,plasma membrane,Noc1p-Noc2p complex,death-inducing signaling complex,CD95 death-inducing signaling complex,ripoptosome","casp8",";endopeptidase activity,cysteine-type endopeptidase activity,protein binding,peptidase activity,ubiquitin protein ligase binding,death effector domain binding,identical protein binding,protein heterodimerization activity,scaffold protein binding,cysteine-type endopeptidase activity involved in apoptotic process,cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cysteine-type endopeptidase activity involved in execution phase of apoptosis","Caspase-8","A0A087WQT6_MOUSE;CASP8_MOUSE",2.23e-22,"A0A087WQT6;O89110",9,6,8,8,8,8,8,8,59.45252228,80.63656616,90.27097321,92.27788544
"26",";molecular hydrogen transport,oxidation-reduction process",";mitochondrion,cytosol","adhfe1",";alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity","Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment);Hydroxyacid-oxoacid transhydrogenase, mitochondrial","A0A087WRE7_MOUSE;HOT_MOUSE",3.83e-33,"A0A087WRE7;Q8R0N6",14,9,12,18,11,11,11,11,578.7384644,248.2241058,292.5619202,563.0982056
"27",";;;biological_process",";;;cellular_component","2310035c23rik;2310035c23rik;2310035c23rik;kiaa1468",";;;molecular_function","Protein 2310035C23Rik;Protein 2310035C23Rik;Protein 2310035C23Rik;LisH domain and HEAT repeat-containing protein KIAA1468","A0A087WRM8_MOUSE;E9QM90_MOUSE;G3X9J4_MOUSE;K1468_MOUSE",2.99e-35,"A0A087WRM8;E9QM90;G3X9J4;Q148V7",3,2,3,3,3,3,3,3,11.46241283,14.1515255,18.89788055,22.29339409
"28",";double-strand break repair via homologous recombination,cellular glucose homeostasis,regulation of DNA replication,chromatin organization,regulation of transcription from RNA polymerase II promoter,transcription from RNA polymerase II promoter,release from viral latency,replication fork processing,interstrand cross-link repair,glucose homeostasis,positive regulation by host of viral transcription,positive regulation by host of viral genome replication,positive regulation of transcription from RNA polymerase II promoter,regulation of insulin receptor signaling pathway,positive regulation of insulin receptor signaling pathway,regulation of DNA strand elongation,cellular response to X-ray,modulation by host of RNA binding by virus,modulation by host of viral RNA-binding transcription factor activity",";chromatin,nuclear chromatin,nucleus,nucleolus,cytoplasm","nucks1",";transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,chromatin binding,double-stranded DNA binding,single-stranded DNA binding,RNA binding,transcription factor binding","Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1","A0A087WRY3_MOUSE;NUCKS_MOUSE",3.87e-38,"A0A087WRY3;Q80XU3",3,2,3,3,3,3,3,3,394.3224792,264.1326599,407.6397705,334.4619141
"29",";biological_process",";nucleoplasm,cytoplasm,nuclear membrane,extracellular exosome","sh3bgrl2",";protein binding,SH3 domain binding","SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2","A0A087WS96_MOUSE;SH3L2_MOUSE",9e-26,"A0A087WS96;Q8BG73",4,3,4,4,4,4,4,4,97.9948349,37.37667847,90.71182251,110.0083923
"30","","","fn1","","Fibronectin","A0A087WSN6_MOUSE",2.61e-50,"A0A087WSN6",113,129,124,118,12,12,12,12,3742.325928,26331.00781,6374.921875,5062.522949
"31",";toll-like receptor signaling pathway,protein phosphorylation,inflammatory response,cellular response to DNA damage stimulus,peptidyl-serine phosphorylation,G2 DNA damage checkpoint,response to lipopolysaccharide,regulation of interleukin-6 production,regulation of tumor necrosis factor production,response to cytokine,cellular response to vascular endothelial growth factor stimulus,p38MAPK cascade,positive regulation of tumor necrosis factor biosynthetic process,macropinocytosis,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,mRNA stabilization,inner ear development,3'-UTR-mediated mRNA stabilization",";nucleus,nucleoplasm,cytoplasm,centrosome,extracellular exosome","mapkapk2",";protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,signal transducer activity,protein binding,calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,mitogen-activated protein kinase binding","MAP kinase-activated protein kinase 2 (Fragment);MAP kinase-activated protein kinase 2","A0A087WSN7_MOUSE;MAPK2_MOUSE",1.09e-21,"A0A087WSN7;P49138",5,4,5,5,5,5,5,5,21.76091194,8.779808044,24.34651947,13.12359524
"32",";negative regulation of transcription from RNA polymerase II promoter,negative regulation of endothelial cell proliferation,positive regulation of mesenchymal cell proliferation,positive regulation of defense response to virus by host,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,transcription, DNA-templated,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,JAK-STAT cascade,blood circulation,response to bacterium,macrophage derived foam cell differentiation,negative regulation of angiogenesis,cytokine-mediated signaling pathway,lipopolysaccharide-mediated signaling pathway,response to lipopolysaccharide,positive regulation of interferon-alpha production,tumor necrosis factor-mediated signaling pathway,response to cytokine,negative regulation of macrophage fusion,response to type I interferon,response to interferon-beta,cellular response to interferon-beta,negative regulation of I-kappaB kinase/NF-kappaB signaling,response to exogenous dsRNA,response to peptide hormone,positive regulation of erythrocyte differentiation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,negative regulation by virus of viral protein levels in host cell,positive regulation of smooth muscle cell proliferation,response to cAMP,defense response to virus,interferon-gamma-mediated signaling pathway,type I interferon signaling pathway,JAK-STAT cascade involved in growth hormone signaling pathway,renal tubule development,cellular response to lipopolysaccharide,cellular response to cytokine stimulus,cellular response to interferon-gamma,cellular response to organic cyclic compound,metanephric mesenchymal cell proliferation involved in metanephros development,metanephric mesenchymal cell differentiation,negative regulation of metanephric nephron tubule epithelial cell differentiation;",";nuclear chromatin,nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol,axon,dendrite,protein complex,perinuclear region of cytoplasm;","stat1",";RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II core promoter sequence-specific DNA binding,transcription factor activity, RNA polymerase II core promoter sequence-specific,core promoter binding,double-stranded DNA binding,transcription factor activity, sequence-specific DNA binding,signal transducer activity,tumor necrosis factor receptor binding,protein binding,enzyme binding,histone acetyltransferase binding,nuclear hormone receptor binding,histone binding,identical protein binding,protein homodimerization activity,ubiquitin-like protein ligase binding,cadherin binding,repressing transcription factor binding,promoter-specific chromatin binding;","Signal transducer and activator of transcription;Signal transducer and activator of transcription 1;Signal transducer and activator of transcription","A0A087WSP5_MOUSE;STAT1_MOUSE;Q8C3V4_MOUSE",6.04e-22,"A0A087WSP5;P42225;Q8C3V4",9,9,11,10,7,7,7,7,3782.265137,152.0868225,3221.319336,1469.478516
"33",";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase",";mitochondrion,mitochondrial inner membrane,mitochondrial matrix","gcdh",";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding","Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial","A0A0A0MQ68_MOUSE;GCDH_MOUSE",1.13e-39,"A0A0A0MQ68;Q60759",23,21,21,22,13,13,13,13,2817.641113,1861.742188,1545.249756,2462.109375
"34",";hematopoietic progenitor cell differentiation;;;",";membrane;;;","prrc2c",";RNA binding,protein C-terminus binding;;;","Protein PRRC2C;Protein PRRC2C;Isoform 5 of Protein PRRC2C;Protein PRRC2C;Protein PRRC2C","A0A0A0MQ79_MOUSE;PRC2C_MOUSE;PRC2C_MOUSE;S4R294_MOUSE;S4R2J9_MOUSE",4.77e-11,"A0A0A0MQ79;Q3TLH4;Q3TLH4-5;S4R294;S4R2J9",5,5,6,6,6,6,6,6,59.33207703,46.90610504,71.25632477,48.28060532
"35",";;positive regulation of mast cell activation;",";;cell surface,integral component of membrane;","havcr1",";;phosphatidylserine binding,protein binding;","Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Isoform 2 of Hepatitis A virus cellular receptor 1 homolog","A0A0A0MQ86_MOUSE;Q3V033_MOUSE;HAVR1_MOUSE;HAVR1_MOUSE",6.32e-42,"A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2",10,7,10,9,8,8,8,8,3217.904541,577.9703979,3469.176758,2198.133545
