"","PG.BiologicalProcess","PG.CellularComponent","PG.Genes","PG.MolecularFunction","PG.ProteinDescriptions","PG.ProteinNames","PG.Qvalue","PG.UniProtIds","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"11",";neural tube closure,inflammatory response,response to oxidative stress,lipoate biosynthetic process,protein lipoylation,response to lipopolysaccharide",";mitochondrion","lias",";lipoate synthase activity,metal ion binding,4 iron, 4 sulfur cluster binding","Lipoyl synthase, mitochondrial;Lipoyl synthase, mitochondrial","A0A0M3HEP3_MOUSE;LIAS_MOUSE",0.005196112,"A0A0M3HEP3;Q99M04",1,0,2,0,2,2,2,2,4.686889648,2.799649239,4.848449707,2
"12",";;amine metabolic process,amiloride transport,cellular response to copper ion starvation,response to drug,response to antibiotic,oxidation-reduction process,cellular response to copper ion,cellular response to histamine,cellular response to azide",";;extracellular space,plasma membrane,bicellular tight junction,extracellular exosome","aoc1",";;receptor activity,copper ion binding,calcium ion binding,primary amine oxidase activity,drug binding,heparin binding,zinc ion binding,protein complex binding,protein homodimerization activity,quinone binding,diamine oxidase activity,histamine oxidase activity,methylputrescine oxidase activity,propane-1,3-diamine oxidase activity","Amine oxidase (Fragment);Amine oxidase;Amiloride-sensitive amine oxidase [copper-containing]","A0A0N4SUP5_MOUSE;E9PYN9_MOUSE;AOC1_MOUSE",1.73e-07,"A0A0N4SUP5;E9PYN9;Q8JZQ5",2,1,2,2,2,2,2,2,20.96479416,29.68370056,60.46770477,51.03962708
"13",";proteolysis,phagocytosis,collagen catabolic process,negative regulation of phagocytosis,mature conventional dendritic cell differentiation",";extracellular space,cytosol,plasma membrane,extracellular exosome,extracellular matrix","prtn3",";serine-type endopeptidase activity,protein binding,enzyme binding","Myeloblastin","A0A0R4IZY6_MOUSE;PRTN3_MOUSE",5.82e-33,"A0A0R4IZY6;Q61096",3,4,4,1,4,4,4,4,371.2104492,916.1737061,217.6712036,279.6249695
"14",";cell adhesion",";nucleoplasm,insulin-like growth factor ternary complex,extracellular exosome","igfals",";insulin-like growth factor binding","Insulin-like growth factor-binding protein complex acid labile subunit","A0A0R4J0S2_MOUSE;ALS_MOUSE",0.000149767,"A0A0R4J0S2;P70389",0,3,1,0,3,3,3,3,10.45507145,44.49045181,6.393824577,9.048346519
"15",";cellular response to calcium ion",";nucleus,cytoplasm,plasma membrane,extracellular exosome,clathrin-coated endocytic vesicle","cpne2",";molecular_function","Copine-2","A0A0R4J1D0_MOUSE;CPNE2_MOUSE",0.001264539,"A0A0R4J1D0;P59108",2,1,1,2,2,2,2,2,2.905702114,4.155303001,2.566087008,2
"16",";DNA catabolic process,nucleic acid phosphodiester bond hydrolysis;",";nucleoplasm;","tatdn1",";deoxyribonuclease activity,endodeoxyribonuclease activity, producing 5'-phosphomonoesters,metal ion binding;","Putative deoxyribonuclease TATDN1;Putative deoxyribonuclease TATDN1;Isoform 2 of Putative deoxyribonuclease TATDN1","A0A0R4J1E8_MOUSE;TATD1_MOUSE;TATD1_MOUSE",0.00692121,"A0A0R4J1E8;Q6P8M1;Q6P8M1-2",1,1,0,0,2,2,2,2,8.270169258,8.634342194,5.930774689,2.311629772
"17",";;multicellular organism development,spermatogenesis,cell differentiation;",";;Golgi membrane,nucleus,nucleoplasm,nucleolus,endoplasmic reticulum-Golgi intermediate compartment,Golgi apparatus,cytosol,membrane,Golgi transport complex,Golgi cisterna membrane,extrinsic component of Golgi membrane;","golga3",";;protein binding,cadherin binding;","Golgin subfamily A member 3;Golgin subfamily A member 3;Golgin subfamily A member 3;Isoform 1 of Golgin subfamily A member 3","A0A0R4J1H6_MOUSE;E9QP99_MOUSE;GOGA3_MOUSE;GOGA3_MOUSE",5.31e-15,"A0A0R4J1H6;E9QP99;P55937;P55937-1",3,1,2,2,4,4,4,4,10.0958271,5.594144821,12.54072094,11.10225391
"18",";inflammatory response,regulation of mitotic cell cycle,regulation of interleukin-6 production,positive regulation of interleukin-8 production,positive regulation of epidermal growth factor receptor signaling pathway,positive regulation of transcription, DNA-templated,positive regulation of protein tyrosine kinase activity;",";cytoplasm,cytosol,plasma membrane;","afap1l2",";SH3 domain binding,protein tyrosine kinase activator activity,signaling adaptor activity,SH2 domain binding;","Actin filament-associated protein 1-like 2;Actin filament-associated protein 1-like 2;Isoform 2 of Actin filament-associated protein 1-like 2","A0A0R4J1L6_MOUSE;AF1L2_MOUSE;AF1L2_MOUSE",0.000217704,"A0A0R4J1L6;Q5DTU0;Q5DTU0-2",2,2,3,3,3,3,3,3,28.40624809,69.48813629,56.39846039,38.43607712
"19",";;mitotic cell cycle,mitotic metaphase plate congression,regulation of mitotic metaphase/anaphase transition,cell division,protein K11-linked ubiquitination",";;intracellular,anaphase-promoting complex","cdc23",";;molecular_function","CDC23 (Cell division cycle 23, yeast, homolog), isoform CRA_c;CDC23 (Cell division cycle 23, yeast, homolog), isoform CRA_a;Cell division cycle protein 23 homolog","A0A0R4J1W7_MOUSE;G3X8W7_MOUSE;CDC23_MOUSE",1.14e-13,"A0A0R4J1W7;G3X8W7;Q8BGZ4",3,3,3,2,3,3,3,3,25.06729507,31.49907875,13.63423634,44.5610466
"20",";cell cycle,biological_process,cell division;",";cellular_component,cytoplasm,cytoskeleton;","10-sep",";molecular_function,GTP binding;","Septin-10;Septin-10;Isoform 2 of Septin-10","A0A0R4J233_MOUSE;SEP10_MOUSE;SEP10_MOUSE",1.75e-05,"A0A0R4J233;Q8C650;Q8C650-2",2,1,3,3,3,3,3,3,13.82409668,11.00669289,22.51853561,9.871696472
"21",";;;;;mRNA polyadenylation,regulation of mRNA 3'-end processing,RNA polyadenylation;;;",";;;;;nucleus,nucleoplasm,cytoplasm;;;","papola",";;;;;magnesium ion binding,RNA binding,polynucleotide adenylyltransferase activity,ATP binding,manganese ion binding;;;","Poly(A) polymerase alpha;Poly(A) polymerase alpha;Poly(A) polymerase alpha;Poly(A) polymerase alpha;Poly(A) polymerase alpha;Poly(A) polymerase alpha;Isoform 2 of Poly(A) polymerase alpha;Isoform 3 of Poly(A) polymerase alpha;Isoform 4 of Poly(A) polymerase alpha","A0A0R4J244_MOUSE;E9PWC8_MOUSE;E9PZR3_MOUSE;E9QAN2_MOUSE;E9QAY4_MOUSE;PAPOA_MOUSE;PAPOA_MOUSE;PAPOA_MOUSE;PAPOA_MOUSE",1.25e-05,"A0A0R4J244;E9PWC8;E9PZR3;E9QAN2;E9QAY4;Q61183;Q61183-2;Q61183-3;Q61183-4",3,2,3,2,3,3,3,3,6.775061607,10.68745422,16.8580761,11.00102043
"22","","","psmb9","","Proteasome subunit beta type","A0A0R4J256_MOUSE",2.11e-09,"A0A0R4J256",2,3,3,3,3,3,3,3,24.51270294,60.03803253,87.02682495,45.22066498
"23",";protein K48-linked deubiquitination",";cellular_component","otud4",";RNA binding,thiol-dependent ubiquitin-specific protease activity","OTU domain-containing protein 4","A0A0R4J260_MOUSE;OTUD4_MOUSE",0.000285181,"A0A0R4J260;B2RRE7",1,1,1,1,2,2,2,2,2,7.651155472,4.290136337,2.09615612
"24",";;;;microtubule cytoskeleton organization,hematopoietic progenitor cell differentiation,small GTPase mediated signal transduction,axonogenesis,interkinetic nuclear migration,neuron projection development,positive regulation of peptidyl-serine phosphorylation,pigmentation,establishment of neuroblast polarity,regulation of neurogenesis,activation of GTPase activity,positive regulation of vascular associated smooth muscle cell migration;",";;;;focal adhesion,axon,COP9 signalosome;","dock7",";;;;guanyl-nucleotide exchange factor activity,protein binding,Rac GTPase binding;","Dedicator of cytokinesis protein 7;Dedicator of cytokinesis protein 7;Dedicator of cytokinesis protein 7;Dedicator of cytokinesis protein 7;Dedicator of cytokinesis protein 7;Isoform 2 of Dedicator of cytokinesis protein 7","A0A0U1RNK7_MOUSE;A2A9M4_MOUSE;A2A9M5_MOUSE;E9PX48_MOUSE;DOCK7_MOUSE;DOCK7_MOUSE",6.6e-15,"A0A0U1RNK7;A2A9M4;A2A9M5;E9PX48;Q8R1A4;Q8R1A4-2",4,4,4,6,6,6,6,6,34.78726959,18.92560959,26.29078674,27.9022274
"25",";;biological_process;",";;cellular_component;","zzef1",";;molecular_function,calcium ion binding,zinc ion binding;","Zinc finger ZZ-type and EF-hand domain-containing protein 1;Zinc finger ZZ-type and EF-hand domain-containing protein 1;Zinc finger ZZ-type and EF-hand domain-containing protein 1;Isoform 2 of Zinc finger ZZ-type and EF-hand domain-containing protein 1","A0A140LJ04_MOUSE;E9Q5W5_MOUSE;ZZEF1_MOUSE;ZZEF1_MOUSE",0.000642678,"A0A140LJ04;E9Q5W5;Q5SSH7;Q5SSH7-2",1,2,3,2,3,3,3,3,4.482549667,11.02265072,9.971935272,19.26423264
"26","","","igkv12-46","","Protein Igkv12-46 (Fragment)","A0A140T8P6_MOUSE",7.55e-05,"A0A140T8P6",0,1,0,2,2,2,2,2,2,3.461592913,6.168541908,4.554162979
"27",";signal transduction;;;negative regulation of transcription from RNA polymerase II promoter,heart valve development,cardiac septum development,ventricular septum development,cAMP catabolic process,protein targeting to mitochondrion,heart development,metabolic process,positive regulation of gene expression,regulation of mitochondrion organization,cAMP-mediated signaling,cGMP-mediated signaling,negative regulation of cAMP biosynthetic process,regulation of cGMP metabolic process,negative regulation of protein import into nucleus, translocation,cellular response to drug,aorta development,cellular response to macrophage colony-stimulating factor stimulus,negative regulation of vascular permeability,positive regulation of vascular permeability,cGMP catabolic process,positive regulation of inflammatory response,negative regulation of cell death,coronary vasculature development,establishment of endothelial barrier,cellular response to lipopolysaccharide,cellular response to mechanical stimulus,cellular response to cGMP,cellular response to granulocyte macrophage colony-stimulating factor stimulus",";;;;nucleus,cytoplasm,mitochondrion,mitochondrial outer membrane,mitochondrial inner membrane,mitochondrial matrix,endoplasmic reticulum,Golgi apparatus,cytosol,plasma membrane,axon,dendrite,perinuclear region of cytoplasm","pde2a",";3',5'-cyclic-nucleotide phosphodiesterase activity,metal ion binding;;;cyclic-nucleotide phosphodiesterase activity,cGMP-stimulated cyclic-nucleotide phosphodiesterase activity,drug binding,cAMP binding,cGMP binding,TPR domain binding,GAF domain binding,protein homodimerization activity,metal ion binding","Phosphodiesterase;Phosphodiesterase;Phosphodiesterase;Phosphodiesterase;cGMP-dependent 3',5'-cyclic phosphodiesterase","A0A1B0GRJ9_MOUSE;F7D3W5_MOUSE;Q3TXZ6_MOUSE;Q5PR72_MOUSE;PDE2A_MOUSE",0.001796193,"A0A1B0GRJ9;F7D3W5;Q3TXZ6;Q5PR72;Q922S4",3,4,3,0,5,5,5,5,25.25300217,62.29272079,25.93775558,12.60445023
"28",";;;biological_process;;;",";;;membrane,integral component of membrane;;;","gramd1b",";;;molecular_function;;;","GRAM domain-containing protein 1B;GRAM domain-containing protein 1B;GRAM domain-containing protein 1B (Fragment);GRAM domain-containing protein 1B;Isoform 2 of GRAM domain-containing protein 1B;Isoform 3 of GRAM domain-containing protein 1B;Isoform 4 of GRAM domain-containing protein 1B","A0A1D5RLT6_MOUSE;D3YWR0_MOUSE;F7BFL8_MOUSE;GRM1B_MOUSE;GRM1B_MOUSE;GRM1B_MOUSE;GRM1B_MOUSE",0.003361728,"A0A1D5RLT6;D3YWR0;F7BFL8;Q80TI0;Q80TI0-2;Q80TI0-3;Q80TI0-4",2,1,1,0,2,2,2,2,3.887081385,5.628305435,10.95094681,3.481842995
"29","cellular response to DNA damage stimulus,cell cycle,proteasomal protein catabolic process,protein ubiquitination,neuron projection development,histone H2A monoubiquitination,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,positive regulation of protein catabolic process,UV-damage excision repair,positive regulation of G1/S transition of mitotic cell cycle;","nucleoplasm,cytosol,Cul4B-RING E3 ubiquitin ligase complex,extracellular exosome,Cul4-RING E3 ubiquitin ligase complex;","cul4b","ubiquitin protein ligase binding,damaged DNA binding,ubiquitin protein ligase activity;","Cullin-4B","CUL4B_MOUSE;E9PXY1_MOUSE",7.02e-25,"A2A432;E9PXY1",5,5,7,8,7,7,7,7,54.6382637,71.6882782,63.66733932,94.9152298
"30",";;DNA repair,glycoprotein catabolic process,response to unfolded protein,protein ubiquitination,ER-associated ubiquitin-dependent protein catabolic process,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,glycoprotein ERAD pathway;",";;cytoplasm,SCF ubiquitin ligase complex,endoplasmic reticulum quality control compartment;","fbxo6",";;ubiquitin-protein transferase activity,protein binding,carbohydrate binding,ubiquitin protein ligase activity,ubiquitin protein ligase activity involved in ERAD pathway;","F-box only protein 6 (Fragment);F-box only protein 6 (Fragment);F-box only protein 6;F-box only protein 6 (Fragment)","A2A7G9_MOUSE;A2A7H1_MOUSE;FBX6_MOUSE;Z4YN00_MOUSE",0.000113229,"A2A7G9;A2A7H1;Q9QZN4;Z4YN00",2,1,2,0,2,2,2,2,7.917901993,13.41297054,7.302667618,5.360891819
"31","cell adhesion,regulation of neuron projection development,cell migration,neuron projection regeneration,peptidyl-tyrosine dephosphorylation,regulation of axon regeneration,negative regulation of receptor binding","integral component of membrane,neuron projection,neuronal cell body,extracellular exosome","ptprf","phosphoprotein phosphatase activity,protein tyrosine phosphatase activity,heparin binding,protein complex binding,chondroitin sulfate proteoglycan binding","Receptor-type tyrosine-protein phosphatase F","PTPRF_MOUSE",0.001100756,"A2A8L5",1,1,1,2,3,3,3,3,3.368953466,4.224357128,5.599537849,10.23880386
"32",";blastocyst development,protein phosphorylation,cell cycle,regulation of mitotic nuclear division,regulation of gene expression,regulation of mRNA processing,negative regulation of apoptotic signaling pathway;",";nucleus,nucleoplasm;","cdk11b",";protein serine/threonine kinase activity,cyclin-dependent protein serine/threonine kinase activity,ATP binding;","Cyclin-dependent kinase 11B;Cyclin-dependent kinase 11B;Isoform 2 of Cyclin-dependent kinase 11B","A2A9P6_MOUSE;CD11B_MOUSE;CD11B_MOUSE",1.1e-17,"A2A9P6;P24788;P24788-2",2,1,1,1,2,2,2,2,66.29763031,94.31577301,63.46889496,132.8679504
"33","sensory perception of sound","stereocilium","tprn","molecular_function,phosphatase binding","Taperin","TPRN_MOUSE",6.41e-15,"A2AI08",1,1,2,1,2,2,2,2,6.848573685,6.225862503,7.248783588,2
"34","microtubule cytoskeleton organization;;;;","spindle,cytosol,microtubule cytoskeleton;;;;","map7d1","structural molecule activity;;;;","MAP7 domain-containing protein 1;Isoform 2 of MAP7 domain-containing protein 1;MAP7 domain-containing protein 1;MAP7 domain-containing protein 1;MAP7 domain-containing protein 1 (Fragment)","MA7D1_MOUSE;MA7D1_MOUSE;A2AJI1_MOUSE;A8Y5P4_MOUSE;F6WF36_MOUSE",0.003119616,"A2AJI0;A2AJI0-2;A2AJI1;A8Y5P4;F6WF36",1,1,2,1,2,2,2,2,11.27522373,8.156852722,8.880672455,8.170045853
"35",";;;;;;branching involved in ureteric bud morphogenesis,wound healing involved in inflammatory response,positive regulation of adaptive immune response,negative regulation of mature B cell apoptotic process,cell adhesion,positive regulation of gene expression,Wnt signaling pathway,cytokine-mediated signaling pathway,hyaluronan catabolic process,positive regulation of peptidyl-serine phosphorylation,positive regulation of kinase activity,positive regulation of heterotypic cell-cell adhesion,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,negative regulation of DNA damage response, signal transduction by p53 class mediator,wound healing, spreading of cells,cellular response to fibroblast growth factor stimulus,negative regulation of regulatory T cell differentiation,negative regulation of inflammatory response,positive regulation of peptidyl-tyrosine phosphorylation,branching involved in prostate gland morphogenesis,positive regulation of ERK1 and ERK2 cascade,monocyte aggregation,positive regulation of monocyte aggregation,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,regulation of lamellipodium morphogenesis,negative regulation of CD4-positive, alpha-beta T cell proliferation;;;;;;;;;;;;",";;;;;;Golgi apparatus,cytosol,plasma membrane,focal adhesion,external side of plasma membrane,cell surface,integral component of membrane,basolateral plasma membrane,apical plasma membrane,lamellipodium membrane,macrophage migration inhibitory factor receptor complex,cell projection,extracellular exosome;;;;;;;;;;;;","cd44",";;;;;;type II transforming growth factor beta receptor binding,protein binding,hyaluronic acid binding,cytokine receptor activity,cytokine binding;;;;;;;;;;;;","CD44 antigen;CD44 antigen;CD44 antigen;CD44 antigen;CD44 antigen;CD44 antigen;CD44 antigen;Isoform 8 of CD44 antigen;Isoform 9 of CD44 antigen;Isoform 13 of CD44 antigen;Isoform 12 of CD44 antigen;Isoform 4 of CD44 antigen;Isoform 6 of CD44 antigen;Isoform 7 of CD44 antigen;Isoform 2 of CD44 antigen;Isoform 3 of CD44 antigen;Isoform 5 of CD44 antigen;CD44 antigen;CD44 antigen","A2APM1_MOUSE;A2APM2_MOUSE;A2APM3_MOUSE;A2APM4_MOUSE;A2APM5_MOUSE;E9QKM8_MOUSE;CD44_MOUSE;CD44_MOUSE;CD44_MOUSE;CD44_MOUSE;CD44_MOUSE;CD44_MOUSE;CD44_MOUSE;CD44_MOUSE;CD44_MOUSE;CD44_MOUSE;CD44_MOUSE;Q3U8S1_MOUSE;Q80X37_MOUSE",9.2e-11,"A2APM1;A2APM2;A2APM3;A2APM4;A2APM5;E9QKM8;P15379;P15379-10;P15379-11;P15379-2;P15379-3;P15379-4;P15379-5;P15379-6;P15379-7;P15379-8;P15379-9;Q3U8S1;Q80X37",2,2,3,2,3,3,3,3,111.7479095,341.799408,218.4383392,86.22210693
"36",";mRNA splicing, via spliceosome,biological_process",";nucleoplasm,membrane,catalytic step 2 spliceosome","aqr",";RNA binding","Intron-binding protein aquarius","A2AQA7_MOUSE;AQR_MOUSE",0.000181545,"A2AQA7;Q8CFQ3",2,1,2,2,2,2,2,2,2,2,6.704110146,2.253266811
"37","","","ganc","","Neutral alpha-glucosidase C","A2AQJ8_MOUSE",1.11e-05,"A2AQJ8",1,1,3,2,3,3,3,3,16.39343834,9.043645859,21.10224915,28.98026466
